MedCodeID,Description
461440017,[X]Other physical and mental strain related to work
460751013,Occupation-related stress disorder
2668441000006114,Work-related stress disorder
2500131000006115,Anxiety disorder of childhood OR adolescence
4196241000006117,Nightmare disorder
4196231000006110,Dream anxiety disorder
2682511000006110,"Anticipatory anxiety, mild"
441512015,Separation anxiety disorder
296722013,Separation anxiety disorder of childhood
4391041000006110,Separation anxiety
370861000006110,[X]Childhood overanxious disorder
2712981000006115,Overanxious disorder of childhood
550361000006119,Childhood and adolescent overanxiousness disturbance
2742261000006111,Hallucinogen induced anxiety disorder
2742251000006114,Hallucinogen-induced anxiety disorder
4539991000006111,History of anxiety state
251630012,H/O: anxiety state
9901261000006114,Moderate major depressive disorder co-occurrent with anxiety single episode
4550971000006119,On examination - anxious
253620013,O/E - anxious
2525391000006119,"Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder"
403931000006116,Organic anxiety disorder
12703831000006115,[X]Organic anxiety disorder
2777721000006112,Organic anxiety disorder
294960010,Chronic anxiety
294961014,Recurrent anxiety
626121000006116,Disturbance of anxiety and fearfulness in childhood and adolescence
626101000006114,Disturbance anxiety and fearfulness childhood/adolescent NOS
420641000006116,[X]Phobic anxiety disorder of childhood
4767501000006113,Childhood phobic anxiety disorder
401881014,[X]Other specified anxiety disorders
363661000006113,[X]Anxiety NOS
363671000006118,[X]Anxiety reaction
488201000006114,Anxiety disorder
296249012,"[X]Anxiety disorder, unspecified"
296238018,[X]Other anxiety disorders
363641000006114,[X]Anxiety hysteria
294953016,Anxiety state unspecified
294963012,Anxiety state
304838011,Anxiety state
363681000006115,[X]Anxiety state
363651000006111,Anxiety neurosis
2848301000006115,GAD - Generalized anxiety disorder
2848291000006116,Generalized anxiety disorder
388071000006116,[X]Generalized anxiety disorder
481154010,Generalised anxiety disorder
2848311000006117,GAD - Generalised anxiety disorder
4937701000006118,Acknowledging anxiety
339044013,Panic attack
8010321000006110,Anxiety disorder caused by drug
4981541000006112,AMT - Anxiety management training
342665019,Anxiety management training
5024021000006119,Situational panic attack
5024051000006111,Unexpected panic attack
5024041000006114,Spontaneous panic attack
5024031000006116,Non-situational panic attack
296245018,[X]Other mixed anxiety disorders
488211000006112,Mixed anxiety and depressive disorder
398351000006110,[X]Mild anxiety depression
398561000006117,[X]Mixed anxiety and depressive disorder
419841000006116,[X]Persistant anxiety depression
5024071000006118,Anxiety depression
5024101000006111,Anxiety hysteria
363691000006117,Anxious personality disorder
5248991000006117,Anxiety and fear
5717641000006118,Level of anxiety
5718781000006117,Anxious character
5718791000006119,Over-anxious character
5718801000006118,Fearful character
5886481000006112,Anxiety attack
6025521000006113,Anxiety counselling
6025551000006116,Counselling for anxiety
6025531000006111,Anxiety counseling
6025541000006118,Counseling for anxiety
3062801000006113,Alcohol induced anxiety disorder
3062791000006112,Alcohol-induced anxiety disorder
8113001000006117,Stranger anxiety
3070671000006111,Anticipatory anxiety
3073541000006113,Panic disorder with agoraphobia
3090721000006114,"Anticipatory anxiety, moderate"
1210253015,Panic disorder
418061000006116,[X]Panic state
6358151000006115,Episodic paroxysmal anxiety disorder
296239014,[X]Panic disorder [episodic paroxysmal anxiety]
418031000006113,[X]Panic attack
3110021000006119,Anxiety disorder of adolescence
3110101000006111,Avoidant disorder of childhood OR adolescence
294991016,Phobia
6462221000006118,Fear of
6462231000006115,Abnormal fear
296237011,"[X]Phobic anxiety disorder, unspecified"
223631000000113,Phobic disorders
296224013,[X]Phobic anxiety disorders
401780016,Phobic disorder
426871000006113,[X]Simple phobia
296236019,[X]Other phobic anxiety disorders
882371000006118,Phobic state
223641000000116,Phobic anxiety disorder
420671000006112,[X]Phobic state NOS
420631000006114,Phobic disorder
11920891000006113,[X]Phobia NOS
6550101000006115,Complaining of panic attack
1488717011,C/O - panic attack
6707621000006114,Level of anxiety
6707631000006112,Anxiety level
6910391000006112,On examination - panic attack
2549895012,O/E - panic attack
3195421000006117,Panic disorder without agoraphobia with severe panic attacks
3265831000006118,Adjustment disorder with anxiety
1230451012,Adjustment reaction with anxious mood
3265811000006112,Adjustment disorder with anxious mood
3287771000006115,Anxiety reaction
488251000006113,Anxiousness - symptom
3287761000006110,Feeling anxious
516601000000113,Anxious
2536376012,Anxiousness
3287741000006111,Anxiety
3310151000006118,Psychoactive substance-induced organic anxiety disorder
3334381000006111,Cocaine-induced anxiety disorder
3334391000006114,Cocaine induced anxiety disorder
3341461000006110,Biofeedback training by electroencephalogram application in anxiety
3357961000006113,Anxiety disorder due to a general medical condition
3357971000006118,Anxiety disorder due to medical disorder
3357981000006115,Anxiety disorder due to general medical condition
3367191000006114,Anxiety disorder of childhood
3375111000006115,Panic disorder without agoraphobia with panic attacks in partial remission
2587471000006114,Panic disorder with agoraphobia AND severe panic attacks
3409261000006113,Phencyclidine-induced anxiety disorder
3409271000006118,PCP induced anxiety disorder
1808521000006110,Panic disorder without agoraphobia
2593211000006113,"Anticipatory anxiety, severe"
3497371000006119,Moderate anxiety
3539231000006117,Panic disorder with agoraphobia AND panic attacks in partial remission
3543581000006116,Withdrawing reaction of childhood
3543571000006119,Avoidant disorder of childhood
3543611000006112,"Avoidance disorder, childhood"
427051000006113,Childhood social anxiety disorder
366611000006116,[X]Avoidant disorder childhood
3543591000006118,Childhood avoidant disorder
3558031000006116,Panic disorder without agoraphobia with moderate panic attacks
3630001000006116,Anxiety hyperventilation
3654681000006114,Mild anxiety
7663271000006111,Management of anxiety
7679751000006117,Assessment of anxiety
7860031000006118,Ecstasy type drug-induced anxiety disorder
