V2Codes,Description
E200.,Anxiety states
E2000,Anxiety state unspecified
E2001,Panic disorder
E2002,Generalised anxiety disorder
E2003,Anxiety with depression
E2004,Chronic anxiety
E2005,Recurrent anxiety
E200z,Anxiety state NOS
Eu41.,[X]Other anxiety disorders
Eu410,[X]Panic disorder [episodic paroxysmal anxiety]
Eu411,[X]Generalized anxiety disorder
Eu412,[X]Mixed anxiety and depressive disorder
Eu413,[X]Other mixed anxiety disorders
Eu41y,[X]Other specified anxiety disorders
Eu41z,"[X]Anxiety disorder, unspecified"
