CTV3Codes,Description
14S2.,H/O: kidney recipient
7B001,Transplantation of kidney from live donor
7B002,Transplantation of kidney from cadaver
7B00.,Transplantation of kidney
7B00y,Other specified transplantation of kidney
7B00z,Transplantation of kidney NOS
7L1A0,Renal dialysis
7L1A1,Peritoneal dialysis
7L1A2,Haemodialysis NEC
7L1A.,Dialysis for renal failure
7L1B0,Insertion of ambulatory peritoneal dialysis catheter
7L1B1,Removal of ambulatory peritoneal dialysis catheter
7L1B.,Placement ambulatory dialysis apparatus - compens renal fail
7L1C0,Insertion of temporary peritoneal dialysis catheter
8882.,Intestinal dialysis
TA020,"Accid cut,puncture,perf,h'ge - kidney dialysis"
TA220,Failure of sterile precautions during kidney dialysis
TB11.,"Kidney dialysis with complication, without blame"
ZV420,[V]Kidney transplanted
ZV451,[V]Renal dialysis status
ZV560,[V]Aftercare involving extracorporeal dialysis
ZV56y,[V]Other specified aftercare involving intermittent dialysis
ZV56.,[V]Aftercare involving intermittent dialysis
ZV56z,[V]Unspecified aftercare involving intermittent dialysis
ZVu3G,[X]Other dialysis
14V2.,H/O: renal dialysis
1Z14.,Chronic kidney disease stage 5
1Z1K.,Chronic kidney disease stage 5 with proteinuria
1Z1L.,Chronic kidney disease stage 5 without proteinuria
7B003,"Allotransplantation of kidney from cadaver, heart-beating"
7B004,"Allotransplantation kidney from cadaver, heart non-beating"
7B005,Allotransplantation of kidney from cadaver NEC
7B015,Excision of rejected transplanted kidney
7B063,Exploration of renal transplant
7B0F3,"Post-transplantation of kidney examination, recipient"
7B0F.,Interventions associated with transplantation of kidney
7B0Fy,OS interventions associated with transplantation of kidney
7B0Fz,Interventions associated with transplantation of kidney NOS
7L1A4,Automated peritoneal dialysis
7L1A5,Continuous ambulatory peritoneal dialysis
7L1A6,Peritoneal dialysis NEC
7L1B2,Flushing of peritoneal dialysis catheter
G72C.,Ruptured aneurysm of dialysis vascular access
G72D0,Aneurysm of superficialised artery of dialysis AV fistula
G72D1,Aneurysm of needle site of dialysis arteriovenous fistula
G72D2,Aneurysm of anastomotic site of dialysis AV fistula
G72D.,Aneurysm of dialysis arteriovenous fistula
Gy10.,Stenosis of dialysis arteriovenous graft
Gy1..,Stenosis of dialysis vascular access
Gy21.,Thrombosis of dialysis arteriovenous fistula
Gy2..,Thrombosis of dialysis vascular access
Gy30.,Occlusion of dialysis arteriovenous graft
Gy31.,Occlusion of dialysis arteriovenous fistula
Gy3..,Occlusion of dialysis vascular access
Gy40.,Infection of dialysis arteriovenous graft
Gy41.,Infection of dialysis arteriovenous fistula
Gy4..,Infection of dialysis vascular access
Gy51.,Haemorrhage of dialysis arteriovenous fistula
Gy5..,Haemorrhage of dialysis vascular access
Gy60.,Rupture of dialysis arteriovenous graft
K050.,End stage renal failure
K05..,End stage renal failure
K0D..,End-stage renal disease
SP015,Mechanical complication of dialysis catheter
SP056,[X] Peritoneal dialysis associated peritonitis
SP06B,Continuous ambulatory peritoneal dialysis associated perit
SP07G,Stenosis of arteriovenous dialysis fistula
SP083,Kidney transplant failure and rejection
SP08D,Acute-on-chronic rejection of renal transplant
SP08E,Acute rejection of renal transplant - grade I
SP08F,Acute rejection of renal transplant - grade II
SP08G,Acute rejection of renal transplant - grade III
SP08H,Acute rejection of renal transplant
SP08J,Chronic rejection of renal transplant
SP08N,Unexplained episode of renal transplant dysfunction
SP08P,Stenosis of vein of transplanted kidney
SP08R,Renal transplant rejection
SP08T,Urological complication of renal transplant
SP08V,Very mild acute rejection of renal transplant
SP08W,Vascular complication of renal transplant
SP0E.,Disorders associated with peritoneal dialysis
SP0F.,Haemodialysis first use syndrome
SP0G.,Anaphylactoid reaction due to haemodialysis
TB001,"Kidney transplant with complication, without blame"
Z1A1.,Peritoneal dialysis training
Z1A2.,Haemodialysis training
Z1A..,Dialysis training
Z9191,Priming haemodialysis lines
Z9192,Washing back through haemodialysis lines
Z9193,Reversing haemodialysis lines
Z919.,Care of haemodialysis equipment
Z91A.,Peritoneal dialysis bag procedure
7A600,Insertion of arteriovenous prosthesis
7A602,Attention to arteriovenous shunt
7A603,Removal of infected arteriovenous shunt
7A60y,Other specified arteriovenous shunt
7A60z,Arteriovenous shunt NOS
7A614,Ligation of acquired arteriovenous fistula
7A6E2,Declotting of thigh vein loop
7L1Ay,Other specified compensation for renal failure
7L1Az,Compensation for renal failure NOS
7L1By,Placement ambulatory apparatus- compensate renal failure OS
7L1Bz,Placement ambulatory apparatus- compensate renal failure NOS
7L1C.,Placement other apparatus for compensation for renal failure
7L1Cy,Placement other apparatus- compensate for renal failure OS
7L1Cz,Placement other apparatus- compensate for renal failure NOS
8877.,Ultrafiltration
TA02z,"Accid cut,puncture,perf,h'ge - perfusion NOS"
TA22.,Failure of sterile precautions during perfusion
TA22y,Failure of sterile precautions during other perfusion
TA22z,Failure of sterile precautions during perfusion NOS
TA420,Mech failure of instrument &/or apparatus during kidney dial
U6122,[X]Failure sterile precautions dur kidney dialys/other perf
Ua1IM,Chronic peritoneal dialysis
Ua1IN,Stab peritoneal dialysis
X018M,Creation of Cimino fistula
X018N,Creation brachiocephalic fistula
X018T,Angioplasty of arteriovenous fistula
X018U,Thrombolysis of arteriovenous fistula
X018V,Thrombolysis of arteriovenous graft
X018Y,Embolectomy of arteriovenous fistula
X018Z,Embolectomy of arteriovenous graft
