MedCodeID,Description
2884321000006114,Allergic dermatitis
889171000006113,Dermatitis/eczemas
308485016,Atopic dermatitis
2884341000006119,AD - Atopic dermatitis
477121000006119,Allergic (intrinsic) eczema
2884311000006118,Allergic eczema
2884301000006116,Atopic eczema
2884331000006112,Disseminated neurodermatitis
889161000006118,Atopic eczema/dermatitis
308497015,Atopic dermatitis NOS
497341000006116,Atopic dermatitis/eczema
889151000006115,Dermatitis/eczemas NOS
6661171000006116,Flexural atopic eczema
6661161000006111,Flexural atopic dermatitis
6661391000006118,Infantile atopic dermatitis
6661401000006116,Infantile atopic eczema
6661421000006114,Childhood atopic eczema
6661411000006118,Childhood atopic dermatitis
6661431000006112,Adult atopic dermatitis
6661441000006119,Adult atopic eczema
309324010,[X]Dermatitis due to other substances taken internally
399917015,Eczema
309315018,[X]Dermatitis and eczema
94953018,Flexural eczema
150503015,Infantile eczema
889251000006111,Chronic Eczema
622961000006111,Discoid eczema
