MedCodeID,Description
4554801000006113,On examination - ankylosing spondylitis chest deformity
12454581000006118,O/E - ankyl.spondyl.chest def.
253940015,On examination - ankylosing spondylitis chest deformity
359312010,Juvenile ankylosing spondylitis
5139501000006110,AS - Juvenile ankylosing spondylitis
5139511000006113,Juvenile spondyloarthropathy
5139561000006111,Ankylosing spondylitis with organ / system involvement
5139571000006116,Ankylosing spondylitis with multisystem involvement
718001000006112,Marie - Strumpell spondylitis
2653391000006114,Bekhterev's disease
2653411000006114,Marie-Strumpell spondylitis
2653371000006113,Rheumatoid spondylitis
16833013,Ankylosing spondylitis
2653421000006118,Idiopathic ankylosing spondylitis
2653381000006111,Spondylosis deformans
2653431000006115,AS - Ankylosing spondylitis
309788014,Rheumatoid arthritis of spine
2653361000006118,Marie StrÃ¼mpell spondylitis
