SNOMED Code,Description
9631008,Ankylosing spondylitis (disorder)
162930007,On examination - ankylosing spondylitis chest deformity (disorder)
239805001,Juvenile ankylosing spondylitis (disorder)
239806000,Juvenile spondyloarthropathy (disorder)
239810002,Ankylosing spondylitis with organ / system involvement (disorder)
239811003,Ankylosing spondylitis with multisystem involvement (disorder)
786077003,Ankylosing spondylitis co-occurrent with anterior uveitis (disorder)
838436001,Chest deformity due to ankylosing spondylitis (disorder)
156619005,Ankylosing spondylitis
201802002,Juvenile ankylosing spondylitis
