SNOMEDCTCodes,Description
1064811000000100,Moderate acute exacerbation of asthma (disorder)
1064821000000100,Life threatening acute exacerbation of asthma (disorder)
10674711000119100,Acute severe exacerbation of asthma co-occurrent with allergic rhinitis (disorder)
10675391000119100,Severe controlled persistent asthma (disorder)
10675431000119100,Severe persistent allergic asthma (disorder)
10675471000119100,Acute severe exacerbation of severe persistent allergic asthma (disorder)
10675551000119100,Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis (disorder)
10675591000119100,Severe persistent allergic asthma controlled (finding)
10675631000119100,Severe persistent asthma controlled co-occurrent with allergic rhinitis (disorder)
10675671000119100,Severe persistent allergic asthma uncontrolled (finding)
10675711000119100,Severe persistent asthma uncontrolled co-occurrent with allergic rhinitis (disorder)
10675751000119100,Severe uncontrolled persistent asthma (disorder)
10675871000119100,Mild persistent allergic asthma (disorder)
10675911000119100,Acute severe exacerbation of mild persistent allergic asthma (disorder)
10675991000119100,Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis (disorder)
10676031000119100,Mild persistent allergic asthma controlled (finding)
10676071000119100,Mild persistent asthma controlled (finding)
10676111000119100,Mild persistent asthma controlled co-occurrent with allergic rhinitis (disorder)
10676151000119100,Mild persistent allergic asthma uncontrolled (finding)
10676191000119100,Mild persistent asthma uncontrolled (finding)
10676231000119100,Mild persistent asthma uncontrolled co-occurrent with allergic rhinitis (disorder)
10676351000119100,Moderate persistent asthma controlled (finding)
10676391000119100,Moderate persistent allergic asthma (disorder)
10676431000119100,Acute severe exacerbation of moderate persistent allergic asthma (disorder)
10676511000119100,Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis (disorder)
10676551000119100,Moderate persistent allergic asthma controlled (finding)
10676591000119100,Moderate persistent controlled asthma co-occurrent with allergic rhinitis (disorder)
10676631000119100,Moderate persistent allergic asthma uncontrolled (finding)
10676671000119100,Moderate persistent asthma uncontrolled co-occurrent with allergic rhinitis (disorder)
10676711000119100,Moderate persistent asthma uncontrolled (finding)
10692681000119100,Aspirin exacerbated respiratory disease (disorder)
10692721000119100,Chronic obstructive asthma co-occurrent with acute exacerbation of asthma (disorder)
10692761000119100,Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder)
1086701000000100,Life threatening acute exacerbation of allergic asthma (disorder)
1086711000000100,Life threatening acute exacerbation of intrinsic asthma (disorder)
