MedCodeID,Description
301450011,Chronic asthmatic bronchitis
301451010,Chronic wheezy bronchitis
183191000006115,Recurrent wheezy bronchitis
4781571000006111,Bronchial hyperresponsiveness
2535857010,Hyperreactive airway disease
4781551000006118,Bronchial hyperreactivity
4781531000006113,Asthmatic
301485011,Asthma
4781581000006114,Bronchial hypersensitivity
301511014,Asthma unspecified
4781521000006110,Airway hyperreactivity
396120014,Asthma NOS
301480018,Bronchial asthma
4781561000006116,BHR - Bronchial hyperreactivity
301509017,Mixed asthma
2815001000006115,Meat-wrappers' asthma
338238011,Brittle asthma
5054251000006118,Byssinosis grade 3
350147016,Childhood asthma
350148014,Late onset asthma
350149018,Late-onset asthma
5054341000006110,Late-onset asthma
350154010,Pollen asthma
350153016,Hay fever with asthma
817361000006114,Hay fever with asthma
5054371000006119,Colophony asthma
5054391000006118,Sulfite-induced asthma
5054381000006116,Sulphite-induced asthma
5054431000006112,Asthmatic pulmonary eosinophilia
5492441000006114,Non-allergic asthma
396114013,Intrinsic asthma
301508013,Intrinsic asthma NOS
5492451000006111,Asthma due to internal immunological process
5649191000006110,Exacerbation of asthma
2988741000006118,Allergic-infective asthma
11922851000006115,Acute asthma
456163018,Asthma - currently active
655611000006111,Exercise induced asthma
655601000006113,Exercise-induced asthma
3005811000006119,Exercise induced asthma
3005801000006117,EIA - Exercise-induced asthma
3047751000006114,Baker's asthma
3047731000006119,Bakers' asthma
3047741000006112,Flour asthma
1208969012,Mild asthma
1208970013,Moderate asthma
1208971012,Occasional asthma
1208972017,Severe asthma
1483199016,Allergic asthma
350152014,Allergic asthma NEC
6512381000006116,Atopic asthma
660351000006118,Allergic atopic asthma
885291000006115,Extrinsic asthma - atopy
6550131000006111,Nocturnal asthma
1488722011,Asthma night-time symptoms
1780388018,Asthma confirmed
6703821000006115,Platinum asthma
6703841000006110,Cheese-makers' asthma
6703881000006116,Isocyanate induced asthma
2163183015,Wheezy bronchitis
6720721000006111,Asthmatic bronchitis
929091000006111,Aspirin-induced asthma
6782071000006115,Cough variant asthma
3169591000006116,Enzyme lung
3169581000006119,Enzyme detergent respiratory disease
3169571000006117,Enzyme detergent lung
3169561000006112,Detergent workers' lung
69311016,Detergent asthma
3169601000006112,Enzyme lung disease
6920631000006113,Tea-makers' asthma
7015991000006110,Non-IgE mediated allergic asthma
7016011000006114,Non-immunoglobulin E mediated allergic asthma
7016001000006111,Non IgE mediated allergic asthma
7021801000006116,Substance induced asthma
7030321000006113,IgE mediated asthma
7030351000006116,Immunoglobulin E-mediated allergic asthma
301499010,Extrinsic asthma
7030311000006117,IgE-mediated allergic asthma
7030341000006118,IgE mediated allergic asthma
7052221000006118,Exacerbation of intermittent asthma
7062421000006112,Severe persistent asthma
7067211000006115,Mild persistent asthma
7071891000006112,Moderate persistent asthma
