SNOMEDCTCodes,Description
49436004,Atrial fibrillation (disorder)
195080001,Atrial fibrillation and flutter (disorder)
1066831000000104,Atrial fibrillation detected (finding)
120041000119109,Atrial fibrillation with rapid ventricular response (disorder)
426749004,Chronic atrial fibrillation (disorder)
300996004,Controlled atrial fibrillation (disorder)
164889003,Electrocardiographic atrial fibrillation (finding)
143601000000104,Evaluation of atrial fibrillation burden (procedure)
1127481000000104,Evaluation of atrial fibrillation rate control (procedure)
715395008,Familial atrial fibrillation (disorder)
312442005,History of atrial fibrillation (situation)
449863006,Insertion of pacemaker for control of atrial fibrillation (procedure)
233910005,Lone atrial fibrillation (disorder)
706923002,Longstanding persistent atrial fibrillation (disorder)
429211003,Maze procedure for atrial fibrillation (procedure)
233911009,Non-rheumatic atrial fibrillation (disorder)
282825002,Paroxysmal atrial fibrillation (disorder)
1010405004,Paroxysmal atrial fibrillation with rapid ventricular response (disorder)
440028005,Permanent atrial fibrillation (disorder)
440059007,Persistent atrial fibrillation (disorder)
762247006,Preexcited atrial fibrillation (disorder)
314208002,Rapid atrial fibrillation (disorder)
758600000,Referral to atrial fibrillation clinic (procedure)
426814001,Transient cerebral ischemia due to atrial fibrillation (disorder)
175146007,Implantation of intravenous pacemaker for atrial fibrillation (procedure)
