MedCodeID,Description
256478018,ECG: atrial fibrillation
4586611000006112,Electrocardiographic atrial fibrillation
865521000006116,Pacer controlled atrial fibril
783761000006118,Implantation of intravenous pacemaker for atrial fibrillation
300132017,Atrial fibrillation and flutter NOS
300130013,Atrial fibrillation and flutter
5057261000006110,Lone atrial fibrillation
350465014,Non-rheumatic atrial fibrillation
5057281000006117,NRAF - Non-rheumatic atrial fibrillation
5669601000006117,PAF - Paroxysmal atrial fibrillation
5669611000006119,Intermittent atrial fibrillation
5669591000006113,AF - Paroxysmal atrial fibrillation
421235014,Paroxysmal atrial fibrillation
5887651000006116,Controlled atrial fibrillation
6016401000006115,History of atrial fibrillation
456154015,H/O: atrial fibrillation
6043781000006115,Rapid atrial fibrillation
2675253013,Chronic atrial fibrillation
7064701000006118,Transient cerebral ischemia due to atrial fibrillation
7064691000006118,Transient cerebral ischaemia due to atrial fibrillation
7099931000006114,Maze procedure
7099921000006111,Maze procedure for atrial fibrillation
636721000000112,Permanent atrial fibrillation
636701000000115,Persistent atrial fibrillation
7375931000006117,Insertion of pacemaker for control of atrial fibrillation
3299911000006116,AF - Atrial fibrillation
82343012,Atrial fibrillation
7610331000006110,Longstanding persistent atrial fibrillation
7731461000006119,Familial atrial fibrillation
1755871000000117,Referral to atrial fibrillation clinic
3636234016,Pre-excited atrial fibrillation
3636235015,Preexcited atrial fibrillation
