V2Codes,Description
H3,Chronic obstructive pulmonary disease
H31..,Chronic bronchitis
H310.,Simple chronic bronchitis
H3100,Chronic catarrhal bronchitis
H310z,Simple chronic bronchitis NOS
H311.,Mucopurulent chronic bronchitis
H3110,Purulent chronic bronchitis
H3111,Fetid chronic bronchitis
H311z,Mucopurulent chronic bronchitis NOS
H312.,Obstructive chronic bronchitis
H3120,Chronic asthmatic bronchitis
H3121,Emphysematous bronchitis
H3123,Bronchiolitis obliterans
H312z,Obstructive chronic bronchitis NOS
H313.,Mixed simple and mucopurulent chronic bronchitis
H31y.,Other chronic bronchitis
H31y1,Chronic tracheobronchitis
H31yz,Other chronic bronchitis NOS
H31z.,Chronic bronchitis NOS
H32..,Emphysema
H320.,Chronic bullous emphysema
H3200,Segmental bullous emphysema
H3201,Zonal bullous emphysema
H3202,Giant bullous emphysema
H3203,Bullous emphysema with collapse
H320z,Chronic bullous emphysema NOS
H321.,Panlobular emphysema
H322.,Centrilobular emphysema
H32y.,Other emphysema
H32y0,Acute vesicular emphysema
H32y1,Atrophic (senile) emphysema
H32y2,MacLeods unilateral emphysema
H32yz,Other emphysema NOS
H32z.,Emphysema NOS
H36..,Mild chronic obstructive pulmonary disease
H37..,Moderate chronic obstructive pulmonary disease
H38..,Severe chronic obstructive pulmonary disease
H39..,Very severe chronic obstructive pulmonary disease
H3A..,End stage chronic obstructive airways disease
H3B..,Asthma-chronic obstructive pulmonary disease overlap syndrom
H3y..,Other specified chronic obstructive airways disease
H3z..,Chronic obstructive airways disease NOS
H4640,Chronic emphysema due to chemical fumes
H4641,Obliterative bronchiolitis due to chemical fumes
H5832,Eosinophilic bronchitis
Hyu30,[X]Other emphysema
Hyu31,[X]Other specified chronic obstructive pulmonary disease
X101j,Occupational chronic bronchitis
X101k,Byssinosis grade 3
X101l,Bronchiolitis obliterans
X101m,Drug-induced bronchiolitis obliterans
X101n,Pulmonary emphysema
X101o,Pulmonary emphysema in alpha-1 PI deficiency
X101p,Toxic emphysema
X101q,Congenital lobar emphysema
X101r,Scar emphysema
X102z,Bronchiolitis obliterans with usual interstitial pneumonitis
Xaa7C,Eosinophilic bronchitis
Xac33,Asthma-chronic obstructive pulmonary disease overlap syndrom
XaEIV,Mild chronic obstructive pulmonary disease
XaEIW,Moderate chronic obstructive pulmonary disease
XaEIY,Severe chronic obstructive pulmonary disease
XaIND,End stage chronic obstructive airways disease
XaN4a,Very severe chronic obstructive pulmonary disease
XE0YM,Purulent chronic bronchitis
XE0YN,Bullous emphysema with collapse
XE0YO,Atrophic (senile) emphysema
XE0YP,Other emphysema NOS
