SNOMEDCTCodes,Description
10692761000119100,Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder)
135836000,End stage chronic obstructive airways disease (disorder)
13645005,Chronic obstructive lung disease (disorder)
16003001,Giant bullous emphysema (disorder)
185086009,Chronic obstructive bronchitis (disorder)
195949008,Chronic asthmatic bronchitis (disorder)
195953005,Mixed simple and mucopurulent chronic bronchitis (disorder)
195957006,Chronic bullous emphysema (disorder)
195958001,Segmental bullous emphysema (disorder)
195959009,Zonal bullous emphysema (disorder)
195963002,Acute vesicular emphysema (disorder)
196026004,Chronic emphysema caused by chemical fumes (disorder)
233672007,Byssinosis grade 3 (disorder)
233674008,Pulmonary emphysema in alpha-1 primary immunodeficiency deficiency (disorder)
233675009,Toxic emphysema (disorder)
233677001,Scar emphysema (disorder)
266355005,Bullous emphysema with collapse (disorder)
266356006,Atrophic (senile) emphysema (disorder)
293991000000106,Very severe chronic obstructive pulmonary disease (disorder)
313296004,Mild chronic obstructive pulmonary disease (disorder)
313297008,Moderate chronic obstructive pulmonary disease (disorder)
313299006,Severe chronic obstructive pulmonary disease (disorder)
360470001,Chronic mucus hypersecretion (disorder)
45145000,Unilateral emphysema (situation)
47895001,Congenital emphysema (disorder)
49691004,Occupational bronchitis (disorder)
4981000,Panacinar emphysema (disorder)
52571006,Chronic tracheobronchitis (disorder)
61937009,Simple chronic bronchitis (disorder)
63480004,Chronic bronchitis (disorder)
66987001,Congenital lobar emphysema (disorder)
68328006,Centriacinar emphysema (disorder)
74417001,Mucopurulent chronic bronchitis (disorder)
84409004,Fetid chronic bronchitis (disorder)
866901000000103,Eosinophilic bronchitis (disorder)
87433001,Pulmonary emphysema (disorder)
89549007,Catarrhal bronchitis (disorder)
