MedCodeID,Description
216596014,End stage chronic obstructive airways disease
4510801000006114,End stage chronic obstructive pulmonary disease
2716301000006114,Chronic airflow limitation
301545019,Chronic obstructive airway disease
990641000006110,Chronic obst. pulm. dis. NOS
555471000006114,COAD - Chronic obstructive airways disease
2716351000006113,COLD - Chronic obstructive lung disease
2716321000006116,COPD - Chronic obstructive pulmonary disease
2716231000006114,Chronic obstructive lung disease
2716311000006112,CAL - Chronic airflow limitation
2716241000006116,Chronic airway obstruction
301539010,Other specified chronic obstructive airways disease
2716291000006113,CAO - Chronic airflow obstruction
2716341000006111,Chronic airway disease
1222335015,Chronic obstructive pulmonary disease NOS
2716271000006112,CAFL - Chronic airflow limitation
2716261000006117,Chronic airflow obstruction
475431013,Chronic obstructive pulmonary disease
301836011,[X]Other specified chronic obstructive pulmonary disease
1222334016,Other specified chronic obstructive pulmonary disease
2716251000006119,Chronic irreversible airway obstruction
990651000006112,Chr. airway obstruction NOS
27096010,Giant bullous emphysema
301455018,Obstructive chronic bronchitis NOS
285100019,Emphysematous bronchitis
4733011000006115,COB - Chronic obstructive bronchitis
4732991000006119,Chronic bronchitis with emphysema
4733001000006118,Bronchitis with airway obstruction
4733021000006111,Obstructive chronic bronchitis
4733031000006114,Chronic obstructive bronchitis
285104011,Obstructive chronic bronchitis
183191000006115,Recurrent wheezy bronchitis
301450011,Chronic asthmatic bronchitis
301451010,Chronic wheezy bronchitis
301456017,Mixed simple and mucopurulent chronic bronchitis
301468014,Chronic bullous emphysema NOS
4781471000006112,Bullous emphysema
4781461000006117,Emphysematous bulla
301460019,Chronic bullous emphysema
301463017,Segmental bullous emphysema
301464011,Zonal bullous emphysema
301470017,Acute vesicular emphysema
4781821000006113,Chronic emphysema caused by chemical fumes
301572010,Chronic emphysema due to chemical fumes
5054251000006118,Byssinosis grade 3
5054271000006111,Pulmonary emphysema in alpha-1 PI deficiency
5054281000006114,Pulmonary emphysema in alpha-1 primary immunodeficiency deficiency
5054291000006112,Toxic emphysema
5054301000006113,Chemical emphysema
5054311000006111,Scar emphysema
396108018,Bullous emphysema with collapse
396109014,Atrophic (senile) emphysema
457168017,Mild chronic obstructive pulmonary disease
457169013,Moderate chronic obstructive pulmonary disease
457171013,Severe chronic obstructive pulmonary disease
6213641000006118,Chronic mucus hypersecretion
1230190015,MacLeod's unilateral emphysema
3228331000006111,Swyer-James syndrome
161781000006116,Sawyer - Jones syndrome
3228321000006113,Unilateral hyperlucent lung
3228301000006115,Unilateral emphysema
3228311000006117,MacLeod's syndrome
3274861000006119,Congenital emphysema
3274881000006112,Infantile lobar emphysema
3274871000006114,CLE - Congenital lobar emphysema
3304301000006112,Occupational bronchitis
3304321000006119,Occupational chronic bronchitis
3304311000006110,Industrial bronchitis
2578881000006118,Panacinar emphysema
2578911000006118,Alveolar emphysema of lung
2578901000006116,Vesicular emphysema
9337016,Panlobular emphysema
87480013,Chronic tracheobronchitis
508561017,Simple chronic bronchitis
301444018,Simple chronic bronchitis NOS
301458016,Other chronic bronchitis NOS
301459012,Chronic bronchitis NOS
105519017,Chronic bronchitis
301457014,Other chronic bronchitis
3589231000006114,Congenital lobar emphysema
11779711000006111,CLE - Congenital lobar emphysema
113497011,Centrilobular emphysema
3611791000006110,Centriacinar emphysema
885281000006118,Mucopurulent chr. bronchitis
123588010,Mucopurulent chronic bronchitis
301448015,Mucopurulent chronic bronchitis NOS
3873191000006110,Fetid chronic bronchitis
506053014,Purulent chronic bronchitis
139979010,Fetid chronic bronchitis
396110016,Other emphysema NOS
301835010,[X]Other emphysema
640491000006111,Pulmonary emphysema
301477019,Emphysema NOS
3921361000006112,Emphysema of lung
301469018,Other emphysema
508562012,Chronic catarrhal bronchitis
3955621000006112,Catarrhal bronchitis
492443010,Bronchiolitis obliterans
109301000006114,Tension pneumatocoele
457581000006111,Acute interstitial emphysema
516801000000112,Very severe chronic obstructive pulmonary disease
1948051000006112,Asthma-chronic obstructive pulmonary disease overlap syndrome
885311000006116,Chronic obst. pulm. dis. NOS
885301000006119,Chr. airway obstruction NOS
269761000006112,Obliterative bronchiolitis due to chemical fumes
2240631000000119,Eosinophilic bronchitis
