SNOMEDCTCodes,Description
38102005,Cholecystectomy (procedure)
302619004,Cholecystectomy and exploration of bile duct (procedure)
45993005,Cholecystectomy with exploration of common duct (procedure)
439712000,Cholecystectomy with exploration of common bile duct and choledochoenterostomy (procedure)
60228007,Cholecystectomy with exploration of common duct with cholangiography (procedure)
67557008,Laparoscopic cholecystectomy with exploration of common duct (procedure)
1137362006,Laparoscopic cholecystectomy and exploration of common bile duct using robotic assistance (procedure)
174495007,Total cholecystectomy and exploration of common bile duct (procedure)
174497004,Partial cholecystectomy and exploration of common bile duct (procedure)
235518007,Cholecystectomy and operative cholangiogram (procedure)
27063009,Excision of lesion of gallbladder (procedure)
45595009,Laparoscopic cholecystectomy (procedure)
1137453008,Laparoscopic cholecystectomy using robotic assistance (procedure)
1137372009,Laparoscopic partial cholecystectomy using robotic assistance (procedure)
20630000,Laparoscopic cholecystectomy with cholangiography (procedure)
450499007,Laparoscopic subtotal excision of gallbladder (procedure)
1260293004,Pancreaticoduodenectomy using robotic assistance (procedure)
713872007,Single-port laparoscopic cholecystectomy (procedure)
966201000000104,Open cholecystectomy (procedure)
116241004,Pancreaticoduodenectomy (procedure)
265458003,Pancreaticoduodenectomy and excision of surrounding tissue (procedure)
265459006,Pancreaticoduodenectomy with distal gastrectomy (procedure)
116242006,Pylorus-sparing pancreaticoduodenectomy (procedure)
89967006,Partial cholecystectomy (procedure)
235519004,Thorek partial cholecystectomy (procedure)
788061000000104,Subtotal cholecystectomy (procedure)
174494006,Total cholecystectomy and excision of surrounding tissue (procedure)
69036001,Total pancreaticoduodenectomy (procedure)
183980003,Cholecystectomy planned (situation)
428882003,History of cholecystectomy (situation)
197453004,Post-cholecystectomy bile leakage (disorder)
309205005,Cholecystectomy specimen (specimen)
90782003,Postcholecystectomy syndrome (disorder)
39681000087100,Chronic pain following cholecystectomy (finding)
413264006,Cholangiogram normal post-cholecystectomy (finding)
1156436001,Presence of primary malignant neoplasm of gallbladder at surgical margin in cholecystectomy specimen (observable entity)
369617007,Tissue specimen obtained from gallbladder by cholecystectomy with partial hepatectomy (specimen)
1156112005,Surgical margin involved by primary malignant neoplasm of gall bladder in cholecystectomy specimen (observable entity)
1279663007,Surgical margin involved by high grade glandular intraepithelial neoplasia in cholecystectomy specimen (observable entity)
1269357009,Distance of primary malignant neoplasm of gallbladder from cystic duct surgical margin in cholecystectomy specimen (observable entity)
1156607008,Presence of primary malignant neoplasm of gallbladder at liver parenchymal surgical margin in cholecystectomy specimen (observable entity)
1279660005,Presence of primary malignant neoplasm of gallbladder at liver parenchymal surgical margin in cholecystectomy specimen (observable entity)
