V2Codes,Description
7810.,Cholecystectomy
78100,Total cholecystectomy and excision of surrounding tissue
78101,Total cholecystectomy and exploration of common bile duct
78102,Total cholecystectomy NEC
78103,Partial cholecystectomy and exploration of common bile duct
78104,Partial cholecystectomy NEC
78105,Endoscopic cholecystectomy
78106,Open cholecystectomy
7810y,Other specified excision of gall bladder
7810z,Excision of gall bladder NOS
14ND.,History of cholecystectomy
J66y7,Post cholecystectomy bile leakage
