MedCodeID,Description
4269771000006112,Whipple operation
270634013,Pancreaticoduodenectomy NEC
4269781000006110,Whipple procedure
60191000006116,Pancreaticoduodenectomy
4269791000006113,"Whipple operation, proximal pancreatectomy"
4269801000006114,Pylorus-sparing pancreaticoduodenectomy
270327015,Total cholecystectomy and excision of surrounding tissue
270328013,Total cholecystectomy and exploration of common bile duct
270332019,Partial cholecystectomy and exploration of common bile duct
216241000006110,Post-cholecystectomy bile leakage
2828241000006111,Laparoscopic cholecystectomy with cholangiography
5081331000006111,Cholecystectomy and operative cholangiogram
353019017,Thorek partial cholecystectomy
550491000006117,Childs pancreaticoduodenectomy
394258019,Pancreaticoduodenectomy and excision of surrounding tissue
164501000006116,Rodney pancreaticoduodenectomy
5486221000006116,Pancreaticoduodenectomy with distal gastrectomy
12702681000006113,Pancreaticoduodenectomy and resection of antrum of stomach
137361000006113,Smith pancreaticoduodenectomy
249551000006113,Pancreaticoduodenectomy with distal gastrectomy
5486231000006118,Pancreaticoduodenectomy with antrectomy
652831000006113,Excision of lesion of gall bladder
2933411000006114,Excision of lesion of gallbladder
5909071000006115,Cholecystectomy and exploration of bile duct
5986001000006117,Cholecystectomy sample
5986011000006119,Excised gallbladder sample
5986021000006110,Specimen from gallbladder obtained by cholecystectomy
6327761000006119,Tissue specimen obtained from gallbladder by cholecystectomy with partial hepatectomy
652001000006110,Excision of gall bladder NOS
3113471000006119,Gallbladder excision
651991000006113,Excision of gallbladder
445763011,Cholecystectomy NEC
64698015,Cholecystectomy
394242017,Total cholecystectomy NEC
12701000006112,Other specified excision of gall bladder
3113481000006116,Removal of gallbladder
6838991000006113,Cholangiogram normal post-cholecystectomy
2693757016,History of cholecystectomy
7226831000006114,Cholecystectomy with exploration of common bile duct and choledochoenterostomy
7379711000006111,Laparoscopic subtotal cholecystectomy
7379721000006115,Laparoscopic subtotal excision of gallbladder
76021017,Laparoscopic cholecystectomy
1230244018,Endoscopic cholecystectomy
3242751000006119,Cholecystectomy with exploration of common duct
3478121000006113,Cholecystectomy with exploration of common duct with cholangiography
3478131000006111,Cholecystectomy with cholangiography
3598841000006114,Laparoscopic cholecystectomy with exploration of common duct
3622761000006118,Total pancreaticoduodenectomy
3622781000006111,Total pancreatoduodenectomy
3622771000006113,Total pancreatectomy with synchronous duodenectomy
7710731000006119,Single-port laparoscopic cholecystectomy
8247631000006118,Subtotal cholecystectomy
3962471000006113,Partial excision of gallbladder
3962461000006118,"Thoreck operation, partial cholecystectomy"
394243010,Partial cholecystectomy
3975451000006119,Postcholecystectomy syndrome
150436017,Post-cholecystectomy syndrome
2460701000000114,Open cholecystectomy
933041000006118,Cholecystotomy NOS
