CTV3Codes,Description
d4t..,Amisulpride
d4ty.,Amisulpride 100mg/mL s/f oral solution
d4t6.,Solian 100mg/mL s/f oral solution
d4t1.,Amisulpride 50mg tablet
d4t3.,Solian 50mg tablet
d4tx.,Amisulpride 100mg tablet
d4t7.,Solian 100mg tablet
d4t2.,Amisulpride 200mg tablet
d4t4.,Solian 200mg tablet
d4tz.,Amisulpride 400mg tablet
d4t5.,Solian 400mg tablet
d4v..,Aripiprazole
d4vw.,Aripiprazole 5mg tablet
d4v4.,Abilify 5mg tablet
d4vv.,ARIPIPRAZOLE 15mg oro-dispersible tablets
d4v6.,ABILIFY 15mg oro-dispersible tablets
d4vu.,ARIPIPRAZOLE 10mg oro-dispersible tablets
d4v5.,ABILIFY 10mg oro-dispersible tablets
d4vt.,ARIPIPRAZOLE 1mg/mL oral solution
d4v7.,ABILIFY 1mg/mL oral solution
d4vz.,Aripiprazole 10mg tablet
d4v1.,Abilify 10mg tablet
d4vy.,Aripiprazole 15mg tablet
d4v2.,Abilify 15mg tablet
d4vx.,Aripiprazole 30mg tablet
d4v3.,Abilify 30mg tablet
d4v8.,ABILIFY 9.75mg/1.3mL solution for injection
d4v9.,ABILIFY MAINTENA 400mg pdr+solv for suspension for injection
d4vr.,ARIPIPRAZOLE 400mg pdr+solvent for suspension for injection
d4vs.,ARIPIPRAZOLE 9.75mg/1.3mL solution for injection
d4x..,ASENAPINE
d4x1.,SYCREST 5mg sublingual tablets
d4x2.,ASENAPINE 5mg sublingual tablets
d4x3.,SYCREST 10mg sublingual tablets
d4x4.,ASENAPINE 10mg sublingual tablets
d4l..,Clozapine
d4l1.,Clozapine 25mg tablet
x00f6,Clozaril 25mg tablet
d4l3.,Clozaril 25mg tablets x84CP
d4l5.,Clozaril community pack 25mg tablets x28CP
d4l7.,Denzapine 25mg tablet
d4l9.,Zaponex 25mg tablet
d4l2.,Clozapine 100mg tablet
x00f7,Clozaril 100mg tablet
d4l4.,Clozaril 100mg tablets x84CP
d4l6.,Clozaril community pack 100mg tablets x28CP
d4l8.,Denzapine 100mg tablet
d4lA.,Zaponex 100mg tablet
d4lB.,DENZAPINE 50mg/mL oral suspension 100mL
d4lC.,CLOZAPINE 50mg/mL oral suspension
d4lD.,DENZAPINE 50mg tablets
d4lE.,CLOZAPINE 50mg tablets
d4lF.,DENZAPINE 200mg tablets
d4lG.,CLOZAPINE 200mg tablets
d4y..,LURASIDONE
d4y1.,LATUDA 18.5mg tablets
d4y2.,LURASIDONE 18.5mg tablets
d4y3.,LATUDA 37mg tablets
d4y4.,LURASIDONE 37mg tablets
d4y5.,LATUDA 74mg tablets
d4y6.,LURASIDONE 74mg tablets
d4r..,Olanzapine
d4r7.,Olanzapine 2.5mg tablet
d4r8.,Zyprexa 2.5mg tablet
d4rt.,OLANZAPINE 20mg tablets
d4rF.,ZYPREXA 20mg tablets
d4r1.,Olanzapine 5mg tablet
d4r4.,Zyprexa 5mg tablet
d4r2.,Olanzapine 7.5mg tablet
d4r5.,Zyprexa 7.5mg tablet
d4r3.,Olanzapine 10mg tablet
d4r6.,Zyprexa 10mg tablet
d4ry.,Olanzapine 5mg dispersible tablet
d4r9.,Zyprexa Velotab 5mg dispersible tablet
d4rz.,Olanzapine 10mg dispersible tablet
d4rA.,Zyprexa Velotab 10mg dispersible tablet
d4ru.,Olanzapine 20mg dispersible tablet
d4rE.,Zyprexa Velotab 20mg dispersible tablet
d4rx.,Olanzapine 15mg tablet
d4rB.,Zyprexa 15mg tablet
d4rw.,Olanzapine 15mg dispersible tablet
d4rC.,Zyprexa Velotab 15mg dispersible tablet
d4rv.,Olanzapine 10mg injection (pdr for recon)
d4rD.,Zyprexa 10mg injection (pdr for recon)
d4w..,PALIPERIDONE
d4w1.,INVEGA 3mg m/r tablets
d4wy.,PALIPERIDONE 6mg m/r tablets
d4wz.,PALIPERIDONE 3mg m/r tablets
d4wx.,PALIPERIDONE 9mg m/r tablets
d4w3.,INVEGA 9mg m/r tablets
d4w2.,INVEGA 6mg m/r tablets
d4w4.,INVEGA 12mg m/r tablets
d4ww.,PALIPERIDONE 12mg m/r tablets
d4w5.,XEPLION 50mg suspension for injection prefilled syringe
d4w6.,XEPLION 75mg suspension for injection prefilled syringe
d4w7.,XEPLION 100mg suspension for injection prefilled syringe
d4w8.,XEPLION 150mg suspension for injection prefilled syringe
d4w9.,XEPLION 100mg + 150mg susp for injection prefilled syringes
d4wr.,PALIPERIDONE 100mg + 150mg susp for inj prefilled syringes
d4ws.,PALIPERIDONE 150mg suspension for injection pfs
d4wt.,PALIPERIDONE 100mg suspension for injection pfs
d4wu.,PALIPERIDONE 75mg suspension for injection prefilled syringe
d4wv.,PALIPERIDONE 50mg suspension for injection prefilled syringe
d4s..,Quetiapine
d4s1.,Quetiapine 25mg tablet
d4s5.,Seroquel 25mg tablet
d4s2.,Quetiapine 100mg tablet
d4s6.,Seroquel 100mg tablet
d4sz.,Quetiapine 150mg tablet
d4s9.,Seroquel 150mg tablet
d4s3.,Quetiapine 200mg tablet
d4s7.,Seroquel 200mg tablet
d4sx.,Quetiapine 300mg tablet
d4sB.,Seroquel 300mg tablet
d4s4.,Quetiapine 25mg+100mg tablet starter pack
d4s8.,Seroquel 25mg+100mg tablet starter pack
d4sy.,Quetiapine 25mg+100mg+150mg tablet starter pack
d4sA.,Seroquel 25mg+100mg+150mg tablet starter pack
d4sC.,SEROQUEL XL 50mg m/r tablets
d4sD.,SEROQUEL XL 200mg m/r tablets
d4sE.,SEROQUEL XL 300mg m/r tablets
d4sF.,SEROQUEL XL 400mg m/r tablets
d4sG.,SEROQUEL XL 150mg m/r tablets
d4sH.,SONDATE XL 50mg m/r tablets
d4sI.,SONDATE XL 200mg m/r tablets
d4sJ.,SONDATE XL 300mg m/r tablets
d4sK.,SONDATE XL 400mg m/r tablets
d4sL.,ATROLAK XL 200mg m/r tablets
d4sM.,ATROLAK XL 300mg m/r tablets
d4sN.,SEOTIAPIM XL 200mg m/r tablets
d4sO.,SEOTIAPIM XL 300mg m/r tablets
d4sP.,SEOTIAPIM XL 400mg m/r tablets
d4sQ.,ATROLAK XL 50mg m/r tablets
d4sR.,ATROLAK XL 400mg m/r tablets
d4sS.,EBESQUE XL 50mg m/r tablets
d4sT.,EBESQUE XL 200mg m/r tablets
d4sU.,EBESQUE XL 300mg m/r tablets
d4sV.,EBESQUE XL 400mg m/r tablets
d4sW.,ZALURON XL 50mg m/r tablets
d4sY.,ZALURON XL 200mg m/r tablets
d4sZ.,ZALURON XL 300mg m/r tablets
d4sa.,ZALURON XL 400mg m/r tablets
d4sb.,BIQUELLE XL 50mg m/r tablets
d4sc.,BIQUELLE XL 150mg m/r tablets
d4sd.,BIQUELLE XL 200mg m/r tablets
d4se.,BIQUELLE XL 300mg m/r tablets
d4sf.,BIQUELLE XL 400mg m/r tablets
d4sg.,MINTRELEQ XL 50mg m/r tablets
d4sh.,MINTRELEQ XL 150mg m/r tablets
d4si.,MINTRELEQ XL 200mg m/r tablets
d4sj.,MINTRELEQ XL 300mg m/r tablets
d4sk.,MINTRELEQ XL 400mg m/r tablets
d4sl.,ALAQUET XL 50mg m/r tablets
d4sm.,ALAQUET XL 150mg m/r tablets
d4sn.,ALAQUET XL 200mg m/r tablets
d4so.,ALAQUET XL 300mg m/r tablets
d4sp.,ALAQUET XL 400mg m/r tablets
d4ss.,QUETIAPINE 150mg m/r tablets
d4st.,QUETIAPINE 400mg m/r tablets
d4su.,QUETIAPINE 300mg m/r tablets
d4sv.,QUETIAPINE 200mg m/r tablets
d4sw.,QUETIAPINE 50mg m/r tablets
d4p..,Risperidone
x05gB,Oral risperidone
d4pz.,Risperidone 0.5mg tablet
d4pD.,Risperdal 0.5mg tablet
d4p1.,Risperidone 1mg tablet
d4p5.,Risperdal 1mg tablet
d4p2.,Risperidone 2mg tablet
d4p6.,Risperdal 2mg tablet
d4p3.,Risperidone 3mg tablet
d4p7.,Risperdal 3mg tablet
d4p4.,Risperidone 4mg tablet
d4p8.,Risperdal 4mg tablet
d4pB.,Risperidone 6mg tablet
d4pC.,Risperdal 6mg tablet
d4p9.,Risperidone 1mg/mL liquid
d4pA.,Risperdal 1mg/mL liquid
d4pM.,Risperidone 0.5mg oro-dispersible tablet
d4pN.,Risperdal Quicklet 0.5mg oro-dispersible tablet
d4pH.,Risperidone 1mg oro-dispersible tablet
d4pK.,Risperdal Quicklet 1mg oro-dispersible tablet
d4pJ.,Risperidone 2mg oro-dispersible tablet
d4pL.,Risperdal Quicklet 2mg oro-dispersible tablet
d4pQ.,RISPERIDONE 3mg oro-dispersible tablets
d4pO.,RISPERDAL QUICKLET 3mg oro-dispersible tablets
d4pR.,RISPERIDONE 4mg oro-dispersible tablets
d4pP.,RISPERDAL QUICKLET 4mg oro-dispersible tablets
x05gC,Parenteral risperidone
d4py.,Risperidone 25mg powder+solvent for suspension for injection
d4pE.,Risperdal Consta 25mg powder+solvent for suspension for injection
d4px.,Risperidone 37.5mg powder+solvent for suspension for injection
d4pF.,Risperdal Consta 37.5mg powder+solvent for suspension for injection
d4pw.,Risperidone 50mg powder+solvent for suspension for injection
d4pG.,Risperdal Consta 50mg powder+solvent for suspension for injection
d4pS.,RISPERIDONE 1mg/mL oral solution
