SNOMED Code,Description
195403006,(Deep vein phlebitis and thrombophlebitis of the leg) or (deep vein thrombosis)
315760002,[V] Personal history deep vein thrombosis
285381000119104,Acute deep vein thrombosis of bilateral femoral veins
293491000119107,Acute deep vein thrombosis of left iliac vein
15711401000119105,Acute deep vein thrombosis of left lower limb following procedure
651000119108,Acute deep vein thrombosis of lower limb (disorder)
293481000119109,Acute deep vein thrombosis of right iliac vein
15708401000119100,Acute deep vein thrombosis of right lower limb following procedure
15708201000119101,Acute deep vein thrombosis of right upper limb following procedure
132251000119101,Acute deep venous thrombosis of popliteal vein (disorder)
132271000119105,Acute deep venous thrombosis of thigh (disorder)
285381000119104,Acute deep vein thrombosis of bilateral femoral veins (disorder)
136781000119101,Acute deep venous thrombosis of lower extremity as complication of procedure (disorder)
132261000119104,Acute deep venous thrombosis of tibial vein (disorder)
134961000119104,Acute deep venous thrombosis of axillary vein (disorder)
156268003,Antenatal deep vein thrombosis
200232006,Antenatal deep vein thrombosis - delivered
200234007,Antenatal deep vein thrombosis NOS
200231004,Antenatal deep vein thrombosis unspecified
200233001,Antenatal deep vein thrombosis with antenatal complication
49956009,Antepartum deep vein thrombosis
225999004,At risk of deep vein thrombosis
293461000119100,Chronic deep vein thrombosis of left iliac vein (disorder)
709687000,Chronic deep vein thrombosis of pelvic vein
293451000119102,Chronic deep vein thrombosis of right iliac vein
132131000119102,Chronic deep venous thrombosis of calf (disorder)
132191000119103,Chronic deep venous thrombosis of femoral vein (disorder)
132201000119100,Chronic deep venous thrombosis of iliofemoral vein (disorder)
503421000000105,Deep vein thrombosis enhanced services administration stage 1 service level (finding)
132141000119106,Chronic deep venous thrombosis of lower extremity (disorder)
132091000119104,Chronic deep venous thrombosis of lower limb due to coronary artery bypass grafting (disorder)
132151000119108,Chronic deep venous thrombosis of popliteal vein (disorder)
132171000119104,Chronic deep venous thrombosis of thigh (disorder)
132221000119109,Chronic deep venous thrombosis of upper extremity (disorder)
136751000119108,Chronic deep venous thrombosis of upper extremity as complication of procedure (disorder)
503451000000100,Deep vein thrombosis enhanced services administration stage 2 service level (finding)
503481000000106,Deep vein thrombosis enhanced services administration stage 3 service level (finding)
132551000119104,Chronic thrombosis of subclavian vein (disorder)
16750002,Deep thrombophlebitis
444325005,Deep vein thrombosis of bilateral lower extremities (disorder)
134399007,Deep vein thrombosis of leg related to air travel
366830006,Deep vein thrombosis of leg related to air travel
366911007,Deep vein thrombosis of leg related to air travel
413956008,Deep vein thrombosis of leg related to intravenous drug use (disorder)
860699005,Deep vein thrombosis of lower extremity due to intravenous drug use
366912000,Deep vein thrombosis of lower limb
17920008,Deep vein thrombosis of portal vein
14534009,Deep vein thrombosis of splenic vein
401186003,Deep vein thrombosis screening
155454004,Deep vein thrombosis-non obst.
266328001,Deep vein thrombosis-non obst.
267361004,Deep vein thrombosis-obstetric
128053003,DVT
128057002,DVT - Deep vein thrombosis of lower limb
404223003,DVT - Deep vein thrombosis of lower limb
200235008,DVT: [postnatal] or [obstetric phlegmasia alba dolens]
438785004,Deep venous thrombosis of tibial vein (disorder)
132161000119105,Chronic deep venous thrombosis of tibial vein (disorder)
703277001,Deep venous thrombosis of femoropopliteal vein (disorder)
427775006,Deep venous thrombosis of profunda femoris vein (disorder)
161508001,History of deep vein thrombosis
141911000119100,History of recurrent deep vein thrombosis
234044007,Ileofemoral deep vein thrombosis
156264001,Obstetric venous problems (& [deep vein thrombosis] or [varicose vein]) (disorder)
156269006,Postnatal deep vein thrombosis
200237000,Postnatal deep vein thrombosis - delivered with postnatal complication
200239002,Postnatal deep vein thrombosis NOS
200236009,Postnatal deep vein thrombosis unspecified
200238005,Postnatal deep vein thrombosis with postnatal complication
213220000,Postoperative deep vein thrombosis
56272000,Postpartum deep vein thrombosis
439993001,Prevention of deep vein thrombosis (regime/therapy)
710167004,Recurrent deep vein thrombosis (disorder)
431883007,Referral to deep vein thrombosis clinic (procedure)
432805000,Suspected deep vein thrombosis (situation)
978441000000108,Provoked deep vein thrombosis (disorder)
978421000000101,Unprovoked deep vein thrombosis (disorder)
869721000000104,Deep vein thrombosis care pathway (regime/therapy)
128055005,Deep venous thrombosis of pelvic vein (disorder)
443210003,Deep venous thrombosis of peroneal vein (disorder)
141911000119100,History of recurrent deep vein thrombosis (situation)
15708361000119109,Acute deep vein thrombosis of left lower limb following coronary artery bypass graft (disorder)
15708241000119104,Acute deep vein thrombosis of right lower limb following coronary artery bypass graft (disorder)
429098002,Thromboembolism of vein (disorder)
