SNOMEDCTCodes,Description
832007,Moderate major depression (disorder)
2618002,Chronic recurrent major depressive disorder (disorder)
14070001,Multi-infarct dementia with depression (disorder)
14183003,"Chronic major depressive disorder, single episode (disorder)"
15193003,"Severe recurrent major depression with psychotic features, mood-incongruent (disorder)"
15639000,"Moderate major depression, single episode (disorder)"
18818009,Moderate recurrent major depression (disorder)
19527009,Single episode of major depression in full remission (disorder)
20250007,"Severe major depression, single episode, with psychotic features, mood-incongruent (disorder)"
25922000,"Major depressive disorder, single episode with postpartum onset (disorder)"
26852004,"Primary degenerative dementia of the Alzheimer type, senile onset, with depression (disorder)"
28475009,Severe recurrent major depression with psychotic features (disorder)
30605009,Major depression in partial remission (disorder)
33078009,"Severe recurrent major depression with psychotic features, mood-congruent (disorder)"
33135002,Recurrent major depression in partial remission (disorder)
33736005,"Severe major depression with psychotic features, mood-congruent (disorder)"
35489007,Depressive disorder (disorder)
36474008,Severe recurrent major depression without psychotic features (disorder)
36923009,"Major depression, single episode (disorder)"
38694004,Recurrent major depressive disorder with atypical features (disorder)
39809009,Recurrent major depressive disorder with catatonic features (disorder)
40379007,Mild recurrent major depression (disorder)
40568001,Recurrent brief depressive disorder (disorder)
42925002,"Major depressive disorder, single episode with atypical features (disorder)"
48589009,Minor depressive disorder (disorder)
58703003,Postpartum depression (disorder)
60099002,"Severe major depression with psychotic features, mood-incongruent (disorder)"
66344007,Recurrent major depression (disorder)
69392006,"Major depressive disorder, single episode with catatonic features (disorder)"
70747007,"Major depression single episode, in partial remission (disorder)"
71336009,Recurrent major depressive disorder with postpartum onset (disorder)
73867007,Severe major depression with psychotic features (disorder)
75084000,Severe major depression without psychotic features (disorder)
76441001,"Severe major depression, single episode, without psychotic features (disorder)"
77911002,"Severe major depression, single episode, with psychotic features, mood-congruent (disorder)"
79298009,"Mild major depression, single episode (disorder)"
79842004,Stuporous depression (disorder)
82218004,Postoperative depression (disorder)
83458005,Agitated depression (disorder)
84788008,Menopausal depression (disorder)
87414006,Reactive depression (situational) (disorder)
87512008,Mild major depression (disorder)
161469008,History of depression (situation)
191457008,Senile dementia with depressive or paranoid features (disorder)
191459006,Senile dementia with depression (disorder)
191466007,Arteriosclerotic dementia with depression (disorder)
191495003,Drug-induced depressive state (disorder)
191604000,"Single major depressive episode, severe, with psychosis (disorder)"
191610000,"Recurrent major depressive episodes, mild (disorder)"
191611001,"Recurrent major depressive episodes, moderate (disorder)"
191613003,"Recurrent major depressive episodes, severe, with psychosis (disorder)"
191616006,Recurrent depression (disorder)
191659001,Atypical depressive disorder (disorder)
191676002,Reactive depressive psychosis (disorder)
192046006,Brief depressive adjustment reaction (disorder)
192049004,Prolonged depressive adjustment reaction (disorder)
192079006,Postviral depression (disorder)
192080009,Chronic depression (disorder)
231485007,Post-schizophrenic depression (disorder)
231499006,Endogenous depression first episode (disorder)
231500002,Masked depression (disorder)
231504006,Mixed anxiety and depressive disorder (disorder)
237349002,Mild postnatal depression (disorder)
237350002,Severe postnatal depression (disorder)
237739002,Pseudo-Cushing's syndrome of depression (disorder)
247803002,Seasonal affective disorder (disorder)
268621008,Recurrent major depressive episodes (disorder)
272022009,Complaining of feeling depressed (finding)
274948002,Endogenous depression - recurrent (disorder)
300706003,Endogenous depression (disorder)
310495003,Mild depression (disorder)
310496002,Moderate depression (disorder)
310497006,Severe depression (disorder)
319768000,Recurrent major depressive disorder with melancholic features (disorder)
320751009,"Major depression, melancholic type (disorder)"
321717001,Involutional depression (disorder)
366979004,Depressed mood (finding)
370143000,Major depressive disorder (disorder)
394924000,Symptoms of depression (finding)
395072006,Counseling for postnatal depression (procedure)
430852001,"Severe major depression, single episode, with psychotic features (disorder)"
