MedCodeID,Description
252548011,Difficulty swallowing solids
4545991000006110,Difficulty swallowing fluid
252550015,Difficulty swallowing liquids
2811061000006117,Intermittent dysphagia
8056801000006119,Acquired dysphagia
295621000000119,Developmental dysphagia
8008641000006112,Pharyngeal dysphagia
4943671000006110,Choking during swallowing
339003012,Chokes when swallowing
5026561000006110,Dysphagia lusoria
5083491000006118,Post-vagotomy dysphagia
5259541000006113,Coughs when swallowing
5259531000006115,Cough when swallowing
5739301000006114,Difficulty swallowing
5739371000006115,Difficulty swallowing food
12223741000006117,Food sticks on swallowing
5739561000006115,Difficulty swallowing thickened fluid
3506623013,Dysphagia due to and following non-traumatic intracerebral haemorrhage
3506625018,Dysphagia as sequela of non-traumatic intracerebral hemorrhage
3506626017,Dysphagia as late effect of spontaneous intracerebral haemorrhage
3506627014,Dysphagia as sequela of non-traumatic intracerebral haemorrhage
3506624019,Dysphagia as late effect of spontaneous intracerebral hemorrhage
3506622015,Dysphagia due to and following non-traumatic intracerebral hemorrhage
3504910018,Dysphagia as late effect of spontaneous subarachnoid hemorrhage
3504909011,Dysphagia as sequela of non-traumatic subarachnoid hemorrhage
3511461010,Dysphagia as late effect of spontaneous subarachnoid haemorrhage
3511463013,Dysphagia due to and following non-traumatic subarachnoid haemorrhage
3511462015,Dysphagia due to and following non-traumatic subarachnoid hemorrhage
3511460011,Dysphagia as sequela of non-traumatic subarachnoid haemorrhage
5960501000006113,Difficulty swallowing soft foods
6615561000006116,Uncompensated swallowing impairment
3155971000006116,Swallowing difficult
317469019,[D]Dysphagia NOS
3155961000006111,Can't get food down
317468010,Difficulty in swallowing
317467017,[D]Dysphagia
67950018,Dysphagia
3155981000006118,Cannot get food down
3158511000006112,Esophageal dysphagia
3158501000006114,Oesophageal dysphagia
7053121000006118,Dysphagia as a late effect of cerebrovascular accident
7053131000006115,"Dysphagia, late effect of stroke"
7112321000006112,Oral phase dysphagia
3559991000006112,Constant low-grade dysphagia
3662631000006112,Transfer dysphagia
3662621000006114,Oropharyngeal dysphagia
7743531000006113,Odontoma dysphagia syndrome
7837421000006116,Functional swallowing disorder
7837411000006112,Functional dysphagia
3803201000006116,Brown-Kelly-Paterson syndrome
3803211000006118,Plummer-Vinson-Patterson-Kelly syndrome
3803181000006117,Paterson-Kelly syndrome
755101000006110,Kelly-Paterson syndrome
281961000006111,Kelly - Paterson syndrome
132939019,Sideropenic dysphagia
219431000006113,Plummer - Vinson syndrome
132937017,Plummer-Vinson syndrome
8317511000006110,Acquired swallowing difficulty
397908014,Swallowing symptoms
