SNOMEDCTCodes,Description
40739000,Dysphagia (disorder)
196841000000100,Acquired dysphagia (disorder)
65191003,Constant low-grade dysphagia (disorder)
196871000000106,Developmental dysphagia (disorder)
426033005,Dysphagia as a late effect of cerebrovascular accident (disorder)
290641000119107,Dysphagia due to and following non-traumatic intracerebral hemorrhage (disorder)
291681000119108,Dysphagia due to and following non-traumatic subarachnoid hemorrhage (disorder)
231719009,Dysphagia lusoria (disorder)
40890009,Esophageal dysphagia (disorder)
722875003,Functional dysphagia (disorder)
19597002,Intermittent dysphagia (disorder)
716180009,Odontoma dysphagia syndrome (disorder)
429975007,Oral phase dysphagia (disorder)
71457002,Oropharyngeal dysphagia (disorder)
21101000119105,Pharyngeal dysphagia (disorder)
80126007,Plummer-Vinson syndrome (disorder)
235636002,Post-vagotomy dysphagia (disorder)
225589000,Chokes when swallowing
248593001,Coughs when swallowing
162025006,Difficulty swallowing fluid
288956004,Difficulty swallowing thickened fluid (finding)
288939007,Difficulty swallowing (finding)
898751000000102,Acquired swallowing difficulty (finding)
288945004,Difficulty swallowing food (finding)
306778008,Difficulty swallowing soft foods (finding)
162024005,Difficulty swallowing solids (finding)
398999006,Uncompensated swallowing impairment (finding)
