CTV3Codes,Description
F25..,Epilepsy
X005m,Localisation-related epilepsy
Xa0lJ,Localisation-related idiopathic epilepsy
XaOZG,Panayiotopoulos syndrome
X005o,Benign childhood epilepsy with centrotemporal spike
X005p,Benign frontal epilepsy of childhood
X005q,Benign psychomotor epilepsy of childhood
X005r,Benign atypical partial epilepsy in childhood
X005s,Epilepsy with recurrent unilateral seizures in children
X005t,Childhood epilepsy with occipital paroxysms
X005u,Benign occipital epilepsy of childhood - early onset variant
X005v,Benign occipital epilepsy of childhood - late onset variant
F257.,Kojevnikov's epilepsy
X005x,Localisation-related symptomatic epilepsy
F2540,Temporal lobe epilepsy
X0060,Lateral temporal epilepsy
X0061,Frontal lobe epilepsy
X0062,Supplementary motor epilepsy
X0064,Anterior frontopolar epilepsy
X0065,Orbitofrontal epilepsy
X0066,Dorsolateral epilepsy
XE15Z,Motor cortex epilepsy
X0067,Opercular epilepsy
X0069,Parietal lobe epilepsy
X006A,Occipital lobe epilepsy
F2543,Mesiobasal limbic epilepsy
X005z,Rhinencephalic epilepsy
X0063,Cingulate epilepsy
X005y,Amygdalo-hippocampal epilepsy
X001S,Rasmussen syndrome
X006C,Chronic progressive epilepsia partialis continua of childhood
X006D,Localisation-related symptomatic epilepsy with specific precipitant
X006E,Hemiplegia-hemiconvulsion-epilepsy syndrome
X006F,Localisation-related cryptogenic epilepsy
F254.,Partial epilepsy with impairment of consciousness
F254z,Partial epilepsy with impairment of consciousness NOS
XaJFI,Complex partial epileptic seizure
XaL2B,Simple partial epileptic seizure
F255.,Partial epilepsy without mention of impairment of consciousness
F2553,Partial epilepsy with autonomic symptoms
F255y,Other specified partial epilepsy without mention of impairment of consciousness
F255z,Partial epilepsy without mention of impairment of consciousness NOS
F25y2,Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localised onset
XaB4R,Motor epilepsy
XaB4S,"Jacksonian, focal or motor epilepsy"
XaB4T,Psychomotor epilepsy
F2510,Generalised epilepsy
XaQbJ,Petit mal (minor) epilepsy
X006G,Idiopathic generalised epilepsy
XaRGS,Childhood absence epilepsy
X006H,Benign neonatal familial convulsions
X006I,Benign non-familial neonatal convulsions
F2511,Benign myoclonic epilepsy in infancy
X006J,Myoclonic epilepsy of early childhood
X006K,Juvenile absence epilepsy
X006L,Juvenile myoclonic epilepsy
X006M,Epilepsy with grand mal seizures on awakening
X006N,Cryptogenic generalised epilepsy
F256.,West syndrome
X006O,Cryptogenic West syndrome
X006P,Symptomatic West syndrome
F256z,Infantile spasms NOS
X006Q,Lennox-Gastaut syndrome
X006R,Cryptogenic Lennox-Gastaut syndrome
X006S,Symptomatic Lennox-Gastaut syndrome
X006T,Myoclonic astatic epilepsy
X006U,Myoclonic absence epilepsy
XE15I,Progressive myoclonic epilepsy
X006V,Unverricht-Lundborg syndrome
X006X,Lafora disease
X006Y,Myoclonic epilepsy - ragged red fibres
F2513,Epileptic seizures - myoclonic
X006Z,Cryptogenic myoclonic epilepsy
X006a,Idiopathic myoclonic epilepsy
X004s,Post-anoxic myoclonus
X006c,Symptomatic generalised epilepsy
X006d,Early myoclonic encephalopathy
X006e,Early infantile epileptic encephalopathy with suppression bursts
X006f,Symptomatic myoclonic epilepsy
F1322,Myoclonic encephalopathy
XaBM2,Grand mal seizure
F250.,Generalised non-convulsive epilepsy
F250y,Other specified generalised non-convulsive epilepsy
F250z,Generalised non-convulsive epilepsy NOS
F251.,Generalised convulsive epilepsy
F251y,Other specified generalised convulsive epilepsy
F251z,Generalised convulsive epilepsy NOS
X006l,Epilepsy undetermined whether focal or generalised
Q480.,Convulsions in newborn
Xa09G,Fifth day fits
Xa0Bl,Benign neonatal seizures
X006n,Severe myoclonic epilepsy in infancy
X006p,Epilepsy with continuous spike wave during slow-wave sleep
X006q,Reading epilepsy
X005w,Primary inherited reading epilepsy
X006s,Secondary reading epilepsy
F2551,Epilepsy associated with specific stimuli
XaJgP,Stress-induced epilepsy
X006t,Drug-induced epilepsy
X006u,Alcohol-induced epilepsy
X006v,Narcotic withdrawal epilepsy
X006w,Menstrual epilepsy
X006x,Nocturnal epilepsy
X006y,Photosensitive epilepsy
X006z,Epilepsy only in relation to photic stimulation
X0070,Eyelid myoclonus with absences
F2554,Visual reflex epilepsy
X0072,Writing epilepsy
X0073,Musicogenic epilepsy
X0074,Tactile epilepsy
X0075,Eating epilepsy
X0076,Tapping epilepsy
X0077,Toothbrushing epilepsy
X0078,Decision-making epilepsy
X0079,Aquagenic epilepsy
SC200,Traumatic epilepsy
X007A,Self-induced non-photosensitive epilepsy
F25y0,Cursive (running) epilepsy
X007B,Status epilepticus
XE15Y,Convulsive status epilepticus
F252.,Non-convulsive status epilepticus with impaired consciousness
X007C,Non-convulsive status epilepticus with three per second spike wave
X007D,Non-convulsive status epilepticus without three per second spike wave
X007E,Non-convulsive simple partial status epilepticus
X007F,Motor simple partial status
X007G,Complex partial status epilepticus
Fyu52,[X]Other status epilepticus
Fyu59,"[X]Status epilepticus, unspecified"
F2542,Psychosensory epilepsy
F2552,Somatosensory epilepsy
F2555,Unilateral epilepsy
F25y.,Other forms of epilepsy
F25yz,Other forms of epilepsy NOS
Fyu50,[X]Other generalised epilepsy and epileptic syndromes
Fyu51,[X]Other epilepsy
XE15a,Epilepsy NOS
XaC34,Fit (in known epileptic) NOS
XaEIj,Epileptic seizure
F2502,Epileptic seizures - atonic
F2503,Epileptic seizures - akinetic
F2512,Epileptic seizures - clonic
F2514,Epileptic seizures - tonic
6674.,Epilepsy associated problems
XaFjh,Epilepsy control good
XaFji,Epilepsy control poor
XaJtH,No epilepsy drug side effects
6677.,Epilepsy drug side effects
XaJBY,Epilepsy limits activities
XaJB6,Epilepsy impairs education
Xacez,At risk of sudden unexpected death in epilepsy
XaRFa,Contraceptive advice for patients with epilepsy not indicated
XaRFf,Pre-conception advice for patients with epilepsy declined
XaRFc,Pregnancy advice for patients with epilepsy not indicated
XaRFe,Contraceptive advice for patients with epilepsy declined
XaRFg,Pregnancy advice for patients with epilepsy declined
XaJBi,Emergency epilepsy treatment since last appointment
1473.,H/O: epilepsy
XaJBb,Epilepsy severity
XaJBn,Epilepsy confirmed
667..,Epilepsy monitoring
6678.,Epilepsy treatment changed
6679.,Epilepsy treatment started
667A.,Epilepsy treatment stopped
667Z.,Epilepsy monitoring NOS
XaJBZ,Epilepsy does not limit activities
XaJBa,Epilepsy management plan given
XaJBd,1 to 12 seizures per year
XaJBe,2 to 4 seizures per month
XaJBf,1 to 7 seizures a week
XaJBg,Daily seizures
XaJBh,Many seizures a day
XaYXv,Epilepsy monitoring in secondary care
XaM9q,Seen in epilepsy clinic
XaJOo,Epilepsy screen invite 3
XaKbx,Epilepsy monitoring call
XaMFq,Epilepsy monitoring telephone invite
XaLMo,Epilepsy monitoring call first letter
XaLMp,Epilepsy monitoring call second letter
XaLMq,Epilepsy monitoring call third letter
XaKby,Epilepsy monitoring verbal invite
XaJ0m,Epilepsy screen invite 1
XaJ0n,Epilepsy screen invite 2
XaIu1,Epilepsy care arrangement
XaYWT,Referral for epilepsy review
XaJ4S,Exception reporting: epilepsy quality indicators
XaJ4o,Excepted from epilepsy quality indicators: informed dissent
XaJ4n,Excepted from epilepsy quality indicators: patient unsuitable
XaeCq,Neurological disorders depression inventory in epilepsy
