SNOMEDCTCodes,Description
84757009,Epilepsy (disorder)
230438007,Acquired epileptic aphasia (disorder)
766044005,Acute encephalopathy with biphasic seizures and late reduced diffusion (disorder)
788417006,"Alopecia, epilepsy, intellectual disability syndrome Moynahan type (disorder)"
720519003,"Atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome (disorder)"
8291000119107,Atonic epilepsy (disorder)
187931000119106,Atypical absence epilepsy (disorder)
771448004,Autism epilepsy syndrome due to branched chain ketoacid dehydrogenase kinase deficiency (disorder)
733623005,"Autism spectrum disorder, epilepsy, arthrogryposis syndrome (disorder)"
770622009,Benign infantile focal epilepsy with midline spikes and waves during sleep (disorder)
38281008,Benign neonatal convulsions (disorder)
230410004,Benign neonatal familial convulsions (disorder)
715534008,Infantile convulsion and choreoathetosis syndrome (disorder)
722386009,Celiac disease with epilepsy and cerebral calcification syndrome (disorder)
49776008,Centrencephalic epilepsy (disorder)
721088003,"Developmental delay, epilepsy, neonatal diabetes syndrome (disorder)"
230441003,Drug-induced epilepsy (disorder)
361268000,Alcohol-induced epilepsy (disorder)
230443000,Narcotic withdrawal epilepsy (disorder)
724988000,Epilepsy co-occurrent and due to degenerative brain disorder (disorder)
724992007,Epilepsy co-occurrent and due to dementia (disorder)
724991000,Epilepsy co-occurrent and due to demyelinating disorder (disorder)
724989008,Epilepsy co-occurrent and due to mesial temporal sclerosis (disorder)
724787004,Epilepsy due to cerebrovascular accident (disorder)
724785007,Epilepsy due to perinatal stroke (disorder)
724990004,Epilepsy due to immune disorder (disorder)
724549005,Epilepsy due to infectious disease of central nervous system (disorder)
860804005,Epilepsy due to infectious encephalitis (disorder)
860806007,Epilepsy due to infectious meningitis (disorder)
860815000,Epilepsy due to neonatal central nervous system infection (disorder)
724789001,Epilepsy due to intracranial tumor (disorder)
724786008,Epilepsy due to perinatal anoxic-ischemic brain injury (disorder)
322112361000132104,Epilepsy due to scarring of brain (disorder)
10750951000119106,Epilepsy in mother complicating childbirth (disorder)
100941000119100,Epilepsy in mother complicating pregnancy (disorder)
733195008,Epilepsy of infancy with migrating focal seizures (disorder)
733032006,Epilepsy telangiectasia syndrome (disorder)
230435005,Epilepsy undetermined whether focal or generalized (disorder)
230439004,Epilepsy with continuous spike wave during slow-wave sleep (disorder)
733031004,"Epilepsy, microcephaly, skeletal dysplasia syndrome (disorder)"
422513000,"Epilepsy, not refractory (disorder)"
434551000124106,"Benign childhood epilepsy with centrotemporal spikes, non-refractory (disorder)"
82381000119103,Epileptic dementia with behavioral disturbance (disorder)
716706009,Female restricted epilepsy with intellectual disability syndrome (disorder)
19598007,Generalized epilepsy (disorder)
773498006,"Autosomal recessive cerebellar ataxia, epilepsy, intellectual disability syndrome due to TUD deficiency (disorder)"
230415009,Cryptogenic generalized epilepsy (disorder)
778063003,Cryptogenic late-onset epileptic spasms (disorder)
230427007,Cryptogenic myoclonic epilepsy (disorder)
230428002,Idiopathic myoclonic epilepsy (disorder)
230418006,Lennox-Gastaut syndrome (disorder)
230419003,Cryptogenic Lennox-Gastaut syndrome (disorder)
230420009,Symptomatic Lennox-Gastaut syndrome (disorder)
230422001,Myoclonic absence epilepsy (disorder)
766815007,Perioral myoclonia with absences (disorder)
230426003,Myoclonic epilepsy with ragged red fibers (disorder)
37356005,Myoclonic seizure (disorder)
717225001,Benign adult familial myoclonic epilepsy (disorder)
784342008,Familial infantile myoclonic epilepsy (disorder)
6204001,Juvenile myoclonic epilepsy (disorder)
698761003,Refractory juvenile myoclonic epilepsy (disorder)
230421008,Myoclonic astatic epilepsy (disorder)
267581004,Progressive myoclonic epilepsy (disorder)
764453009,Action myoclonus renal failure syndrome (disorder)
733082001,Early-onset Lafora body disease (disorder)
771469002,"Early-onset spastic ataxia, myoclonic epilepsy, neuropathy syndrome (disorder)"
230425004,Lafora disease (disorder)
783064000,Progressive myoclonic epilepsy type 3 (disorder)
783055005,Progressive myoclonic epilepsy type 5 (disorder)
783062001,Progressive myoclonic epilepsy type 6 (disorder)
783139000,Progressive myoclonic epilepsy type 8 (disorder)
763349002,Progressive myoclonic epilepsy with dystonia (disorder)
702326000,Progressive myoclonus epilepsy with ataxia (disorder)
703524005,Spinal muscular atrophy with progressive myoclonic epilepsy (disorder)
230423006,Unverricht-Lundborg syndrome (disorder)
698762005,Refractory myoclonic epilepsy (disorder)
230437002,Severe myoclonic epilepsy in infancy (disorder)
28055006,West syndrome (disorder)
230416005,Cryptogenic West syndrome (disorder)
290871000119101,Infantile spasms co-occurrent with status epilepticus (disorder)
230417001,Symptomatic West syndrome (disorder)
723125008,Epileptic encephalopathy (disorder)
773548008,"Early-onset epileptic encephalopathy, cortical blindness, intellectual disability, facial dysmorphism syndrome (disorder)"
726702005,Epileptic encephalopathy with global cerebral demyelination (disorder)
771223000,Infantile epileptic dyskinetic encephalopathy (disorder)
773643006,"Multiple congenital anomalies, hypotonia, seizures syndrome type 2 (disorder)"
778047006,Myoclonic epilepsy in non-progressive encephalopathy (disorder)
778001003,Potassium voltage-gated channel subfamily Q member 2 related epileptic encephalopathy (disorder)
782825008,"Primary microcephaly, epilepsy, permanent neonatal diabetes syndrome (disorder)"
65120008,Generalized convulsive epilepsy (disorder)
770898002,"Autosomal recessive cerebellar ataxia, epilepsy, intellectual disability syndrome due to WW domain containing oxidoreductase deficiency (disorder)"
230414008,Epilepsy with grand mal seizures on awakening (disorder)
13973009,Grand mal status (disorder)
3371000119106,Refractory generalized convulsive epilepsy (disorder)
715629001,Generalized epilepsy and paroxysmal dyskinesia syndrome (disorder)
699688008,Generalized epilepsy with febrile seizures plus (disorder)
192979009,Generalized non-convulsive epilepsy (disorder)
698760002,Generalized non-convulsive absence epilepsy (disorder)
441678004,Refractory generalized nonconvulsive epilepsy (disorder)
36803009,Idiopathic generalized epilepsy (disorder)
192990004,Benign myoclonic epilepsy in infancy (disorder)
50866000,Childhood absence epilepsy (disorder)
40816002,Retropulsion petit mal (disorder)
716278005,Jeavons syndrome (disorder)
230413002,Juvenile absence epilepsy (disorder)
230412007,Myoclonic epilepsy of early childhood (disorder)
47391000119107,Primary generalized absence epilepsy (disorder)
710046001,Refractory idiopathic generalized epilepsy (disorder)
71831005,Symptomatic generalized epilepsy (disorder)
230429005,Early infantile epileptic encephalopathy with suppression bursts (disorder)
768666006,Syntaxin binding protein 1 encephalopathy with epilepsy (disorder)
770431001,"Early-onset epileptic encephalopathy and intellectual disability due to glutamate receptor, ionotropic, N-methyl-D-aspartate, subunit 2A mutation (disorder)"
192845009,Myoclonic encephalopathy (disorder)
725163002,"X-linked spasticity, intellectual disability, epilepsy syndrome (disorder)"
230430000,Symptomatic myoclonic epilepsy (disorder)
785726009,Hyperekplexia epilepsy syndrome (disorder)
724274009,Infant epilepsy with migrant focal crisis (disorder)
770438007,Infantile spasm and broad thumb syndrome (disorder)
109478007,Kohlschutter's syndrome (disorder)
230381009,Localization-related epilepsy (disorder)
771142009,Cortical dysplasia with focal epilepsy syndrome (disorder)
230407006,Hemiplegia-hemiconvulsion-epilepsy syndrome (disorder)
307357004,"Jacksonian, focal or motor epilepsy (disorder)"
230408001,Localization-related cryptogenic epilepsy (disorder)
278510009,Localization-related idiopathic epilepsy (disorder)
15523002,Benign focal epilepsy of childhood (disorder)
230384001,Benign atypical partial epilepsy in childhood (disorder)
230382002,Benign frontal epilepsy of childhood (disorder)
230383007,Benign psychomotor epilepsy of childhood (disorder)
230386004,Childhood epilepsy with occipital paroxysms (disorder)
230387008,Benign occipital epilepsy of childhood - early onset variant (disorder)
230388003,Benign occipital epilepsy of childhood - late onset variant (disorder)
767254005,Recurrent benign focal seizures of childhood (disorder)
4414500,Benign Rolandic epilepsy (disorder)
434541000124109,"Benign childhood epilepsy with centrotemporal spikes, refractory (disorder)"
765093009,"Rolandic epilepsy, speech dyspraxia syndrome (disorder)"
291311000119108,Status epilepticus in benign Rolandic epilepsy (disorder)
290741000119102,Intractable idiopathic partial epilepsy (disorder)
