MedCodeID,Description
8031611000006111,Epilepsy in pregnancy
8031601000006113,Epilepsy in mother complicating pregnancy
9323961000006117,Epilepsy in mother complicating childbirth
9323971000006112,Epilepsy in childbirth
8454701000006114,Emergency hospital admission to paediatric epilepsy service
154851000000115,Epilepsy impairs education
155701000000114,Epilepsy society member
4164911000006118,"Epilepsy, mental deterioration and yellow teeth"
4164931000006112,Kohlschutter syndrome
4164891000006115,Kohlschutter's syndrome
4164921000006114,Amelocerebrohypohidrotic syndrome
4164901000006116,"Epilepsy, dementia and amelogenesis imperfecta"
4196381000006118,Extratemporal epilepsy
8037291000006111,Intractable simple partial epilepsy
4411891000006117,Seizure disorder
8043371000006110,Seizure disorder as sequela of stroke
2721471000006114,Convulsive status epilepticus
23819016,Grand mal status
8000341000006117,Partial frontal lobe epilepsy
2746121000006114,Benign focal epilepsy of childhood
251644018,H/O: epilepsy
4540141000006110,History of epilepsy
264630011,Initial epilepsy assessment
264634019,Epilepsy associated problems
264637014,Epilepsy drug side effect
12485141000006112,Epilepsy drug side effects
4636071000006111,Epilepsy drug side effect
264638016,Epilepsy treatment changed
8053261000006111,Atypical absence epilepsy
297060016,Myoclonic encephalopathy
4769481000006114,Generalized non-convulsive epilepsy
10791000006116,Other specified generalised nonconvulsive epilepsy
2550890017,Generalised non-convulsive epilepsy
4769501000006116,Generalised nonconvulsive epilepsy
800721000006115,Generalised nonconvulsive epilepsy NOS
4769491000006112,Generalized nonconvulsive epilepsy
297266016,Epileptic seizures - atonic
297267013,Epileptic seizures - akinetic
4769541000006119,Benign myoclonic epilepsy in infancy
297281010,Neonatal myoclonic epilepsy
253231000006116,Otohara syndrome
297282015,Epileptic seizures - clonic
297284019,Epileptic seizures - tonic
297295013,Partial epilepsy with impairment of consciousness
297303012,Partial epilepsy with impairment of consciousness NOS
4769611000006117,TLE - Temporal lobe epilepsy
4769621000006113,Psychomotor seizure
297296014,Temporal lobe epilepsy
297300010,Psychosensory epilepsy
4769641000006118,Mesiobasal limbic epilepsy
743461000006119,Limbic system epilepsy
297311019,Somatosensory epilepsy
297312014,Partial epilepsy with autonomic symptoms
297313016,Visceral reflex epilepsy
297325018,Cursive (running) epilepsy
4769771000006116,Cursive epilepsy
4769781000006118,Running epilepsy
4769801000006119,Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset
736371000006112,Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localised onset
2811081000006110,Generalized epilepsy
223811000000118,Generalised epilepsy
8056521000006114,Epilepsy care education
301541000000116,Simple partial epileptic seizure
8007861000006111,Partial occipital lobe epilepsy
307861000000113,Epilepsy monitoring call first letter
307881000000116,Epilepsy monitoring call second letter
307901000000118,Epilepsy monitoring call third letter
8008951000006118,Partial parietal lobe epilepsy
2534041000006111,Visceral epilepsy
5004721000006111,Rasmussen encephalitis
344986017,Rasmussen syndrome
245361000006118,Partial epilepsy without impairment of consciousness OS
245341000006117,Localisation-related epilepsy
5007071000006118,Local epilepsy
345225017,Focal epilepsy
245351000006115,Partial epilepsy
5007091000006117,Localization-related epilepsy
5007101000006111,Benign frontal epilepsy of childhood
5007111000006114,Benign psychomotor epilepsy of childhood
5007121000006118,Benign atypical partial epilepsy in childhood
5007161000006112,BCEOP - Benign childhood epilepsy with occipital paroxysms
5007141000006113,Childhood epilepsy with occipital paroxysms
5007151000006110,Benign occipital epilepsy of childhood
5007171000006117,Benign occipital epilepsy of childhood - early onset variant
632721000000111,Panayiotopoulos syndrome
5007191000006116,Benign occipital epilepsy of childhood - late onset variant
5007201000006118,Primary inherited reading epilepsy
5007211000006115,Localisation-related symptomatic epilepsy
5007221000006111,Localization-related symptomatic epilepsy
5007231000006114,Amygdalo-hippocampal epilepsy
5007241000006116,Rhinencephalic epilepsy
5007251000006119,Lateral temporal epilepsy
5007261000006117,Frontal lobe epilepsy
5007271000006112,Supplementary motor epilepsy
5007281000006110,Cingulate epilepsy
5007291000006113,Anterior frontopolar epilepsy
5007301000006114,Orbitofrontal epilepsy
5007311000006112,Dorsolateral epilepsy
5007321000006116,Opercular epilepsy
5007331000006118,Non-progressive Kozhevnikow syndrome
5007351000006113,Parietal lobe epilepsy
5007361000006110,Occipital lobe epilepsy
5007381000006117,Progressive variant Kozhevnikow syndrome
5007371000006115,Chronic progressive epilepsia partialis continua of childhood
5007391000006119,Localisation-related symptomatic epilepsy with specific precipitant
5007401000006117,Localization-related symptomatic epilepsy with specific precipitant
5007421000006110,Hemiconvulsion-hemiplegia-epilepsy syndrome
5007431000006113,H-H-E syndrome
5007411000006119,Hemiplegia-hemiconvulsion-epilepsy syndrome
5007441000006115,Localisation-related cryptogenic epilepsy
5007451000006118,Localization-related cryptogenic epilepsy
5007481000006114,Benign neonatal epilepsy
5007501000006116,Benign familial infantile convulsions
5007471000006111,Benign neonatal familial convulsions
