MedCodeID,Description
8446011000006117,Does not sustain energy level
8452571000006115,Assessment using Chalder Fatigue Scale
12117881000006116,MSK-HQ (Musculoskeletal Health Questionnaire) item 10 - fatigue or low energy
899761000006118,Heat fatigue - transient
819011000006118,Transient heat fatigue
1222479016,Lassitude
252286018,Heavy legs
252287010,Heavy feeling
4544981000006113,Heaviness sensation
2771381000006116,Peripheral muscle fatigue
4934561000006115,Tired
5170431000006113,Exhaustion - physiological
5255181000006111,Rapidly tired
5255171000006113,Tires quickly
5255191000006114,Easily tired
5255201000006112,Tired on least exertion
5255211000006110,Quickly exhausted
5255231000006116,Easily exhausted
5255221000006119,Rapidly exhausted
5255241000006114,Exhausted on least exertion
5255301000006116,Attacks of weakness
5279441000006110,Rapid fatigue of gait
102731000006113,Tired all the time
5497711000006118,TATT - Tired all the time
397879018,Tired all the time
730581000006116,Malaise and fatigue
317071013,[D]Malaise and fatigue NOS
317063014,[D]Malaise and fatigue
6386811000006115,Sensation of heaviness in limbs
7236591000006112,Level of fatigue
7259631000006115,Psychogenic fatigue
7287211000006110,Post-exertion fatigue
7287201000006112,Post-exertional fatigue
7287181000006111,Postexertional fatigue
7287191000006114,Excessive postexertional fatigue
7313421000006116,Assessment using fatigue impact scale
7331541000006118,FIS (fatigue impact scale) score
7331531000006111,Fatigue impact scale score
882411000006117,Nervous debility -neurasthenia
317931018,Senile exhaustion
3450811000006111,Physical AND emotional exhaustion state
99879014,Exhaustion
3476361000006117,Washed out
3476351000006119,Worn out
650691000006112,Exhaustion due to excessive exertion
7699971000006118,Management of fatigue
7706021000006119,Sometimes tired
7706011000006110,Occasionally tired
3808451000006112,Muscles tyre easily
3808461000006114,Muscles tire easily
3808471000006119,Muscle tiredness
3808441000006110,Muscle fatigue
3870351000006114,Weariness
317065019,[D]Fatigue
667321000006111,Fatigue
386731000006116,[X]Fatigue syndrome
3881641000006118,Extreme exhaustion
3881651000006116,Prostration
899861000006111,Exposure exhaustion
146158011,Exhaustion due to exposure
252288017,Tiredness symptom NOS
317067010,[D]Lethargy
317069013,[D]Tiredness
407105011,Fatigue - symptom
730571000006119,Malaise - symptom
747481000006115,Lethargy
397878014,Tiredness symptom
407107015,C/O - 'tired all the time'
407080017,C/O - postviral syndrome
677321000006115,Neurasthenia
677031000006115,Nervous exhaustion
399841000006110,[X]Neurasthenia
698891000006117,Maternal exhaustion
