CTV3Codes,Description
14A6.,H/O: heart failure
14S3.,H/O: heart recipient
14T3.,H/O: artificial heart valve
14T7.,H/O: artificial heart
7900.,Heart and lung transplant
79000,Allotransplant of heart and lung
79001,Revision of transplantation of heart and lung
7900y,Other specified transplantation of heart and lung
7900z,Transplantation of heart and lung NOS
7901.,Other transplantation of heart
79010,Allotransplantation of heart NEC
79011,Xenotransplant of heart
79013,Heterotopic allotransplant of heart
79014,Revision of implantation of prosthetic heart
79015,Revision of transplantation of heart NEC
7901y,Other specified other transplantation of heart
7901z,Other transplantation of heart NOS
7933.,Transluminal heart assist operations
79330,Transluminal insertion of aortic balloon pump
79331,Transluminal insertion of heart assist system NEC
79332,Transluminal maintenance of heart assist system
79333,Transluminal removal of heart assist system
7933y,Other specified transluminal heart assist operation
7933z,Transluminal heart assist operation NOS
793L0,NULL
G1yz1,Rheumatic left ventricular failure
G2101,Malignant hypertensive heart disease with congestive cardiac failure
G2111,Benign hypertensive heart disease with congestive cardiac failure
G21z1,Hypertensive heart disease NOS with congestive cardiac failure
G232.,Hypertensive heart and renal disease with (congestive) heart failure
G234.,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
G58..,Heart failure
G5800,Acute congestive heart failure
G5801,Chronic congestive heart failure
G5802,Decompensated cardiac failure
G5803,Compensated cardiac failure
G5810,Acute left ventricular failure
G582.,Acute heart failure
G5y4z,Post cardiac operation heart failure NOS
SP084,Heart transplant failure and rejection
SP085,Heart-lung transplant failure and rejection
TA26.,Failure of sterile precautions during heart catheterisation
TA45.,Mechanical failure of instrument or apparatus during heart catheterisation
TB000,"Transplantation of heart as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at the time of operation"
U6125,[X]Failure of sterile precautions during heart catheterisation
X00xv,Implantation of ventricular assist device
X00xw,Implantation of right ventricular assist device
X00xx,Implantation of left ventricular assist device
X00xy,Implantation of biventricular assist device
X102a,Drug-induced acute pulmonary oedema
X102c,Post-upper airway obstruction pulmonary oedema
X102e,Chemical-induced pulmonary oedema
X102h,Fluid overload pulmonary oedema
X102X,Acute pulmonary oedema
X102Y,Acute cardiac pulmonary oedema
X202k,Heart failure as a complication of care
X202l,Right ventricular failure
Xa0TU,Sepsis-associated right ventricular failure
XaaH6,Referral to rapid access heart failure clinic
XaBLt,Cardiac failure therapy
XabM9,On optimal heart failure therapy
XaBwi,H/O: Heart failure in last year
XaBYA,Transluminal right ventricular biopsy after heart transplant
XaEgY,Refractory heart failure
XaIIU,Congestive heart failure monitoring
XaIkr,Suspected heart failure
XaILD,Referral to heart failure clinic
XaIpn,Heart failure confirmed
XaIPz,Heart failure screen
XaIQM,Heart failure follow-up
XaIQN,Heart failure annual review
XaJ9G,New York Heart Association classification - class I
XaJ9H,New York Heart Association classification - class II
XaJ9I,New York Heart Association classification - class III
XaJ9J,New York Heart Association classification - class IV
XaKNa,Seen by community heart failure nurse
XaKNN,Seen in heart failure clinic
XaKNW,Admit heart failure emergency
XaKNX,Referral to heart failure nurse
XaLCj,Referred by heart failure nurse specialist
XaLCm,Discharge from practice nurse heart failure clinic
XaLGJ,Did not attend practice nurse heart failure clinic
XaLMw,Heart failure information given to patient
XaLMx,Referral to heart failure exercise programme
XaLN6,Heart failure monitoring administration
XaLN7,Heart failure review completed
XaLNA,Heart failure care plan discussed with patient
XaLon,Heart failure 6 month review
XaLSI,Referred to heart failure education group
XaM9t,Open heart assist operations
XaM9u,Open implantation of ventricular assist device
XaM9w,Other specified open heart assist operations
XaM9x,Open heart assist operations NOS
XaMFr,Heart failure monitoring telephone invite
XaMGo,Heart failure monitoring verbal invite
XaMGs,Heart failure monitoring first letter
XaMGt,Heart failure monitoring second letter
XaMGu,Heart failure monitoring third letter
XaMHD,Did not attend heart failure clinic
XaMJ9,Exception reporting: heart failure quality indicators
XaMJA,Excepted from heart failure quality indicators: Patient unsuitable
XaMJB,Excepted from heart failure quality indicators: Informed dissent
XaMKH,Implantation of intravenous biventricular cardiac pacemaker system
XaMKK,Implantation of biventricular cardiac pacemaker system
XaNUf,Heart failure education
XaO5n,Congestive heart failure due to valvular disease
XaPiK,High risk of heart failure screening invitation
XaR8o,Heart failure resolved
XaWyi,Heart failure with normal ejection fraction
XaXBj,Fast track heart failure referral for transthoracic two dimensional echocardiogram
XaXgq,Referral to heart failure exercise programme declined
XaXIR,Referral to heart failure education group declined
XaXkR,Has heart failure management plan
XaXNh,Discharge from heart failure nurse service
XaXzw,Preferred place of care for next exacerbation of heart failure
XaYbC,Heart failure self-management plan agreed
XaYft,Education about deteriorating heart failure
XaYZN,Heart failure self-management plan review
XaZIC,Rehabilitation for heart failure
XaZih,Heart failure clinical pathway
XE0V8,Biventricular failure
XE0V9,Heart failure NOS
XE2QG,Left ventricular failure
XM1Qn,Impaired left ventricular function
ZV421,[V]Heart transplanted
ZV45M,NULL
ZV596,[V]Heart and lungs transplant status
