MedCodeID,Description
2660881000006116,High output heart failure
8031661000006114,Congestive heart failure due to cardiomyopathy
2664351000006113,Chronic right-sided heart failure
18472010,Acute congestive heart failure
8464271000006117,Cardiomyopathy due to diphtheria infection
8034201000006113,Cardiomyopathy due to hypertension
7964821000006113,Nonischemic congestive cardiomyopathy
2676711000006111,Dilated cardiomyopathy secondary to Refsum disease
2676691000006113,Dilated cardiomyopathy secondary to phytanic acid storage disease
2676701000006113,Dilated cardiomyopathy secondary to Refsum's disease
4193361000006119,Chronic left-sided heart failure
4193391000006110,Metabolic cardiomyopathy
4193381000006112,Dilated cardiomyopathy secondary to metabolic disorder
2682661000006114,Postoperative pulmonary edema
401870011,Postoperative pulmonary oedema
13484061000006119,Cardiomyopathy due to disease caused by Severe acute respiratory syndrome coronavirus 2
13484051000006116,Cardiomyopathy due to COVID-19
13484071000006114,Cardiomyopathy due to disease caused by 2019-nCoV (novel coronavirus)
13484031000006111,Cardiomyopathy due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
13484041000006118,Cardiomyopathy due to disease caused by 2019 novel coronavirus
8037891000006112,Systolic heart failure stage D
8037901000006111,"Systolic heart failure, stage D"
8037921000006118,"Systolic heart failure, stage C"
8037911000006114,Systolic heart failure stage C
8037931000006115,Systolic heart failure stage B
8037941000006113,Diastolic heart failure stage D
8037951000006110,"Diastolic heart failure, stage D"
8037961000006112,Diastolic heart failure stage C
8037971000006117,"Diastolic heart failure, stage C"
8037981000006119,Diastolic heart failure stage B
2699911000006113,Dilated cardiomyopathy caused by radiation
2699901000006110,Dilated cardiomyopathy secondary to radiation
206703015,Right heart failure
216184014,Congestive heart failure monitoring
216207010,Left ventricular systolic dysfunction
8048051000006114,Acute combined systolic and diastolic heart failure
8048061000006111,Chronic combined systolic and diastolic heart failure
8048071000006116,Acute on chronic combined systolic and diastolic heart failure
2746601000006112,Restrictive cardiomyopathy secondary to infiltrations
9833981000006110,Congestive heart failure stage C due to Ischemic cardiomyopathy
9833971000006112,Congestive heart failure stage C due to ischaemic cardiomyopathy
9833991000006113,Congestive heart failure stage B due to ischaemic cardiomyopathy
9834001000006116,Congestive heart failure stage B due to ischemic cardiomyopathy
9834021000006114,Systolic heart failure stage B due to ischaemic cardiomyopathy
9834031000006112,Systolic heart failure stage B due to ischemic cardiomyopathy
9834051000006117,Systolic heart failure stage C due to ischaemic cardiomyopathy
9834061000006115,Systolic heart failure stage C due to ischemic cardiomyopathy
8001631000006110,Hypertensive heart AND chronic kidney disease with congestive heart failure
251680018,H/O: heart failure
4540521000006111,History of heart failure
12127521000006110,Cardiomyopathy caused by drug
2757771000006111,Dilated cardiomyopathy secondary to peripartum heart disease
2805341000006119,Pulmonary edema
301694014,Pulmonary oedema
741701000006114,Hypertensive heart and renal disease with (congestive) heart failure
299673010,Hypertensive heart and renal disease with renal failure
789941000006117,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
4776121000006117,Generalised ischaemic myocardial dysfunction
4776141000006112,Ischemic cardiomyopathy
4776131000006119,Generalized ischemic myocardial dysfunction
299796018,Ischaemic cardiomyopathy
4777111000006110,HCM - Hypertrophic non-obstructive cardiomyopathy
4777091000006118,Hypertrophic cardiomyopathy without obstruction
300038015,Hypertrophic non-obstructive cardiomyopathy
300040013,Primary dilated cardiomyopathy
300046019,Mucopolysaccharidosis cardiomyopathy
395768019,Cardiomyopathy associated with another disorder
370261000006111,[X]Cardiomyopathy in infectious+parasitic diseases CE
