SNOMEDCTCodes,Description
161505003,History of heart failure
43736008,Rheumatic left ventricular failure
83105008,Malignant hypertensive heart disease with congestive cardiac failure
194779001,Hypertensive heart and renal disease with (congestive) heart failure (disorder)
194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
49584005,Acute cor pulmonale (disorder)
87837008,Chronic pulmonary heart disease (disorder)
79955004,COR - Chronic cor pulmonale
10633002,Acute congestive heart failure
88805009,Chronic congestive heart failure (disorder)
195111005,Decompensated cardiac failure
195112003,Compensated cardiac failure (disorder)
42343007,Congestive heart failure (disorder)
128404006,Right heart failure
367363000,Right heart failure
92506005,Biventricular congestive heart failure
195114002,Acute left ventricular failure
85232009,LVF - Left ventricular failure
40541001,Pulmonary edema - acute
275514001,Impaired left ventricular function
56675007,Acute heart failure
84114007,Cardiac insufficiency
309634009,H/O: Heart failure in last year
395105005,Heart failure confirmed (situation)
420816009,NYHA - New York Heart Association Classification
420300004,New York Heart Association Classification - Class I (finding)
421704003,New York Heart Association Classification - Class II
420913000,New York Heart Association Classification - Class III (finding)
416683003,Emergency hospital admission for heart failure (procedure)
399020009,Congestive cardiomyopathy (disorder)
233871002,Congestive obstructive cardiomyopathy
426611007,Congestive heart failure due to valvular disease
134401001,Left ventricular systolic dysfunction
395704004,Left ventricular diastolic dysfunction
195108009,Heart failure: [right] or [congestive] (disorder)
195113008,(Left ventricular: [failure] or [impaired function]) or (cardiac asthma) or (acute pulmonary oedema) (disorder)
360371003,Acute cardiogenic pulmonary edema
206586007,Congenital cardiac failure
233924009,Heart failure as a complication of care (disorder)
269299003,Cardiac insufficiency as a complication of care
213214001,[Cardiac insufficiency] or [heart failure] as a complication of care (disorder)
276514007,Neonatal cardiac failure (disorder)
277638005,Sepsis-associated left ventricular failure
277639002,Sepsis-associated right ventricular failure (disorder)
308118002,Cardiac failure therapy
314206003,Refractory heart failure (disorder)
407596008,Echocardiogram shows left ventricular systolic dysfunction (finding)
407597004,Echocardiogram shows left ventricular diastolic dysfunction
446221000,Heart failure with preserved ejection fraction
416610007,Right ventricular diastolic dysfunction (disorder)
3545003,Diastolic dysfunction (finding)
429589006,Left ventricular cardiac dysfunction (disorder)
416158002,Right ventricular systolic dysfunction
703272007,Heart failure with reduced ejection fraction (disorder)
266294009,(Chronic cor pulmonale) or (pulmonary heart disease NOS) (disorder)
19242006,Pulmonary edema
266308000,Congestive cardiac fail
64715009,Hypertensive heart disease
71892000,Cardiac asthma
812001000000102,Heart failure self-management plan agreed (finding)
195130005,Post cardiac operation functional disturbance (disorder)
764851000000102,Worsening pulmonary oedema (finding)
33622007,Spontaneous cardiomyopathy
46939000,Congestive cardiomyopathy due to selenium deficiency
77970009,Benign hypertensive heart disease without congestive heart failure
81236001,Heart failure cell
134378009,Congestive heart failure monitoring
155594004,Acute chemical fume pulmonary oedema
194849004,Ischaemic cardiomyopathy
196119001,Pulmonary oedema NOS
196148007,Acute pulmonary oedema unspecified
196149004,Acute pulmonary oedema NOS
111507009,Restrictive cardiomyopathy with endomyocardial fibrosis
266301006,Hypertrophic obstructive cardiomyopathy
266408001,Pulmonary oedema NOS
11468004,Postoperative pulmonary oedema
274096000,Pulmonary heart disease
276637009,Haemorrhagic pulmonary oedema
281170005,Arrhythmogenic right ventricular cardiomyopathy
286952009,Pulmonary heart disease NOS
286953004,Other pulmonary heart disease
315608004,Cardiomyopathy in Duchenne muscular dystrophy
319410000,Vasodilators in heart failure [no drugs here]
123262009,Acute pulmonary oedema -RETIRED-
123263004,Postoperative pulmonary oedema -RETIRED-
359617009,Acute right-sided heart failure
359620001,Acute right heart failure
27097002,Familial amyloid cardiomyopathy
366743000,New York Heart Association classification of heart failure symptoms
366746008,New York Heart Association classification of heart failure symptoms
366829001,Left ventricular systolic dysfunction
366910008,Left ventricular systolic dysfunction
45227007,Obstructive cardiomyopathy
46847001,Chronic pulmonary oedema
56941009,Restrictive cardiomyopathy secondary to haemochromatosis
8209004,Dilated cardiomyopathy secondary to haemochromatosis
134434004,New York Heart Assoc classification heart failure symptoms (assessment scale)
138777006,H/O: heart failure
138789008,H/O: Heart failure in last year
142256001,Impaired left ventricular function
10091002,High output heart failure (disorder)
155323004,Pulmonary heart disease
155324005,Acute pulmonary heart disease
155325006,Acute cor pulmonale
155327003,Chronic pulmonary heart disease
155329000,(Chronic cor pulmonale) or (pulmonary heart disease NOS)
155330005,Other pulmonary heart disease
155351008,Cardiomyopathy (& [congest. obst.] or [hyper. obst.]) or endomyocardial fibrosis
155353006,Cardiomyopathy NOS
155374007,Heart failure
155375008,(Congestive cardiac failure) or (dropsy) or (cardiac insufficiency) or (right heart failure) or (right ventricular failure)
155376009,Left ventricular failure
155377000,Heart failure NOS
155620008,Lung: [pulmonary oedema NOS] or [congestion]
161520009,H/O: Heart failure in last year
165086001,Impaired left ventricular function
10335000,Chronic right-sided heart failure (disorder)
182826002,Cardiac failure therapy
186812009,Chagas' disease cardiomyopathy
193232009,Benign scapuloperoneal muscular dystrophy with cardiomyopathy
193234005,Cardiomyopathy in Duchenne muscular dystrophy
194753005,Rheumatic left ventricular failure
194763002,Malignant hypertensive heart disease with congestive cardiac failure (disorder)
194770002,Hypertensive: [cardiomegaly] or [heart disease NOS without congestive cardiac failure]
194771003,Hypertensive heart disease NOS with congestive cardiac failure (disorder)
194780003,Hypertensive heart and renal disease with renal failure (disorder)
194880009,Acute pulmonary heart disease
194881008,Acute cor pulmonale
194884000,Acute pulmonary heart disease NOS (disorder)
194885004,Chronic pulmonary heart disease
194887007,Other chronic pulmonary heart disease (disorder)
194889005,Other chronic pulmonary heart disease NOS (disorder)
194890001,Chronic cor pulmonale (& [NOS])
195015003,Restrictive cardiomyopathy with endomyocardial fibrosis
195016002,(Becker's disease) or (obscure African cardiomyopathy)
195018001,(Congestive obstructive) or (congestive cardiomyopathy)
195019009,Familial cardiomyopathy
195020003,Hypertrophic cardiomyopathy without obstruction (disorder)
195021004,Primary dilated cardiomyopathy (disorder)
195022006,Other primary cardiomyopathy NOS (disorder)
195027000,Mucopolysaccharidosis cardiomyopathy (disorder)
195028005,(Heart: [fatty infiltration] or [fatty degeneration]) or (nutritional and metabolic cardiomyopathy NOS)
195029002,Cardiomyopathy in disease EC (disorder)
195030007,Cardiomyopathy in Friedreich's ataxia (disorder)
195031006,Cardiomyopathy in myotonic dystrophy (disorder)
195032004,Dystrophic cardiomyopathy (disorder)
195034003,"Cardiomyopathy in diseases EC, NOS (disorder)"
195035002,Secondary cardiomyopathy: [dilated] or [NOS]
195036001,Cardiomyopathy due to drugs and other external agents (disorder)
195037005,Cardiomyopathy NOS (disorder)
195109001,Acute congestive heart failure
195110006,Chronic congestive heart failure
195116000,Acute heart failure
195117009,Heart: [weak] or [failure NOS]
195132002,Post cardiac operation heart failure NOS (disorder)
195548008,[X]Pulmonary heart disease and diseases of pulmonary circulation (disorder)
195549000,[X]Other specified pulmonary heart diseases (disorder)
