V2Codes,Description
Fyu56,[X]Other lacunar syndromes
G63y0,Cerebral infarct due to thrombosis of precerebral arteries
G63y1,Cerebral infarction due to embolism of precerebral arteries
G64..,Cerebral arterial occlusion
G640.,Cerebral thrombosis
G6400,Cerebral infarction due to thrombosis of cerebral arteries
G641.,Cerebral embolism
G6410,Cerebral infarction due to embolism of cerebral arteries
G64z.,Cerebral infarction NOS
G64z0,Brainstem infarction
G64z1,Wallenberg syndrome
G64z2,Left sided cerebral infarction
G64z3,Right sided cerebral infarction
G64z4,Infarction of basal ganglia
G66..,Stroke and cerebrovascular accident unspecified
G660.,Middle cerebral artery syndrome
G661.,Anterior cerebral artery syndrome
G662.,Posterior cerebral artery syndrome
G663.,Brain stem stroke syndrome
G664.,Cerebellar stroke syndrome
G665.,Pure motor lacunar syndrome
G666.,Pure sensory lacunar syndrome
G667.,Left sided CVA
G668.,Right sided CVA
G6760,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
G6W..,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
G6X..,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
Gyu63,[X]Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
Gyu64,[X]Other cerebral infarction
Gyu65,[X]Occlusion and stenosis of other precerebral arteries
Gyu66,[X]Occlusion and stenosis of other cerebral arteries
Gyu6G,[X]Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
