ICD10Codes,Description
C81,Hodgkin lymphoma
C81.0,Nodular lymphocyte predominant Hodgkin lymphoma
C81.1,Nodular sclerosis (classical) Hodgkin lymphoma
C81.2,Mixed cellularity (classical) Hodgkin lymphoma
C81.3,Lymphocyte depleted (classical) Hodgkin lymphoma
C81.4,Lymphocyte-rich (classical) Hodgkin lymphoma
C81.7,Other (classical) Hodgkin lymphoma
C81.9,"Hodgkin lymphoma, unspecified"
C82,Follicular lymphoma
C82.0,Follicular lymphoma grade I
C82.1,Follicular lymphoma grade II
C82.2,"Follicular lymphoma grade III, unspecified"
C82.3,Follicular lymphoma grade IIIa
C82.4,Follicular lymphoma grade IIIb
C82.5,Diffuse follicle centre lymphoma
C82.6,Cutaneous follicle centre lymphoma
C82.7,Other types of follicular lymphoma
C82.9,"Follicular lymphoma, unspecified"
C83,Non-follicular lymphoma
C83.0,Small cell B-cell lymphoma
C83.1,Mantle cell lymphoma
C83.3,Diffuse large B-cell lymphoma
C83.5,Lymphoblastic (diffuse) lymphoma
C83.7,Burkitt lymphoma
C83.8,Other non-follicular lymphoma
C83.9,"Non-follicular (diffuse) lymphoma, unspecified"
C84,Mature T/NK-cell lymphomas
C84.0,Mycosis fungoides
C84.1,S‚zary disease
C84.4,"Peripheral T-cell lymphoma, not classified"
C84.5,Other mature T/NK-cell lymphomas
C84.6,"Anaplastic large cell lymphoma, ALK-positive"
C84.8,"Cutaneous T-cell lymphoma, unspecified"
C84.7,"Anaplastic large cell lymphoma, ALK-negative"
C84.9,"Mature T/NK-cell lymphoma, unspecified"
C85,Other and unspecified types of non-Hodgkin lymphoma
C85.1,"B-cell lymphoma, unspecified"
C85.2,Mediastinal (thymic) large B-cell lymphoma
C85.9,"Non-Hodgkin lymphoma, unspecified"
C85.7,Other specified types of non-Hodgkin lymphoma
C86,Other specified types of T/NK-cell lymphoma
C86.0,"Extranodal NK/T-cell lymphoma, nasal type"
C86.1,Hepatosplenic T-cell lymphoma
C86.2,Enteropathy-type (intestinal) T-cell lymphoma
C86.4,Blastic NK-cell lymphoma
C86.3,Subcutaneous panniculitis-like T-cell lymphoma
C86.5,Angioimmunoblastic T-cell lymphoma
C86.6,Primary cutaneous CD30-positive T-cell proliferations
C88.0,Waldenstr”m macroglobulinaemia
C88,Malignant immunoproliferative diseases
C88.2,Other heavy chain disease
C88.4,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lyphoma]
C88.3,Immunoproliferative small intestinal disease
C88.7,Other malignant immunoproliferative diseases
C88.9,"Malignant immunoproliferative disease, unspecified"
C90,Multiple myeloma and malignant plasma cell neoplasms
C90.0,Multiple myeloma
C90.1,Plasma cell leukaemia
C90.2,Extramedullary plasmacytoma
C90.3,Solitary plasmacytoma
C91,Lymphoid leukaemia
C91.0,Acute lymphoblastic leukaemia [ALL]
C91.1,Chronic lymphocytic leukaemia of B-cell type
C91.3,Prolymphocytic leukaemia of B-cell type
C91.5,Adult T-cell lymphoma/leukaemia (HTLV-1-associated)
C91.4,Hairy-cell leukaemia
C91.7,Other lymphoid leukaemia
C91.6,Prolymphocytic leukaemia of T-cell type
C91.8,Mature B-cell leukaemia Burkitt-type
C91.9,"Lymphoid leukaemia, unspecified"
C92,Myeloid leukaemia
C92.1,"Chronic myeloid leukaemia [CML], BCR/ABL-positive"
C92.0,Acute myeloblastic leukaemia [AML]
C92.2,"Atypical chronic myeloid leukaemia, BCR/ABL- negative"
C92.3,Myeloid sarcoma
C92.4,Acute promyelocytic leukaemia [PML]
C92.5,Acute myelomonocytic leukaemia
C92.6,Acute myeloid leukaemia with 11q23-abnormality
C92.7,Other myeloid leukaemia
C92.8,Acute myeloid leukaemia with multilineage dysplasia
C92.9,"Myeloid leukaemia, unspecified"
C93,Monocytic leukaemia
C93.0,Acute monoblastic/monocytic leukaemia
C93.1,Chronic myelomonocytic leukaemia
C93.3,Juvenile myelomonocytic leukaemia
C93.7,Other monocytic leukaemia
C93.9,"Monocytic leukaemia, unspecified"
C94,Other leukaemias of specified cell type
C94.0,Acute erythroid leukaemia
C94.2,Acute megakaryoblastic leukaemia
C94.3,Mast cell leukaemia
C94.4,Acute panmyelosis with myelofibrosis
C94.6,"Myelodysplastic and myeloproliferative disease, not elsewhere classified"
C94.7,Other specified leukaemias
C95,Leukaemia of unspecified cell type
C95.0,Acute leukaemia of unspecified cell type
C95.1,Chronic leukaemia of unspecified cell type
C95.7,Other leukaemia of unspecified cell type
C95.9,"Leukaemia, unspecified"
C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue"
C96.0,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease]
C96.2,Malignant mast cell tumour
C96.4,Sarcoma of dendritic cells (accessory cells)
C96.5,Multifocal and unisystemic Langerhans-cell histiocytosis
C96.6,Unifocal Langerhans-cell histiocytosis
C96.7,"Other specified malignant neoplasms of lymphoid, haematopoietic and related tissue"
C96.8,Histiocytic sarcoma
C96.9,"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified"
