SNOMEDCTCodes,Description
128933000,Chronic leukemia (category)
277610002,"Hodgkin's disease, nodular sclerosis - lymphocytic predominance"
847481000000109,NA
188733003,Chronic eosinophilic leukaemia
188612002,Nodular lymphoma of lymph nodes of axilla and upper limb
277643003,High grade T-cell lymphoma
188732008,Myeloid leukemia
10639003,Plasmacytoma
188510001,"Burkitt's lymphoma of lymph nodes of head, face and neck"
188517003,Burkitt's lymphoma of lymph nodes of multiple sites
65399007,Histiocytosis X
188746008,Subacute monocytic leukaemia
93521006,Hodgkin's disease of intrapelvic lymph nodes
189962004,"Malignant lymphoma, stem cell type"
314930007,Low grade T-cell lymphoma morphology
188514005,Burkitt's lymphoma of lymph nodes of inguinal region and lower limb
93183001,Malignant histiocytosis of intrapelvic lymph nodes
93134000,Letterer-Siwe disease of intrapelvic lymph nodes
128799007,"Hodgkin's disease, lymphocytic-histiocytic predominance [obs]"
278052009,Malignant lymphoma of breast
277567002,T-cell prolymphocytic leukemia
45572000,"Hodgkin's disease, nodular sclerosis, lymphocytic predominance"
302845006,"Nodular malignant lymphoma, lymphocytic - well differentiated"
93509007,"Hodgkin's disease, mixed cellularity of spleen"
269476000,Nodular lymphoma
41529000,"Hodgkin's disease, mixed cellularity"
1091921000000103,NA
236512004,Leukaemic infiltrate of kidney
307650006,Histiocytic medullary reticulosis
400001003,Primary cutaneous lymphoma (disorder)
118605002,Hodgkin's paragranuloma (clinical)
127580003,Plasma cell neoplasm (morphology)
277623009,Monocytoid B-cell lymphoma
307634003,"Hodgkin's disease, lymphocytic depletion, reticular type"
93150008,Leukemic reticuloendotheliosis of lymph nodes of multiple sites
93197009,Malignant lymphoma of lymph nodes of multiple sites
277642008,Low grade T-cell lymphoma
713897006,Burkitt lymphoma co-occurrent with human immunodeficiency virus infection (disorder)
118600007,Lymphoma (clinical)
93145002,Leukemic reticuloendotheliosis of intrapelvic lymph nodes
64575004,"Malignant lymphoma, small lymphocytic"
847741000000106,NA
188500005,"Lymphosarcoma of lymph nodes of head, face and neck"
277618009,Follicular low grade B-cell lymphoma
277632006,Diffuse malignant lymphoma - centroblastic polymorphic
56944001,Lymphoma stage III
118599009,Hodgkin's disease (clinical)
109965004,"Diffuse non-Hodgkin's lymphoma, lymphoblastic (clinical)"
277637000,Large cell anaplastic lymphoma
128831004,"Chronic myelomonocytic leukemia, Type II"
188580008,"Hodgkin's disease, mixed cellularity of intrapelvic lymph nodes"
118614007,Letterer-Siwe disease (clinical)
314927000,High grade T-cell lymphoma morphology
188565002,"Hodgkin's disease, nodular sclerosis of lymph nodes of head, face and neck"
95224004,Reticulosarcoma of intra-abdominal lymph nodes
277625002,Follicular non-Hodgkin's small cleaved cell lymphoma
314929002,Diffuse low grade B-cell lymphoma morphology
188613007,Nodular lymphoma of lymph nodes of inguinal region and lower limb
188679001,Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
277473004,B-CLL - B-cell chronic lymphocytic leukemia
188770007,Subacute myelomonocytic leukaemia
110002002,Mast cell leukemia (clinical)
847651000000100,NA
43985008,"Hodgkin's disease, nodular sclerosis, lymphocytic depletion"
110007008,Adult T-cell leukemia/lymphoma
93494007,"Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes"
71109004,"Hodgkin's disease, lymphocytic depletion, reticular"
815361000000107,NA
109982002,Alpha heavy chain disease (clinical)
93554008,Hodgkin's sarcoma of spleen
94708009,Mycosis fungoides of intrapelvic lymph nodes
277653002,Peripheral T-cell lymphoma - pleomorphic medium and large cell
93139005,Letterer-Siwe disease of lymph nodes of multiple sites
93525002,Hodgkin's disease of lymph nodes of inguinal region AND/OR lower limb
190955000,Histiocytosis X syndrome
188567005,"Hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes"
93146001,Leukemic reticuloendotheliosis of intrathoracic lymph nodes
