SNOMEDCTCodes,Description
1078001000000105,Haemorrhagic stroke (disorder)
140711000119106,History of hemorrhagic stroke with hemiplegia (situation)
140701000119108,History of hemorrhagic stroke with hemiparesis (situation)
672531000119106,Dysphasia due to and following hemorrhagic cerebrovascular accident (disorder)
672511000119101,Dysarthria due to and following hemorrhagic cerebrovascular accident (disorder)
141811000119106,History of hemorrhagic cerebrovascular accident with residual deficit (situation)
16703821000119101,Memory deficit due to and following hemorrhagic cerebrovascular accident (disorder)
672571000119109,Cognitive deficit due to and following hemorrhagic cerebrovascular accident (disorder)
674391000119106,Speech and language deficit due to and following hemorrhagic cerebrovascular accident (disorder)
21454007,Subarachnoid intracranial hemorrhage (disorder)
277303004,Angiogram-negative intracranial subarachnoid hemorrhage (disorder)
230719004,Intracranial subarachnoid hemorrhage due to ruptured aneurysm (disorder)
276278003,Subarachnoid hemorrhage from anterior cerebral artery aneurysm (disorder)
276282001,Subarachnoid hemorrhage from anterior communicating artery aneurysm (disorder)
276284000,Subarachnoid hemorrhage from basilar artery aneurysm (disorder)
276286003,Subarachnoid hemorrhage from carotid artery aneurysm (disorder)
276280009,Subarachnoid hemorrhage from middle cerebral artery aneurysm (disorder)
276277008,Subarachnoid hemorrhage from multiple aneurysms (disorder)
276281008,Subarachnoid hemorrhage from posterior cerebral artery aneurysm (disorder)
276283006,Subarachnoid hemorrhage from posterior communicating artery aneurysm (disorder)
276285004,Subarachnoid hemorrhage from posterior inferior cerebellar artery aneurysm (disorder)
703174002,Subarachnoid hemorrhage from vertebral artery aneurysm (disorder)
195160000,Intracranial subarachnoid hemorrhage from vertebral artery (disorder)
703215002,Non-aneurysmal subarachnoid intracranial hemorrhage (disorder)
703216001,Perimesencephalic subarachnoid hemorrhage (disorder)
704079000,Non-aneurysmal perimesencephalic subarachnoid hemorrhage (disorder)
21202004,Perinatal intracranial subarachnoid hemorrhage (disorder)
270907008,Spontaneous intracranial subarachnoid hemorrhage (disorder)
141091000119105,Compression of brain co-occurrent and due to nontraumatic subarachnoid hemorrhage (disorder)
703217005,Convexal subarachnoid hemorrhage (disorder)
722583002,Fetal or neonatal non-traumatic hemorrhage of subarachnoid space of brain (disorder)
291371000119100,Spontaneous hemorrhage of subarachnoid space from intracranial artery (disorder)
291481000119105,Spontaneous haemorrhage of subarachnoid space from right posterior communicating artery (disorder)
16709811000119106,Spontaneous hemorrhage of subarachnoid space from anterior communicating artery (disorder)
291351000119109,Spontaneous hemorrhage of subarachnoid space from basilar artery (disorder)
291411000119104,Spontaneous hemorrhage of subarachnoid space from left posterior communicating artery (disorder)
230718007,Subarachnoid hemorrhage due to ruptured arteriovenous malformation (disorder)
206399009,Intracranial subarachnoid hemorrhage due to birth injury (disorder)
5251007,Subarachnoid hemorrhage following injury with open intracranial wound (disorder)
48518008,Subarachnoid hemorrhage following injury with open intracranial wound AND concussion (disorder)
75507000,Subarachnoid hemorrhage following injury with open intracranial wound AND loss of consciousness (disorder)
209940000,"Subarachnoid hemorrhage following injury with open intracranial wound, with no loss of consciousness (disorder)"
195155004,Subarachnoid hemorrhage from carotid siphon and bifurcation (disorder)
405949009,Nuchal rigidity due to subarachnoid hemorrhage (finding)
450362008,Hemorrhage into subarachnoid space of neuraxis (disorder)
291631000119107,Aphasia due to and following non-traumatic subarachnoid hemorrhage (disorder)
723085008,Sequela of non-traumatic intracranial subarachnoid hemorrhage (disorder)
291681000119108,Dysphagia due to and following non-traumatic subarachnoid hemorrhage (disorder)
291621000119109,Cognitive deficit due to and following nontraumatic subarachnoid hemorrhage (disorder)
274100004,Cerebral hemorrhage (disorder)
42429001,Cerebromeningeal hemorrhage (disorder)
32728005,Hemorrhage due to ruptured congenital cerebral aneurysm (disorder)
240313004,Intracerebral hemorrhage in fetus or newborn (disorder)
206196005,Cerebral hemorrhage due to birth injury (disorder)
38453000,Cerebral hemorrhage due to intrapartum anoxia or hypoxia (disorder)
288276001,Fetal cerebral hemorrhage (disorder)
428241007,Ventricular hemorrhage of fetus (disorder)
722580004,Fetal or neonatal intraventricular non-traumatic hemorrhage grade 4 (disorder)
206395003,"Intraventricular (nontraumatic) hemorrhage, grade 1, of fetus and newborn (disorder)"
206396002,"Intraventricular (nontraumatic) hemorrhage, grade 2, of fetus and newborn (disorder)"
206397006,"Intraventricular (nontraumatic) hemorrhage, grade 3, of fetus and newborn (disorder)"
261808007,Neonatal cerebral hemorrhage (disorder)
15985031000119102,Neonatal non-traumatic intraventricular hemorrhage (disorder)
195169004,"Intracerebral hemorrhage, multiple localized (disorder)"
449020009,Intraparenchymal hemorrhage of brain (disorder)
95454007,Brain stem hemorrhage (disorder)
732923001,Hemorrhage of medulla oblongata (disorder)
7713009,Intrapontine hemorrhage (disorder)
28318001,Basilar hemorrhage (disorder)
722632006,Traumatic hemorrhage of brainstem (disorder)
75038005,Cerebellar hemorrhage (disorder)
301765007,Cerebellar hematoma (disorder)
276722003,Intracerebellar and posterior fossa hemorrhage (disorder)
73020009,Cerebral hemisphere hemorrhage (disorder)
195165005,Basal ganglia hemorrhage (disorder)
451038000,Hemorrhage in caudate nucleus (disorder)
451037005,Hemorrhage in globus pallidus (disorder)
451039008,Hemorrhage in putamen (disorder)
722615007,Focal hemorrhagic contusion of cerebrum (disorder)
49422009,Cortical hemorrhage (disorder)
291521000119105,Spontaneous hemorrhage of cortical intracerebral hemisphere (disorder)
703156006,Deep hemispheric cerebral hemorrhage (disorder)
291511000119103,Spontaneous hemorrhage of deep cerebral hemisphere (disorder)
195167002,External capsule hemorrhage (disorder)
52201006,Internal capsule hemorrhage (disorder)
230710000,Lobar cerebral hemorrhage (disorder)
262692002,Burst lobe of brain (disorder)
291531000119108,Spontaneous hemorrhage of cerebral hemisphere (disorder)
20908003,Subcortical cerebral hemorrhage (disorder)
431266005,Intraparenchymal hematoma of brain (disorder)
143521000119103,Nontraumatic intraparenchymal cerebral hemorrhage (disorder)
291541000119104,Spontaneous hemorrhage of brain stem (disorder)
237702003,Pituitary hemorrhage (disorder)
291665000,Postpartum intrapituitary hemorrhage (disorder)
230711001,Thalamic hemorrhage (disorder)
230712008,Lacunar hemorrhage (disorder)
230709005,Massive supratentorial cerebral hemorrhage (disorder)
291571000119106,Spontaneous cerebral hemorrhage (disorder)
140881000119109,Compression of brain co-occurrent and due to spontaneous cerebral hemorrhage (disorder)
722582007,Fetal or neonatal intracerebral non-traumatic hemorrhage (disorder)
1032761000000105,"Intraventricular (nontraumatic) haemorrhage, grade 4, of fetus and newborn (disorder)"
142851000119103,Spontaneous cerebellar hemorrhage (disorder)
206419007,Cerebellar (nontraumatic) and posterior fossa hemorrhage of fetus and newborn (disorder)
23276006,Ventricular hemorrhage (disorder)
195168007,Intracerebral hemorrhage with intraventricular hemorrhage (disorder)
206398001,Intraventricular hemorrhage due to birth injury (disorder)
425957003,Non-traumatic intracerebral ventricular hemorrhage (disorder)
722581000,Fetal or neonatal non-traumatic intraventricular hemorrhage (disorder)
70611002,Perinatal intraventricular hemorrhage (disorder)
276648002,Intraventricular hemorrhage of prematurity (disorder)
276650005,Perinatal subependymal hemorrhage (disorder)
276652002,Perinatal subependymal hemorrhage with intraventricular and intracerebral extension (disorder)
276651009,Perinatal subependymal hemorrhage with intraventricular extension (disorder)
450418003,Cerebral hemorrhage following injury (disorder)
