MedCodeID,Description
1988841000006112,"Intraventricular (nontraumatic) haemorrhage, grade 4, of fetus and newborn"
8453031000006117,Haemorrhagic stroke
8044331000006114,History of haemorrhagic stroke with hemiparesis
8044341000006116,History of hemorrhagic stroke with hemiparesis
8044371000006112,History of hemorrhagic stroke with hemiplegia
8044361000006117,History of haemorrhagic stroke with hemiplegia
8044431000006119,Spontaneous cerebral hemorrhage with compression of brain
8044421000006117,Compression of brain co-occurrent and due to spontaneous cerebral hemorrhage
8044411000006113,Spontaneous cerebral haemorrhage with compression of brain
8044441000006112,Compression of brain co-occurrent and due to spontaneous cerebral haemorrhage
8044561000006112,Compression of brain co-occurrent and due to nontraumatic subarachnoid hemorrhage
8044551000006110,Compression of brain co-occurrent and due to nontraumatic subarachnoid haemorrhage
8044571000006117,Nontraumatic subarachnoid hemorrhage with brain compression
8044541000006113,Nontraumatic subarachnoid haemorrhage with brain compression
3510552019,History of haemorrhagic stroke with residual deficit
3510551014,History of hemorrhagic stroke with residual deficit
3510549010,History of hemorrhagic cerebrovascular accident with residual deficit
3510550010,History of haemorrhagic cerebrovascular accident with residual deficit
8045251000006112,Spontaneous cerebellar haemorrhage
8045261000006114,Spontaneous cerebellar hemorrhage
8045761000006115,Spontaneous intraparenchymal cerebral hemorrhage
8045771000006110,Nontraumatic intraparenchymal cerebral hemorrhage
8045741000006119,Nontraumatic intraparenchymal cerebral haemorrhage
8045751000006117,Spontaneous intraparenchymal cerebral haemorrhage
3518235015,Neonatal non-traumatic intraventricular haemorrhage
3517767015,Neonatal non-traumatic intraventricular hemorrhage
300244012,Subarachnoid haemorrhage from carotid siphon and bifurcation
4777721000006118,Subarachnoid hemorrhage from carotid siphon and bifurcation
4777741000006113,Subarachnoid hemorrhage from vertebral artery
300253017,Subarachnoid haemorrhage from vertebral artery
4777761000006112,Intracranial subarachnoid haemorrhage from vertebral artery
4777751000006110,Intracranial subarachnoid hemorrhage from vertebral artery
4777811000006117,Basal ganglia hemorrhage
503791000006114,Basal ganglia haemorrhage
4777831000006111,External capsule hemorrhage
300276019,External capsule haemorrhage
4777851000006116,"Intracerebral hemorrhage, intraventricular"
4777861000006119,Intracerebral haemorrhage with intraventricular haemorrhage
4777871000006114,Intracerebral hemorrhage with intraventricular hemorrhage
163261000006119,"Right sided intracerebral haemorrhage, unspecified"
300277011,"Intracerebral haemorrhage, intraventricular"
4777881000006112,"Intracerebral haemorrhage, multiple localised"
746571000006116,"Intracerebral haemorrhage, multiple localized"
4777891000006110,"Intracerebral hemorrhage, multiple localized"
316153011,Cerebral haemorrhage due to birth injury
404771000006118,[X]Other intracranial lacerations and haemorrhages due to birth injury
4835931000006111,Cerebral hemorrhage due to birth injury
4835941000006118,Cerebral hemorrhage due to birth trauma
4835951000006116,Cerebral haemorrhage due to birth trauma
894091000006111,Cerebral haemorrhage - birth
4837401000006118,"Intraventricular (nontraumatic) hemorrhage, grade 1, of fetus and newborn"
4837411000006115,"Intraventricular (nontraumatic) haemorrhage, grade 1, of foetus and newborn"
767641000006118,"Intraventricular (nontraumatic) haemorrhage, grade 1, of fetus and newborn"
4837441000006116,"Intraventricular (nontraumatic) hemorrhage, grade 2, of fetus and newborn"
4837421000006111,"Intraventricular (nontraumatic) haemorrhage, grade 2, of foetus and newborn"
767651000006116,"Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn"
4837451000006119,"Intraventricular (nontraumatic) haemorrhage, grade 3, of foetus and newborn"
767661000006119,"Intraventricular (nontraumatic) hemorrhage, grade 3, of fetus and newborn"
4837471000006112,"Intraventricular (nontraumatic) haemorrhage, grade 3, of fetus and newborn"
4837491000006113,Intraventricular hemorrhage due to birth injury
316516014,Intraventricular haemorrhage due to birth injury
4837521000006110,Intracranial subarachnoid haemorrhage due to birth injury
4837531000006113,Intracranial subarachnoid hemorrhage due to birth injury
4837511000006119,Subarachnoid hemorrhage due to birth injury
316519019,Subarachnoid haemorrhage due to birth injury
4837751000006110,Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn
4837741000006113,Cerebellar (nontraumatic) and posterior fossa hemorrhage of fetus and newborn
542271000006119,Cerebellar (nontraumatic) and posterior fossa haemorrhage of foetus and newborn
2832651000006111,Subcortical haemorrhage
2832681000006115,Subcortical cerebral hemorrhage
2832671000006118,Subcortical cerebral haemorrhage
2832661000006113,Subcortical hemorrhage
4854121000006110,"Subarachnoid hemorrhage following injury with open intracranial wound, with no loss of consciousness"
123381000006110,"Subarachnoid haemorrhage following injury with open intracranial wound, with no loss of consciousness"
2836991000006113,Subarachnoid hemorrhage from any perinatal cause
480952017,Perinatal subarachnoid haemorrhage
2836981000006110,Perinatal subarachnoid hemorrhage
2837021000006110,Perinatal intracranial subarachnoid hemorrhage
2837011000006119,Perinatal intracranial subarachnoid haemorrhage
2837001000006117,Subarachnoid haemorrhage from any perinatal cause
2841151000006113,SAH - Subarachnoid hemorrhage
300936018,[X]Other subarachnoid haemorrhage
123511000006114,Subarachnoid haemorrhage from middle cerebral artery
481028017,Subarachnoid haemorrhage
123521000006118,Subarachnoid haemorrhage from posterior communicating artery
428181000006115,Subarachnoid hemorrhage
12761901000006117,Subarachnoid hemorrhage
2841161000006110,Subarachnoid intracranial haemorrhage
2841171000006115,Subarachnoid intracranial hemorrhage
2841141000006111,SAH - Subarachnoid haemorrhage
123441000006112,"Subarachnoid haemorrh from intracranial artery, unspecif"
300935019,[X]Subarachnoid haemorrhage from other intracranial arteries
300257016,Subarachnoid haemorrhage NOS
123481000006118,Subarachnoid haemorrhage from anterior communicating artery
5011381000006110,Massive supratentorial cerebral hemorrhage
5011371000006112,Massive supratentorial cerebral haemorrhage
345675012,Lobar cerebral haemorrhage
5011401000006110,Lobar cerebral hemorrhage
5011411000006113,Thalamic haemorrhage
5011421000006117,Thalamic hemorrhage
5011431000006119,Lacunar haemorrhage
5011441000006112,Lacunar hemorrhage
5011571000006117,Subarachnoid hemorrhage due to ruptured arteriovenous malformation
5011561000006112,Subarachnoid haemorrhage due to ruptured arteriovenous malformation
