ICD10Codes,Description
I60,Subarachnoid haemorrhage
I60.0,Subarachnoid haemorrhage from carotid siphon and bifurcation
I60.1,Subarachnoid haemorrhage from middle cerebral artery
I60.2,Subarachnoid haemorrhage from anterior communicating artery
I60.3,Subarachnoid haemorrhage from posterior communicating artery
I60.4,Subarachnoid haemorrhage from basilar artery
I60.5,Subarachnoid haemorrhage from vertebral artery
I60.6,Subarachnoid haemorrhage from other intracranial arteries
I60.7,"Subarachnoid haemorrhage from intracranial artery, unspecified"
I60.8,Other subarachnoid haemorrhage
I60.9,"Subarachnoid haemorrhage, unspecified"
I61,Intracerebral haemorrhage
I61.0,"Intracerebral haemorrhage in hemisphere, subcortical"
I61.1,"Intracerebral haemorrhage in hemisphere, cortical"
I61.2,"Intracerebral haemorrhage in hemisphere, unspecified"
I61.3,Intracerebral haemorrhage in brain stem
I61.4,Intracerebral haemorrhage in cerebellum
I61.5,"Intracerebral haemorrhage, intraventricular"
I61.6,"Intracerebral haemorrhage, multiple localized"
I61.8,Other intracerebral haemorrhage
I61.9,"Intracerebral haemorrhage, unspecified"
I62,Other nontraumatic intracranial haemorrhage
I62.9,"Intracranial haemorrhage (nontraumatic), unspecified"
I69.0,Sequelae of subarachnoid haemorrhage
I69.1,Sequelae of intracerebral haemorrhage
I69.2,Sequelae of other nontraumatic intracranial haemorrhage
S06.6,Traumatic subarachnoid haemorrhage
P10,Intracranial laceration and haemorrhage due to birth injury
P10.0,Subdural haemorrhage due to birth injury
P10.1,Cerebral haemorrhage due to birth injury
P10.2,Intraventricular haemorrhage due to birth injury
P10.3,Subarachnoid haemorrhage due to birth injury
P10.8,Other intracranial lacerations and haemorrhages due to birth injury
P10.9,Unspecified intracranial laceration and haemorrhage due to birth injury
P52,Intracranial nontraumatic haemorrhage of fetus and newborn
P52.0,"Intraventricular (nontraumatic) haemorrhage, grade 1, of fetus and newborn"
P52.1,"Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn"
P52.2,"Intraventricular (nontraumatic) haemorrhage, grade 3, of fetus and newborn"
P52.3,Unspecified intraventricular (nontraumatic) haemorrhage of fetus and newborn
P52.4,Intracerebral (nontraumatic) haemorrhage of fetus and newborn
P52.5,Subarachnoid (nontraumatic) haemorrhage of fetus and newborn
P52.6,Cerebellar (nontraumatic) and posterior fossa haemorrhage of fetus and newborn
P52.8,Other intracranial (nontraumatic) haemorrhages of fetus and newborn
P52.9,"Intracranial (nontraumatic) haemorrhage of fetus and newborn, unspecified"
