SNOMEDCTCodes,Description
398010007,Prosthetic arthroplasty of hip (procedure)
57589001,"Arthroplasty, acetabular and proximal femoral prosthetic replacement, with allograft (procedure)"
307814001,Cemented arthroplasty of hip joint (procedure)
265157000,Cemented prosthetic total arthroplasty of hip joint (procedure)
179294005,Conversion to cemented total hip replacement (procedure)
426904006,Prosthetic hybrid total replacement of hip joint using cemented acetabular component (procedure)
235731000000102,Conversion to hybrid prosthetic replacement of hip joint using cemented acetabular component (procedure)
768879004,Revision of hybrid prosthetic replacement of hip joint using cemented acetabular component (procedure)
426618001,Prosthetic hybrid total replacement of hip joint using cemented femoral component (procedure)
238461000000106,Conversion to hybrid prosthetic replacement of hip joint using cemented femoral component (procedure)
47596009,Cup arthroplasty of hip with use of methyl methacrylate (procedure)
386649003,Partial hip replacement by prosthesis (procedure)
265106004,Insertion of Austin-Moore prosthesis (procedure)
340922009,Partial hip replacement by cup (procedure)
32581000,Partial hip replacement by cup with acetabuloplasty (procedure)
713686009,Partial hip replacement with bipolar prosthesis (procedure)
1217139005,Partial replacement of joint of left hip with bipolar prosthesis (procedure)
1217141006,Partial replacement of joint of bilateral hips with bipolar prosthesis (procedure)
1217140007,Partial replacement of joint of right hip with bipolar prosthesis (procedure)
276178005,Uncemented prosthetic hemiarthroplasty of hip joint (procedure)
430688009,Prosthetic arthroplasty of left hip (procedure)
770606008,Total replacement of left hip joint (procedure)
430694001,Prosthetic arthroplasty of right hip (procedure)
443435007,Total replacement of right hip joint (procedure)
52734007,Total replacement of hip (procedure)
449039004,Conversion to total prosthetic replacement of hip joint (procedure)
711202009,Conversion to prosthetic hybrid total replacement of hip joint using cemented femoral component (procedure)
179305003,Conversion to uncemented total hip replacement (procedure)
314491003,Prosthetic hybrid total replacement of hip joint (procedure)
235751000000109,Conversion from previous hybrid prosthetic replacement of hip joint using cemented acetabular component (procedure)
235711000000105,Conversion from previous hybrid prosthetic replacement of hip joint using cemented femoral component (procedure)
852131000000101,Conversion to hybrid prosthetic replacement of hip joint using cement (procedure)
15163009,"Total arthroplasty of hip, low friction (procedure)"
1231413004,Total replacement of hip joint using allograft of bone (procedure)
1231414005,Total replacement of hip joint using autogenous bone graft (procedure)
1231415006,Total replacement of hip joint using cage (procedure)
1231410001,Total replacement of hip joint using impaction bone graft (procedure)
1231411002,Total replacement of hip joint using mesh (procedure)
1230048008,Total replacement of hip joint using metal augmentation (procedure)
1231412009,Total replacement of hip joint using ring (procedure)
265160007,Uncemented prosthetic total arthroplasty of hip joint (procedure)
307815000,Uncemented prosthetic arthroplasty of hip joint (procedure)
765161000000106,History of hip replacement (situation)
444051004,Replacement of bilateral hip joints (procedure)
738066004,Attention to total hip replacement (procedure)
281445000,Loosening of total hip replacement (disorder)
281446004,Loosening of acetabular cup of total hip replacement (disorder)
281447008,Loosening of femoral stem of total hip replacement (disorder)
304120007,Total hip replacement prosthesis (physical object)
468102004,Ceramic-on-ceramic total hip prosthesis (physical object)
467847002,Ceramic-on-metal total hip prosthesis (physical object)
467789002,Ceramic-on-polyethylene total hip prosthesis (physical object)
314577007,Charnley total hip prosthesis (physical object)
314578002,Elite total hip prosthesis (physical object)
390783005,Exeter total hip prosthesis (physical object)
463275007,Metal-on-metal total hip prosthesis (physical object)
463626004,Metal-on-polyethylene total hip prosthesis (physical object)
314579005,Omnifit total hip prosthesis (physical object)
314580008,Sheehan total hip prosthesis (physical object)
314576003,Stanmore total hip prosthesis (physical object)
705878004,Acetabular liner (physical object)
467226005,Ceramic acetabular liner (physical object)
467769003,Constrained polyethylene acetabular liner (physical object)
463246001,Metallic acetabular liner (physical object)
462689004,Non-constrained polyethylene acetabular liner (physical object)
46458001,Anesthesia for total hip replacement (procedure)
112727005,Revision of prosthetic replacement of hip joint (procedure)
62402000,Revision of total hip replacement (procedure)
179295006,Revision of cemented total prosthetic replacement of hip joint (procedure)
428622003,Revision of hybrid total prosthetic replacement of hip joint using cemented femoral component (procedure)
735196007,Revision of left total hip arthroplasty (procedure)
1287786008,Revision of prosthetic total arthroplasty of bilateral hip joints (procedure)
768498005,Revision of one component of total prosthetic replacement of hip joint not using cement (procedure)
768847008,Revision of one component of total prosthetic replacement of hip joint using cement (procedure)
735194005,Revision of right total hip arthroplasty (procedure)
1230060009,Revision of total replacement of hip joint using acetabular liner exchange (procedure)
1230110000,Revision of total replacement of hip joint using cage (procedure)
1222787003,Revision of total replacement of hip joint using cup-cage (procedure)
1231409006,Revision of total replacement of hip joint using impaction bone graft (procedure)
1222612005,Revision of total replacement of hip joint using mesh (procedure)
1230047003,Revision of total replacement of hip joint using metal augmentation (procedure)
1230209004,Revision of total replacement of hip joint with allograft of bone (procedure)
8271002,"Revision of total hip arthroplasty, both components, with allograft (procedure)"
1231408003,Revision of total replacement of hip joint with autograft of bone (procedure)
45538008,"Revision of total hip arthroplasty, both components, with autograft (procedure)"
179306002,Revision of uncemented total prosthetic replacement of hip joint (procedure)
858611000000102,Metal-on-metal hip replacement annual review (regime/therapy)
1287988000,Dislocation of prosthesis of hip joint following total hip replacement (disorder)
15663161000119109,History of dislocation of prosthesis following total replacement of hip (situation)
309853002,Removal of previous uncemented total prosthetic replacement of hip joint (procedure)
710441000000108,Removal of previous cemented total prosthetic replacement of hip joint (procedure)
427417008,Closed reduction of dislocated total prosthetic replacement of hip joint (procedure)
1078561000119109,History of partial replacement of joint of left hip with bipolar prosthesis (situation)
1078611000119107,History of partial replacement of joint of bilateral hips with bipolar prosthesis (situation)
1078511000119106,History of partial replacement of joint of right hip with bipolar prosthesis (situation)
