V2Codes,Description
14N31,H/O hip replacement
8AC..,Metal-on-metal hip replacement annual review
N064K,Transient arthropathy-hip
7K685,Excision arthroplasty of hip
7K22.,Other arthroplasty of hip joint
7K220,Primary total prosthetic replacement of hip joint NEC
7K221,Conversion to total prosthetic replacement of hip joint NEC
7K222,Revision of total prosthetic replacement of hip joint NEC
7K223,Attention to total hip replacement NEC
7K224,Revision of one component of total prosthetic replacement of hip joint NEC
7K225,Closed reduction of dislocated total prosthetic replacement of hip joint
7K22x,Conversion from previous total prosthetic replacement of hip joint NEC
7K22y,Other specified total prosthetic replacement of hip joint
7K22z,Total prosthetic replacement of hip joint NOS
7K25.,Other arthroplasty of head of femur
7K250,Primary prosthetic hemiarthroplasty of hip NEC
7K251,Conversion to prosthetic hemiarthroplasty of hip NEC
7K252,Revision of prosthetic hemiarthroplasty of hip NEC
7K253,Attention to prosthetic hemiarthroplasty of hip NEC
7K254,Closed reduction of dislocated prosthetic replacement of head of femur
7K25x,Conversion from previous hemiarthroplasty of hip NEC
7K25y,Other specified other prosthetic hemiarthroplasty of hip
7K25z,Other prosthetic hemiarthroplasty of hip NOS
7K20.,Total prosthetic replacement of hip joint using cement
7K200,Primary cemented total hip replacement
7K201,Conversion to cemented total hip replacement
7K202,Revision cemented total hip replacement
7K203,Primary hybrid total replacement of hip joint NEC
7K204,Conversion to hybrid total hip replacement NEC
7K205,Revision of hybrid total hip replacement NEC
7K206,Conversion from hybrid total prosthetic hip joint replacement NEC
7K207,Revision of one component of total prosthetic replacement of hip joint using cement
7K20x,Conversion from cemented total hip replacement
7K20y,Other specified total prosthetic replacement of hip joint using cement
7K20z,Total prosthetic replacement of hip joint using cement NOS
7K6e.,Hybrid prosthetic replacement of hip joint using cement
7K6e0,Primary hybrid prosthetic replacement of hip joint using cement NEC
7K6e1,Conversion to hybrid prosthetic replacement of hip joint using cement NEC
7K6e2,Revision of hybrid prosthetic replacement of hip joint using cement NEC
7K6e3,Attention to hybrid prosthetic replacement of hip joint using cement NEC
7K6ex,Conversion from previous hybrid prosthetic replacement of hip joint using cement NEC
7K6ey,Other specified hybrid prosthetic replacement of hip joint using cement
7K6ez,Hybrid prosthetic replacement of hip joint using cement NOS
7K21.,Total prosthetic replacement of hip joint not using cement
7K210,Primary uncemented total hip replacement
7K211,Conversion to uncemented total hip replacement
7K212,Revision uncemented total hip replacement
7K213,Revision of one component of total prosthetic replacement of hip joint not using cement
7K21x,Conversion from uncemented total hip replacement
7K21y,Other specified total prosthetic replacement of hip joint not using cement
7K21z,Total prosthetic replacement of hip joint not using cement NOS
7K6d.,Hybrid prosthetic replacement of hip joint using cemented femoral component
7K6d0,Primary hybrid prosthetic replacement of hip joint using cemented femoral component
7K6d1,Conversion to hybrid prosthetic replacement of hip joint using cemented femoral component
7K6d2,Revision of hybrid prosthetic replacement of hip joint using cemented femoral component
7K6dx,Conversion from previous hybrid prosthetic replacement of hip joint using cemented femoral component
7K6dy,Other specified hybrid prosthetic replacement of hip joint using cemented femoral component
7K6dz,Hybrid prosthetic replacement of hip joint using cemented femoral component NOS
