MedCodeID,Description
4213831000006116,Revision of hip replacement
2740271000006117,LFA - Low friction arthroplasty of the hip
2740261000006112,"Total arthroplasty of hip, low friction"
277389018,Conversion to cemented total hip replacement
277390010,Revision cemented total hip replacement
277409015,Conversion to uncemented total hip replacement
277410013,Revision uncemented total hip replacement
1553861000006117,Conversion from previous hybrid prosthetic replacement of hip joint using cemented femoral component
1553771000006115,Conversion to hybrid prosthetic replacement of hip joint using cemented acetabular component
1553791000006119,Conversion from previous hybrid prosthetic replacement of hip joint using cemented acetabular component
1553841000006116,Conversion to hybrid prosthetic replacement of hip joint using cemented femoral component
5483421000006114,Insertion of Austin-Moore prosthesis
208411000006113,Pretoria total replacement of hip joint using cement
277399011,Total prosthetic replacement of hip joint using cement NOS
794551000006113,Freeman total replacement of hip joint using cement
98201000006118,Total prosthetic replacement of hip joint using cement OS
714721000006112,McKee total replacement of hip joint using cement
797121000006115,Furlong total replacement of hip joint using cement
393801018,Total prosthetic replacement of hip joint using cement
698511000006113,Monk total replacement of hip joint using cement
545471000006112,Charnley cemented total hip replacement
83601000006113,Turner total replacement of hip joint using cement
786081000006116,Ilch total replacement of hip joint using cement
545481000006110,Charnley total replacement of hip joint using cement
393802013,THR - Total prosthetic replacement of hip joint using cement
125261000006111,Stanmore total replacement of hip joint using cement
5483731000006118,THR - Total prosthetic replacement of hip joint using cement
499801000006117,Aufranc total replacement of hip joint using cement
828891000006117,Howse total replacement of hip joint using cement
666871000006116,Farrer total replacement of hip joint using cement
696111000006118,Muller total replacement of hip joint using cement
98131000006115,Total prosthetic replacement hip joint not using cement OS
107111000006115,THR - Total prosthetic replacement hip joint without cement
734451000006115,Lord total replacement of hip joint not using cement
731361000006110,Madreporique total replacement of hip joint not using cement
797111000006111,Furlong total replacement of hip joint not using cement
393805010,Total prosthetic replacement of hip joint not using cement
794541000006111,Freeman total replacement of hip joint not using cement
98121000006118,Total prosthetic replacement hip joint not using cement NOS
698501000006110,Monk total replacement of hip joint not using cement
163981000006118,Ring total replacement of hip joint not using cement
698481000006117,Monk hemiarthroplasty of hip joint not using cement
412225016,Prosthetic replacement head of femur - no cement
3661000006114,Other specified prosthetic uncemented hemiarthroplasty hip
504021000006112,Bateman hemiarthroplasty of hip joint not using cement
106321000006110,Thompson hemiarthroplasty of hip joint not using cement
203841000006117,Prosthetic hemiarthroplasty of head of femur not using cement
499961000006112,Austin Moore hemiarthroplasty of hip joint not using cement
412222018,Prosthetic uncemented hemiarthroplasty of hip
526721000006111,Brown hemiarthroplasty of hip joint not using cement
412224017,Arthroplasty of head of femur not using cement
499951000006110,Austin Moore hemiarthroplasty of hip joint not using cement
756741000006116,Judet hemiarthroplasty of hip joint not using cement
698901000006118,Matchett hemiarthroplasty of hip joint not using cement
277478012,Prosthetic uncemented hemiarthroplasty of hip NOS
5651731000006111,THR - Loosening of total hip replacement
5651721000006113,Loosening of total hip replacement
5651741000006118,Loosening of acetabular cup of total hip replacement
5651751000006116,Loosening of femoral stem of total hip replacement
5925741000006118,Total hip replacement prosthesis
277458016,Prosthetic cemented hemiarthroplasty of hip NOS
277457014,Other specified prosthetic cemented hemiarthroplasty of hip
451196017,Arthroplasty of hip joint using cement
5972991000006117,Arthroplasty of hip without cement
176151000006113,Removal of previous uncemented total prosthetic replacement of hip joint
176081000006118,Removal prev cemented total prosthetic replacement hip joint
594431000006116,Conversion to hybrid total hip replacement NEC
172091000006119,Prosthetic hybrid total replacement of hip joint
393808012,Conversion to hybrid total hip replacement NEC
6047551000006111,Stanmore total hip prosthesis
6047561000006113,Charnley total hip prosthesis
6047571000006118,Elite total hip prosthesis
6047581000006115,Omnifit total hip prosthesis
6047591000006117,Sheehan total hip prosthesis
3024901000006117,Partial hip replacement by cup with acetabuloplasty
11824501000006117,Cup arthroplasty of hip
6174721000006113,Partial hip replacement by cup
277485011,Conversion to prosthetic hemiarthroplasty of hip NEC
876271000006116,Head of femur replacement
277484010,Primary prosthetic hemiarthroplasty of hip NEC
277492018,Other specified other prosthetic hemiarthroplasty of hip
393816015,Prosthetic hemiarthroplasty of the hip
410907012,Partial hip replacement by prosthesis
277493011,Other prosthetic hemiarthroplasty of hip NOS
655761000006117,Exeter total hip prosthesis
6596081000006116,Insertion of prosthesis or prosthetic device of hip
6596071000006119,Insertion of hip prosthesis
1553821000006111,Prosthetic hybrid total replacement of hip joint using cemented femoral component
1553881000006110,Hybrid prosthetic replace hip jo cemented femoral compon NOS
1553871000006112,OS hybrid prosthetic replacement hip jo cement femoral comp
1553811000006115,Hybrid prosthetic replacement hip jo cemented aceta comp NOS
1553751000006113,Prosthetic hybrid total replacement of hip joint using cemented acetabular component
1553801000006118,OS hybrid prosthetic replacement hip jo cement acetabul comp
1553571000006114,Closed reduction of dislocated total prosthetic replacement of hip joint
1553851000006119,Revision of hybrid total prosthetic replacement of hip joint using cemented femoral component
7125091000006114,Prosthetic arthroplasty of left hip
7125211000006111,Prosthetic arthroplasty of right hip
7277481000006114,Total replacement of right hip joint
7277491000006112,Prosthetic total arthroplasty of right hip
7287321000006114,Bilateral replacement of hip joints
7287311000006118,Prosthetic arthroplasty of bilateral hips
457096014,Conversion to total prosthetic replacement of hip joint
3234991000006116,"Revision of total hip arthroplasty, both components, with autograft"
7404611000006117,Non-constrained polyethylene acetabular liner
7404621000006113,Non-constrained polyethene acetabular liner
7409771000006115,Metallic acetabular liner
7410041000006116,Metal-on-metal total hip prosthesis
7413241000006116,Metal-on-polyethylene total hip prosthesis
7413251000006119,Metal-on-polyethene total hip prosthesis
3250251000006112,Anaesthesia for total hip replacement
3250261000006114,Anesthesia for total hip replacement
7444471000006115,Ceramic acetabular liner
7449081000006112,Constrained polyethene acetabular liner
7449071000006114,Constrained polyethylene acetabular liner
7449251000006113,Ceramic-on-polyethylene total hip prosthesis
7449261000006110,Ceramic-on-polyethene total hip prosthesis
7449801000006113,Ceramic-on-metal total hip prosthesis
7451911000006115,Ceramic-on-ceramic total hip prosthesis
3269721000006113,Cup arthroplasty of hip with use of methyl methacrylate
876241000006112,Hip reconstruction
11813991000006111,"Insertion of hip prosthesis, total"
876251000006114,Hip arthroplasty
277438017,Other specified total prosthetic replacement of hip joint
393807019,Total replacement of hip
107101000006118,THR - Other total prosthetic replacement of hip joint
876261000006111,Total hip replacement
3355091000006114,Prosthetic total arthroplasty of the hip
3355061000006118,Total reconstruction of hip with prosthesis
277439013,Total prosthetic replacement of hip joint NOS
876231000006119,Hip arthroplasty NOS
3355081000006111,THR - Total hip replacement
3435611000006117,"Arthroplasty, acetabular and proximal femoral prosthetic replacement, with allograft"
3514371000006118,Revision of total hip replacement
3514381000006115,Revision of total hip prosthesis
7604551000006115,Acetabular liner
8214111000006115,Removal of previous cemented total prosthetic replacement of hip joint
7684871000006112,Conversion to prosthetic hybrid total replacement of hip joint using cemented femoral component
7707781000006115,Partial hip replacement with bipolar prosthesis
3513555016,Revision of right total hip arthroplasty
3513563015,Revision of left total hip arthroplasty
277432016,Attention to total hip replacement
1704271000000110,H/O hip replacement
8238161000006119,History of hip replacement
1553551000006116,Revision of one component of total prosthetic replacement of hip joint not using cement
1553541000006118,Revision of one component of total prosthetic replacement of hip joint using cement
1553781000006117,Revision of hybrid prosthetic replacement of hip joint using cemented acetabular component
2631991000006110,"Revision of total hip arthroplasty, both components, with allograft"
1553911000006110,Conversion to hybrid prosthetic replacement of hip joint using cement
2221661000000115,Metal-on-metal hip replacement annual review
277408011,Primary uncemented total hip replacement
277450011,Primary cemented hemiarthroplasty of hip
277451010,Conversion to cemented hemiarthroplasty of hip
277452015,Revision cemented hemiarthroplasty of hip
277471018,Primary uncemented hemiarthroplasty of hip
277472013,Conversion to uncemented hemiarthroplasty of hip
277473015,Revision uncemented hemiarthroplasty of hip
277486012,Revision of prosthetic hemiarthroplasty of hip NEC
277487015,Attention to prosthetic hemiarthroplasty of hip
309718019,Crystal arthropathy of hip
393803015,Primary cemented total hip replacement
210811000006112,Primary hybrid total replacement of hip joint
593671000006118,Conver from hybrid total prosth hip joint replace NEC
393804014,Conversion from cemented total hip replacement
393806011,Conversion from uncemented total hip replacement
37501000006113,Arthroplasty of the hip
405665011,Primary total prosthetic replacement of hip
458857017,Primary hybrid total replacement of hip joint NEC
182501000006112,Removal of prosthetic hip joint
405666012,Revision of hip arthroplasty
458859019,Revision of hybrid total hip replacement NEC
1553561000006119,Revision one component total prosthet replace hip joint NEC
176131000006118,Removal previous total prosthetic replacement hip joint NEC
593681000006115,Conver from hybrid total prosth hip joint replace NEC
220721000000111,Conversion from prev total pros replace hip joint NEC
37491000006117,Other arthroplasty of head of femur
17431000006113,Other replacement of head of femur
1553581000006112,Closed reduction of dislocated prosthetic replacement of head of femur
453351011,Removal of previous prosthetic replacement head of femur NEC
176121000006116,Removal previous prosthetic hemiarthroplasty head femur NEC
393817012,Conversion from previous hemiarthroplasty of hip NEC
358905017,Girdlestone arthroplasty
651001000006119,Excision arthroplasty of the hip
1553831000006114,Primary hybrid total prosthetic replacement of hip joint using cemented femoral component
368901000000118,Prosthetic hybrid total replacement of hip joint using cement
1553901000006112,Primary hybrid prosthetic replacement hip joint cement NEC
1553921000006119,Revision of hybrid prosthetic replacement of hip joint using cement
1553931000006116,Attention to hybrid prosthetic replacement of hip joint using cement
1553941000006114,Conver previous hybrid prosthetic replace hip joint cem NEC
1553951000006111,OS hybrid prosthetic replacement of hip joint using cement
386671000000116,Hybrid prosthetic replacement of hip joint using cement NOS
95891000006119,Transient arthropathy-hip
745601000006117,Irritable hip
