MedCodeID,Description
5650531000006113,Idiopathic dermatomyositis
8092571000006119,Disorder of respiratory system due to dermatomyositis
312580013,[X]Other dermatomyositis
6566121000006117,Wagner-Unverricht syndrome
312591018,"""[X]Dermatopolymyositis, unspecified"""
143230018,Poikilodermatomyositis
6566141000006112,DM - Dermatomyositis
1776211019,Dermatomyositis
6566131000006119,Polymyositis with skin involvement
614691000006113,"""Dermatopolymyositis, unspecified"""
6665201000006115,Adult onset dermatomyositis
6684301000006112,Drug-induced dermatomyositis
3254291000006112,Dilated cardiomyopathy secondary to dermatomyositis
