SNOMEDCTCodes,Description
443899007,Autoimmune inflammation of skeletal muscle (disorder)
1231749004,Adult-onset overlap myositis (disorder)
766252004,Juvenile overlap myositis (disorder)
718175009,Macrophagic myofasciitis (disorder)
774082004,Neonatal dermatomyositis (disorder)
240106005,Benign acute myositis (disorder)
370474006,Eosinophilic myositis (disorder)
778050009,Idiopathic eosinophilic myositis (disorder)
24693007,Fibromyositis (disorder)
267654007,Chronic orbital myositis (disorder)
234530009,Chronic sarcoid myopathy (disorder)
240119009,Focal nodular myositis (disorder)
766706007,Inflammatory myopathy with abundant macrophages (disorder)
1144926009,Sporadic inclusion body myositis (disorder)
29689003,Infective myositis (disorder)
240111007,Fungal myositis (disorder)
203010009,Infective myositis of back (disorder)
203018002,Infective myositis of foot (disorder)
203013006,Infective myositis of forearm (disorder)
203014000,Infective myositis of hand (disorder)
203017007,Infective myositis of lower leg (disorder)
203009004,Infective myositis of neck (disorder)
203015004,Infective myositis of pelvis (disorder)
203011008,Infective myositis of shoulder (disorder)
203016003,Infective myositis of thigh (disorder)
203012001,Infective myositis of upper arm (disorder)
1162291005,Inflammation of skeletal muscle caused by Mycobacterium (disorder)
735517008,Myositis caused by Mycobacterium tuberculosis (disorder)
60970005,Parasitic myositis (disorder)
240113005,Cestode myositis (disorder)
240114004,Cysticercosis myositis (disorder)
240115003,Hydatidosis myositis (disorder)
240116002,Nematode myositis (disorder)
240117006,Trichinosis myositis (disorder)
240118001,Toxocariasis myositis (disorder)
240112000,Protozoal myositis (disorder)
1092821000119106,Toxoplasma myositis (disorder)
30330001,Purulent myositis (disorder)
65110003,Tropical pyomyositis (disorder)
240105009,Viral myositis (disorder)
15677401000119101,Myositis of bilateral feet (disorder)
15677481000119109,Myositis of left forearm (disorder)
15677361000119105,Myositis of bilateral forearms (disorder)
15676761000119109,Myositis of right forearm (disorder)
15677281000119105,Myositis of bilateral lower legs (disorder)
15676961000119107,Myositis of left shoulder (disorder)
15677241000119100,Myositis of bilateral shoulders (disorder)
15677041000119109,Myositis of right shoulder (disorder)
15677201000119102,Myositis of bilateral thighs (disorder)
15676881000119109,Myositis of left upper arm (disorder)
15677161000119107,Myositis of bilateral upper arms (disorder)
15677561000119104,Myositis of right upper arm (disorder)
55925001,Interstitial myositis (disorder)
93155003,Lingual myositis (disorder)
17935009,Maxillary myositis (disorder)
203042003,Myositis in sarcoidosis (disorder)
193251003,Sarcoid myopathy (disorder)
234529004,Acute sarcoid polymyositis (disorder)
905351000000102,Myositis of unknown aetiology (disorder)
1144898001,Inflammation of extraocular muscle (disorder)
442486007,Paraneoplastic myositis (disorder)
109300000,Proliferative myositis (disorder)
