MedCodeID,Description
8467521000006110,Toxoplasma myositis
4162311000006110,Proliferative myositis
2784531000006115,Maxillary myositis
297643013,Myopathy due to sarcoidosis
4770931000006119,Sarcoid myopathy
311572016,Infective myositis-neck
4817231000006116,Infective myositis of neck
4817251000006111,Infective myositis of back
311573014,Infective myositis-back
311574015,Infective myositis-shoulder
4817271000006118,Infective myositis of shoulder
4817291000006117,Infective myositis of upper arm
311575019,Infective myositis-arm
4817311000006118,Infective myositis of forearm
311576018,Infective myositis-forearm
311577010,Infective myositis-hand
4817331000006112,Infective myositis of hand
4817351000006117,Infective myositis of pelvis
311578017,Infective myositis-pelvis
4817371000006110,Infective myositis of thigh
311579013,Infective myositis-thigh
311580011,Infective myositis-leg
4817391000006111,Infective myositis of lower leg
4817411000006111,Infective myositis of foot
311581010,Infective myositis-foot
312642016, [X]Myositis in sarcoidosis classified elsewhere
311616019,Myositis in sarcoidosis
5065871000006115,Acute sarcoid polymyositis
5065881000006117,Chronic sarcoid myopathy
5143481000006115,Viral myositis
5143491000006117,Benign acute myositis
5143551000006112,Fungal myositis
5143561000006114,Protozoal myositis
5143571000006119,Cestode myositis
5143591000006118,Cysticercal myalgia
5143581000006116,Cysticercosis myositis
5143601000006114,Hydatidosis myositis
5143611000006112,Echinococcosis myositis
5143621000006116,Nematode myositis
5143631000006118,Trichinosis myositis
5143641000006111,Trichinella myalgia
5143651000006113,Toxocariasis myositis
5143671000006115,Localised nodular myositis
5143681000006117,Localized nodular myositis
5143661000006110,Focal nodular myositis
311702015,Fibromyositis
5501621000006119,Chronic orbital myositis
399391000006113, [X]Myositis in other infectious diseases CE
49663011,Infective myositis
2977611000006116,Infectious myositis
50768013,Suppurative myositis
50767015,Purulent myositis
2988391000006111,Bacterial myositis
6342061000006117,Eosinophilic myositis
7265011000006111,Paraneoplastic myositis
7284941000006112,Autoimmune myositis
7284931000006119,Autoimmune inflammation of skeletal muscle
93019012,Interstitial myositis
3408581000006113,Myositis fibrosa
3490541000006119,Parasitic myositis
3558641000006118,Pyomyositis
3558631000006111,Tropical myositis
108199012,Tropical pyomyositis
7768731000006116,MMF - Macrophagic myofasciitis
7768721000006119,Macrophagic myofasciitis
3514740017,Myositis caused by Mycobacterium tuberculosis
3514741018,Tuberculous myositis
12042671000006115,Juvenile overlap myositis
12047181000006112,Inflammatory myopathy with abundant macrophages
8320741000006110,Myositis of unknown aetiology
4015831000006114,Lingual myositis
137233019,Progressive myositis ossificans
117800011,Traumatic myositis ossificans
312639010, [X]Myositis in bacterial diseases classified elsewhere
