MedCodeID,Description
4782451000006111,Polymyositis with pulmonary involvement
4782441000006114,Lung disease co-occurrent with polymyositis
301719013,Lung disease with polymyositis
5141011000006118,Polymyositis associated with autoimmune disease
5141021000006114,Drug-induced polymyositis
5143691000006119,Eosinophilic polymyositis
5650521000006110,Idiopathic polymyositis
3005741000006110,Neuromyositis
3005751000006112,PM - Polymyositis
52463013,Polymyositis
3532627010,Juvenile polymyositis
