CTV3Codes,Description
X102V,Interstitial lung disease
XaXlJ,Interstitial lung disease due to connective tissue disease
XaXlF,Interstitial lung disease due to collagen vascular disease
X102j,Cryptogenic organising pneumonitis
X102k,Seasonal cryptogenic organising pneumonia with biochemical cholestasis
X102l,Diffuse infiltrative lung disease
H57y0,Pulmonary amyloidosis
X102u,Pulmonary fibrosis
H5631,Diffuse interstitial pulmonary fibrosis
X102x,Lymphoid interstitial pneumonitis
H563z,Idiopathic fibrosing alveolitis NOS
X1032,Localised pulmonary fibrosis
XE0Ya,Post-inflammatory pulmonary fibrosis
H56..,Other alveolar and parietoalveolar disease
H56yz,Other alveolar and parietoalveolar disease NOS
H56z.,Alveolar and parietoalveolar disease NOS
Hyu5.,[X]Other respiratory diseases principally affecting the interstitium
Hyu50,[X]Other interstitial pulmonary diseases with fibrosis
Hyu51,[X]Other specified interstitial pulmonary diseases
H58y3,Interstitial lung disease NEC
X102v,Usual interstitial pneumonitis
X102H,Cryptogenic eosinophillic pneumonia
H583..,Eosinophillic Pneumonia
Xaa7C,Eosinophillic bronchitis
H5830,Acute eosinophillic pneumonia
X102G,Asthmatic pulmonary eosinophillia
XaRAb,Antisynthetase syndrome
