SNOMEDCTCodes,Description
233703007,Interstitial lung disease (disorder)
1222679006,"Autoimmune interstitial lung disease, arthritis syndrome (disorder)"
10713006,Diffuse interstitial rheumatoid disease of lung (disorder)
302913000,Diffuse pulmonary calcinosis (disorder)
737184001,Interstitial lung disease co-occurrent and due to systemic vasculitis (disorder)
427123006,Interstitial lung disease due to collagen vascular disease (disorder)
711379004,Interstitial lung disease due to connective tissue disease (disorder)
866103007,Interstitial lung disease due to juvenile polymyositis (disorder)
737183007,Interstitial lung disease due to metabolic disease (disorder)
737181009,Interstitial lung disease due to systemic disease (disorder)
328661000119108,Interstitial lung disease of childhood (disorder)
64667001,Interstitial pneumonia (disorder)
704345008,Chronic interstitial pneumonia (disorder)
700249006,Idiopathic interstitial pneumonia (disorder)
236302005,Acute interstitial pneumonia (disorder)
719218000,Cryptogenic organizing pneumonia (disorder)
233713004,Seasonal cryptogenic organizing pneumonia with biochemical cholestasis (disorder)
44274007,Lymphoid interstitial pneumonia (disorder)
129452008,Nonspecific interstitial pneumonia (disorder)
870573008,Interstitial pneumonia with autoimmune features (disorder)
233623000,Mononuclear interstitial pneumonia (disorder)
35037009,Primary atypical interstitial pneumonia (disorder)
62161000000102,Interstitial lung disease annual review (regime/therapy)
196133001,Lung disease with systemic sclerosis (disorder)
28122003,Pulmonary eosinophilic granuloma (disorder)
367542003,Pulmonary eosinophillia (disorder)
233691007,Asthmatic pulmonary eosinophilia (disorder)
233692000,Cryptogenic pulmonary eosinophilia (disorder)
445187004,Antisynthetase syndrome (disorder)
838366009,Anti-synthetase syndrome due to dermatomyositis (disorder)
1144974009,Antisynthetase syndrome due to polymyositis (disorder)
40100001,Obliterative Bronchiolitis (disorder)
59903001,Acute obliterating bronchiolitis (disorder)
47938003,Chronic obliterative bronchiolitis (disorder)
22482002,Subacute obliterative bronchiolitis (disorder)
233730002,Lupus pneumonia (disorder)
425951002,Shrinking lung syndrome (disorder)
196135008,Pulmonary amyloidosis (disorder)
829972004,Diffuse hemorrhage of pulmonary alveolar (disorder)
19325002,Traction bronchiectasis (disorder)
708026002,Chronic pneumonitis of infancy (disorder)
