MedCodeID,Description
2670341000006112,Diffuse interstitial rheumatoid disease of lung
311496011,Fibrosing alveolitis associated with rheumatoid arthritis
1773251000006116,Nonspecific interstitial pneumonia
2806691000006111,Traction bronchiectasis
4782401000006112,Scleroderma lung disease
4782411000006110,Scleroderma of lung
301716018,Lung disease with systemic sclerosis
301718017,Pulmonary amyloidosis
2858191000006110,Subacute obliterative bronchiolitis
5053631000006112,Mononuclear interstitial pneumonia
5054431000006112,Asthmatic pulmonary eosinophilia
5054471000006110,Chronic pulmonary eosinophilia
5054441000006119,Cryptogenic pulmonary eosinophilia
5054461000006115,Chronic eosinophilic pneumonia
5054451000006117,Cryptogenic eosinophilic pneumonia
301699016,Other alveolar and parietoalveolar disease
5054601000006119,Diffuse parenchymal lung disease
38841000006113,Other alveolar and parietoalveolar disease
301758015,Interstitial lung disease
301712016,Other alveolar and parietoalveolar disease NOS
301852014,[X]Other interstitial pulmonary diseases with fibrosis
5054591000006110,ILD - Interstitial lung disease
301853016,[X]Other specified interstitial pulmonary diseases
413231000006111,[X]Other resp diseases principally affecting interstitium
301713014,Alveolar and parietoalveolar disease NOS
5054811000006115,Seasonal cryptogenic organising pneumonia with biochemical cholestasis
5054821000006111,Seasonal cryptogenic organizing pneumonia with biochemical cholestasis
5055011000006110,Lupoid pneumonia
5055001000006112,Lupus pneumonia
5092491000006112,Acute interstitial pneumonia
815341000006115,Hamman Rich syndrome
2951291000006118,Isolated histiocytosis X of lung
2951271000006119,"Langerhans cell histiocytosis, unifocal, pulmonary"
2951261000006114,Pulmonary eosinophilic granuloma
2951281000006116,Eosinophilic granuloma of lung
5912961000006118,Diffuse pulmonary calcinosis
8106091000006116,Interstitial lung disease of childhood
3064361000006111,Atypical bronchopneumonia
3064331000006119,Atypical interstitial pneumonia
3064351000006114,Acute interstitial pneumonitis
3064321000006117,Primary atypical interstitial pneumonia
3064341000006112,Primary atypical pneumonia
2670764010,Pulmonary eosinophilia
6298451000006113,Pulmonary infiltrates with eosinophilia
6298441000006111,PIE - Pulmonary infiltrates with eosinophilia
6298471000006115,Andrews syndrome
6298431000006118,EP - Eosinophilic pneumonia
301739012,Pulmonary eosinophilia NOS
6298461000006110,Eosinophilic pneumonia
6298421000006116,Eosinophilic asthma
3145231000006114,OB - Obliterative bronchiolitis
3145221000006111,Obliterative bronchiolitis
301127010,Obliterating fibrous bronchiolitis
492443010,Bronchiolitis obliterans
11828571000006115,Bronchiolitis fibrosa obliterans
7051921000006116,Shrinking lung syndrome
7051931000006118,SLS - Shrinking lung syndrome
2676188013,Interstitial lung disease due to collagen vascular disease
3213191000006112,Lymphoid interstitial pneumonia
3213221000006117,LIP - Lymphoid interstitial pneumonitis
3213201000006110,Lymphocytic interstitial pneumonia
3213231000006119,Idiopathic lymphocytic interstitial pneumonia
1772941000006116,Lymphoid interstitial pneumonitis
1166881000000114,Antisynthetase syndrome
3275561000006117,Chronic obliterative bronchiolitis
99508014,Acute obliterating bronchiolitis
12616311000006116,Interstitial lung disease annual review
3551861000006113,Interstitial pneumonitis
107470010,Interstitial pneumonia
7532681000006118,Idiopathic interstitial pneumonia
7589671000006115,Chronic interstitial pneumonia
7627081000006118,CPI - chronic pneumonitis of infancy
7627071000006116,Chronic pneumonitis of infancy
1747711000000111,Interstitial lung disease due to connective tissue disease
11778011000006118,BOOP - Bronchiolitis obliterans organising pneumonia
7783521000006118,COP - Cryptogenic organizing pneumonitis
11778021000006114,Bronchiolitis obliterans with usual interstitial pneumonitis
11778031000006112,BOOP - Bronchiolitis obliterans organizing pneumonia
11777991000006114,Bronchiolitis obliterans organizing pneumonia
7783511000006114,COP - Cryptogenic organising pneumonitis
474828010,Bronchiolitis obliterans organising pneumonia
474819014,Cryptogenic organising pneumonia
7783501000006111,Cryptogenic organizing pneumonia
3527101011,Interstitial lung disease due to systemic disease
3527106018,Interstitial lung disease due to metabolic disease
3531659017,Interstitial lung disease with systemic vasculitis
3531656012,Interstitial lung disease co-occurrent and due to systemic vasculitis
885491000006116,Pulmonary fibrosis
621121000006112,Diffuse interstitial pulmonary fibrosis
301709019,Idiopathic fibrosing alveolitis NOS
499987010,Loeffler's syndrome
85960018,Pulmonary fibrosis
2475606014,Usual interstitial pneumonitis
