CTV3Codes,Description
X102V,Interstitial lung disease
XaXlJ,Interstitial lung disease due to connective tissue disease
XaXlF,Interstitial lung disease due to collagen vascular disease
XaXlE,Respiratory bronchiolitis associated interstitial lung disease
X102j,Cryptogenic organising pneumonitis
X102k,Seasonal cryptogenic organising pneumonia with biochemical cholestasis
X102l,Diffuse infiltrative lung disease
X102I,Pulmonary histiocytosis X
H561.,Idiopathic pulmonary haemosiderosis
X102n,Idiopathic diffuse pulmonary ossification
Xa9By,Diffuse pulmonary calcinosis
H562.,Pulmonary alveolar microlithiasis
X102o,Micronodular pulmonary ossification
X102p,Diffuse pulmonary neurofibromatosis
X102q,Pulmonary tuberose sclerosis
H560.,Pulmonary alveolar proteinosis
Xa0Xi,Pulmonary lymphangioleiomyomatosis
H57y0,Pulmonary amyloidosis
X102s,Pulmonary lipid storage disease
X102t,Bronchocentric granulomatosis
X102u,Pulmonary fibrosis
H5631,Diffuse interstitial pulmonary fibrosis
XE0Yb,Cryptogenic fibrosing alveolitis
X102w,Desquamative interstitial pneumonitis
X102x,Lymphoid interstitial pneumonitis
A7899,HIV disease resulting in lymphoid interstitial pneumonitis
X102y,Giant cell interstitial pneumonitis
H563z,Idiopathic fibrosing alveolitis NOS
X1030,Toxic diffuse interstitial pulmonary fibrosis
X1031,Drug-induced diffuse interstitial pulmonary fibrosis
H4642,Chronic pulmonary fibrosis due to chemical fumes
H4y10,Radiation-induced diffuse interstitial pulmonary fibrosis
X1032,Localised pulmonary fibrosis
X1033,Mediastinal radiation fibrosis
X103G,Radiation-induced fibrous mediastinitis
XE0Ya,Post-inflammatory pulmonary fibrosis
H5630,Alveolar capillary block
H56..,Other alveolar and parietoalveolar disease
H56yz,Other alveolar and parietoalveolar disease NOS
H56z.,Alveolar and parietoalveolar disease NOS
Hyu5.,[X]Other respiratory diseases principally affecting the interstitium
Hyu50,[X]Other interstitial pulmonary diseases with fibrosis
Hyu51,[X]Other specified interstitial pulmonary diseases
H58y3,Interstitial lung disease NEC
H4y2.,Drug-induced interstitial lung disorders
H4y20,Acute drug-induced interstitial lung disorders
H35..,Hypersensitivity pneumonitis
X102J,Animal handlers' lung
H351.,Bagassosis
H352.,Bird-fancier's lung
H3520,Budgerigar-fanciers' lung
H3521,Pigeon-fanciers' lung
H352z,Bird-fancier's lung NOS
H35y0,Cheese-washers' lung
H35y1,Coffee-workers' lung
H353.,Cork-handlers' lung
X102K,Dog house disease
X102L,Dry rot lung
H350.,Farmers' lung
H35y2,Fish-meal workers' lung
H35y3,Furriers' lung
H35y4,Grain-handlers' disease
X102M,Lycoperdonosis
H354.,Malt workers' lung
H356.,Maple bark strippers' lung
H355.,Mushroom workers' lung
X102O,New Guinea lung
X102P,Paprika splitters' lung
H35y5,Pituitary snuff-takers' disease
X102Q,Pyrethrum alveolitis
X102R,Rodent handlers' lung
H35y6,Sequoiosis
X102S,Sewage workers' lung
X102T,Summer-type hypersensitivity pneumonitis
H357.,Ventilation pneumonitis
X102U,Vineyard sprayers' lung
X102N,Wheat weevil disease
H35y7,Wood pulp workers' lung
H35y.,Other allergic alveolitis
H35yz,Other allergic alveolitis NOS
H35y8,Air-conditioner and humidifier lung
H35z.,Allergic alveolitis and pneumonitis NOS
H35z0,Allergic extrinsic alveolitis NOS
H35z1,Hypersensitivity pneumonitis NOS
Hyu43,[X]Hypersensitivity pneumonitis due to other organic dusts
H57y2,Sarcoidosis of lung
X1043,Stage 1 pulmonary sarcoidosis
X1044,Stage 2 pulmonary sarcoidosis
X1045,Stage 3 pulmonary sarcoidosis
X1046,Stage 4 pulmonary sarcoidosis
X1047,Endobronchial sarcoidosis
X1049,Sarcoid pulmonary calcification
AD52.,Sarcoidosis of lung with sarcoidosis of lymph nodes
X102I,Pulmonary histiocytosis X
H4y21,Chronic drug-induced intertitial lung disorders
X102v,Usual interstitial pneumonitis
X102H,Cryptogenic eosinophillic pneumonia
H583..,Eosinophillic Pneumonia
Xaa7C,Eosinophillic bronchitis
H5830,Acute eosinophillic pneumonia
X102G,Asthmatic pulmonary eosinophillia
XaRAb,Antisynthetase syndrome
P84..,Congential cystic lung
XE1KZ,Congenital polycystic lung
P840.,"Congential cystic lung disease, NOS"
P84y.,Other specified congential cystic lung
P84z.,Congenital cystic lung NOS
