SNOMEDCTCodes,Description
233703007,Interstitial lung disease (disorder)
1222679006,"Autoimmune interstitial lung disease, arthritis syndrome (disorder)"
733453005,"Congenital nephrotic syndrome, interstitial lung disease, epidermolysis bullosa syndrome (disorder"
10713006,Diffuse interstitial rheumatoid disease of lung (disorder)
302913000,Diffuse pulmonary calcinosis (disorder)
684633371000119107,Diffuse pulmonary meningotheliomatosis (disorder)
233717003,Diffuse pulmonary neurofibromatosis (disorder)
196051003,Drug-induced interstitial lung disorder (disorder)
196052005,Acute drug-induced interstitial lung disorder (disorder)
196053000,Chronic drug-induced interstitial lung disorders (disorder)
1017197007,Interstitial pulmonary fibrosis due to inhalation of drug (disorder)
328641000119109,Genetic disorder of surfactant dysfunction (disorder)
783182004,Chronic respiratory distress with surfactant metabolism deficiency (disorder)
192658007,Giant cell interstitial pneumonitis (disorder)
40527005,Idiopathic pulmonary hemosiderosis (disorder)
77690003,Interstitial emphysema of lung (disorder)
1284850005,Interstitial lung disease caused by ionizing radiation due to and following radiation therapy (disorder)
737184001,Interstitial lung disease co-occurrent and due to systemic vasculitis (disorder)
1222678003,Interstitial lung disease due to ATP-binding cassette subfamily A member 3 deficiency (disorder)
427123006,Interstitial lung disease due to collagen vascular disease (disorder)
711379004,Interstitial lung disease due to connective tissue disease (disorder)
470101491000119107,Interstitial lung disease due to dabbing (disorder)
737182002,Interstitial lung disease due to granulomatous disease (disorder)
866103007,Interstitial lung disease due to juvenile polymyositis (disorder)
737183007,Interstitial lung disease due to metabolic disease (disorder)
1222677008,Interstitial lung disease due to surfactant protein C deficiency (disorder)
737181009,Interstitial lung disease due to systemic disease (disorder)
556179491000119104,Interstitial lung disease due to vaping (disorder)
328661000119108,Interstitial lung disease of childhood (disorder)
64667001,Interstitial pneumonia (disorder)
704345008,Chronic interstitial pneumonia (disorder)
700250006,Idiopathic pulmonary fibrosis (disorder)
789574002,Acute exacerbation of idiopathic pulmonary fibrosis (disorder)
426437004,Familial idiopathic pulmonary fibrosis (disorder)
723829000,"Pulmonary fibrosis, hepatic hyperplasia, bone marrow hypoplasia syndrome (disorder)"
700249006,Idiopathic interstitial pneumonia (disorder)
236302005,Acute interstitial pneumonia (disorder)
719218000,Cryptogenic organizing pneumonia (disorder)
233713004,Seasonal cryptogenic organizing pneumonia with biochemical cholestasis (disorder)
8549006,Desquamative interstitial pneumonia (disorder)
1172606002,Idiopathic pleuroparenchymal fibroelastosis (disorder)
44274007,Lymphoid interstitial pneumonia (disorder)
129452008,Nonspecific interstitial pneumonia (disorder)
129451001,Respiratory bronchiolitis associated interstitial lung disease (disorder)
870573008,Interstitial pneumonia with autoimmune features (disorder)
233623000,Mononuclear interstitial pneumonia (disorder)
35037009,Primary atypical interstitial pneumonia (disorder)
1017196003,Interstitial pulmonary fibrosis due to inhalation of substance (disorder)
196028003,Chronic pulmonary fibrosis caused by chemical fumes (disorder)
846637007,Chronic pulmonary fibrosis caused by chemical vapors (disorder)
707435002,Neuroendocrine cell hyperplasia of infancy (disorder)
60125001,Perinatal interstitial emphysema (disorder)
707551007,Pulmonary interstitial glycogenosis (disorder)
277844007,Pulmonary lymphangioleiomyomatosis (disorder)
707433009,Lymphangioleiomyomatosis due to tuberous sclerosis syndrome (disorder)
697923008,Pulmonary hypertension in lymphangioleiomyomatosis (disorder)
1228876007,Severe early-onset pulmonary alveolar proteinosis due to methionyl-transfer ribonucleic acid synthetase 1 deficiency (disorder)
62161000000102,Interstitial lung disease annual review (regime/therapy)
196133001,Lung disease with systemic sclerosis (disorder)
37471005,Extrinsic allergic alveolitis (disorder)
115666004,Animal handlers' lung (disorder)
67242002,Bagassosis (disorder)
69339004,Bird-fanciers' lung (disorder)
12088005,Budgerigar-fanciers' disease (disorder)
404807005,Cheese-washers' lung (disorder)
16623004,Coffee-workers' lung (disorder)
233694004,Dog house disease (disorder)
233695003,Dry rot lung (disorder)
18690003,Farmers' lung (disorder)
73448002,Fish-meal workers' lung (disorder)
19274004,Grain-handlers' disease (disorder)
25897000,Malt-workers' lung (disorder)
52333004,Mushroom workers' lung (disorder)
398640008,Rheumatoid arthritis with pneumoconiosis (disorder)
61233003,Silo-fillers' disease (disorder)
13394002,Suberosis (disorder)
10785007,Vinyard sprayers' lung (disorder)
233764003,Wollastonite pneumoconiosis (disorder)
24369008,Pulmonary sarcoidosis (disorder)
233771008,Endobronchial sarcoidosis (disorder)
238676008,Lofgrens syndrome (disorder)
111292008,Necrotizing sarcoid granulomatosis (disorder)
697921005,Pulmonary hypertension in sarcoidosis (disorder)
233772001,Sarcoid pulmonary calcification (disorder)
187233002,Sarcoidosis of lung with sarcoidosis of lymph nodes (disorder)
233767005,Stage 1 pulmonary sarcoidosis (disorder)
233768000,Stage 2 pulmonary sarcoidosis (disorder)
233769008,Stage 3 pulmonary sarcoidosis (disorder)
233770009,Stage 4 pulmonary sarcoidosis (disorder)
73017001,Lymphangiomyomatosis (morphologic abnormality)
417152008,Langerhans cell histiocytosis of lung (disorder)
328611000119105,Adult pulmonary Langerhans cell histiocytosis (disorder)
28122003,Pulmonary eosinophilic granuloma (disorder)
367542003,Pulmonary eosinophillia (disorder)
233691007,Asthmatic pulmonary eosinophilia (disorder)
233692000,Cryptogenic pulmonary eosinophilia (disorder)
10501004,Pulmonary alveolar proteinois (disorder)
707443007,Autoimmune pulmonary alveolar proteinosis (disorder)
707442002,Congenital pulmonary alveolar proteinosis (disorder)
1197476009,"Infantile-onset pulmonary alveolar proteinosis, hypogammaglobulinemia (disorder)"
707510005,Secondary pulmonary alveolar proteinosis (disorder)
1228876007,Severe early-onset pulmonary alveolar proteinosis due to methionyl-transfer ribonucleic acid synthetase 1 deficiency (disorder)
445187004,Antisynthetase syndrome (disorder)
838366009,Anti-synthetase syndrome due to dermatomyositis (disorder)
1144974009,Antisynthetase syndrome due to polymyositis (disorder)
40100001,Obliterative Bronchiolitis (disorder)
59903001,Acute obliterating bronchiolitis (disorder)
47938003,Chronic obliterative bronchiolitis (disorder)
762618008,Bronchiolitis obliterans syndrome due to and after lung transplantation (disorder)
1177120001,Bronchiolitis obliterans syndrome due to and following allogeneic stem cell transplant (disorder)
840350008,Chronic obliterative bronchiolitis caused by chemical fumes (disorder)
840351007,Chronic obliterative bronchiolitis caused by vapor (disorder)
233673002,Drug-induced bronchiolitis obliterans (disorder)
22482002,Subacute obliterative bronchiolitis (disorder)
836478002,Subacute obliterative bronchiolitis caused by chemical fumes (disorder)
836479005,Subacute obliterative bronchiolitis caused by vapor (disorder)
196027008,Toxic bronchiolitis obliterans (disorder)
233730002,Lupus pneumonia (disorder)
425951002,Shrinking lung syndrome (disorder)
87119009,Congenital cystic lung (disorder)
2912004,Cystic-bullous disease of the lung (disorder)
196135008,Pulmonary amyloidosis (disorder)
87153008,Pulmonary alveolar microlithiasis (disorder)
829972004,Diffuse hemorrhage of pulmonary alveolar (disorder)
19325002,Traction bronchiectasis (disorder)
233744008,Hiar lymph node sarcoidosis (disorder)
708026002,Chronic pneumonitis of infancy (disorder)
