V2Codes,Description
H58y3,Interstitial lung disease NEC
H4y2.,Drug-induced interstitial lung disorders
H4y20,Acute drug-induced interstitial lung disorders
H4y21,Chronic drug-induced interstitial lung disorders
H58y6,Interstitial lung disease due to collagen vascular disease
H58y7,Interstitial lung disease due to connective tissue disease
H58y5,Respiratory bronchiolitis associated interstitial lung disease
H56y1,Interstitial pneumonia
A7899,HIV disease resulting in lymphoid interstitial pneumonitis
H564.,Cryptogenic organising pneumonia
H563.,Cryptogenic fibrosing alveolitis
H5631,Diffuse pulmonary fibrosis
H5633,Usual interstitial pneumonitis
H563z,Idiopathic fibrosing alveolitis NOS
H5632,Pulmonary fibrosis
H35..,Hypersensitivity pneumonitis
H350.,Farmers' lung
H351.,Bagassosis
H352.,Bird-fancier's lung
H3520,Budgerigar-fanciers' lung
H3521,Pigeon-fanciers' lung
H352z,Bird-fancier's lung NOS
H353.,Suberosis ( cork-handlers' lung )
H354.,Malt workers' lung
H355.,Mushroom workers' lung
H356.,Maple bark strippers' lung
H357.,Ventilation pneumonitis
H35y.,Other allergic alveolitis
H35y0,Cheese-washers' lung
H35y1,Coffee-workers' lung
H35y2,Fish-meal workers' lung
H35y3,Furriers' lung
H35y4,Grain-handlers' disease
H35y5,Pituitary snuff-takers' disease
H35y6,Sequoiosis (red-cedar asthma)
H35y7,Wood asthma
H35y8,Air-conditioner and humidifier lung
H35yz,Other allergic alveolitis NOS
H35z.,Allergic alveolitis and pneumonitis NOS
H35z0,Allergic extrinsic alveolitis NOS
H35z1,Hypersensitivity pneumonitis NOS
H35zz,Allergic alveolitis and pneumonitis NOS
AD50.,Sarcoidosis of lung
H560.,Pulmonary alveolar proteinosis
N2334,Antisynthetase syndrome
P84..,Congenital cystic lung
P840.,"Congenital cystic lung disease, unspecified"
P841.,Congenital polycystic lung
P84y.,Other specified congenital cystic lung
P84z.,Congenital cystic lung NOS
H57y0,Pulmonary amyloidosis
H562.,Pulmonary alveolar microlithiasis
H561.,Idiopathic pulmonary haemosiderosis
G7521,Goodpastures disease
