MedCodeID,Description
2667011000006118,PAP - Pulmonary alveolar proteinosis
18259012,Pulmonary alveolar proteinosis
2667001000006116,Alveolar proteinosis
2670341000006112,Diffuse interstitial rheumatoid disease of lung
311496011,Fibrosing alveolitis associated with rheumatoid arthritis
2671571000006115,Vineyard sprayers' lung
2671561000006110,Vinyard sprayers' lung
4193571000006119,Necrotizing sarcoid granulomatosis
4193561000006114,Necrotising sarcoid granulomatosis
4261601000006114,Animal handlers' lung
4261611000006112,Laboratory technician lung
2692511000006111,Budgerigar-breeders' lung
2692491000006117,Budgerigar-fanciers' disease
20833017,Budgerigar-fanciers' lung
1759011000006112,Respiratory bronchiolitis associated interstitial lung disease
1786171000006118,Respiratory bronchiolitis associated interstitial lung disease
4426671000006115,Bronchiolitis with interstitial lung disease
1773251000006116,Nonspecific interstitial pneumonia
2712171000006116,Suberosis
2712181000006118,Cork-handlers' disease
124281000006119,Suberosis ( cork-handlers' lung )
2712191000006115,Cork-handlers' lung
28128015,Coffee-workers' lung
2763561000006112,Coffee-workers' disease
2763571000006117,Coffee workers disease
2796661000006115,Farmers lung
2796641000006119,Mouldy hay disease
2796631000006112,Mouldy-hay disease
31510012,Farmers' lung
2796651000006117,Moldy hay disease
2796621000006114,Moldy-hay disease
2796611000006118,Farmers' lung disease
287930013,Sarcoidosis of lung with sarcoidosis of lymph nodes
4767791000006114,Giant cell interstitial pneumonitis
4767781000006111,GIP - Giant cell interstitial pneumonitis
2806071000006119,Grain-handlers' lung
2806081000006116,Cereal-workers' disease
2806091000006118,Grain-workers' disease
32511014,Grain-handlers' disease
2806691000006111,Traction bronchiectasis
269761000006112,Obliterative bronchiolitis due to chemical fumes
4781841000006118,Chemical bronchiolitis obliterans
4781831000006111,Toxic bronchiolitis obliterans
301575012,Chronic pulmonary fibrosis due to chemical fumes
4781861000006119,Chronic pulmonary fibrosis caused by chemical fumes
4782071000006111,Drug induced interstitial lung disease
301611019,Drug-induced interstitial lung disorders
4782051000006118,Drug-induced interstitial lung disorder
4782101000006118,Acute drug induced interstitial lung disorder
4782081000006114,Acute drug-induced interstitial lung disorder
301612014,Acute drug-induced interstitial lung disorders
301613016,Chronic drug-induced interstitial lung disorders
4782411000006110,Scleroderma of lung
301716018,Lung disease with systemic sclerosis
4782401000006112,Scleroderma lung disease
301718017,Pulmonary amyloidosis
2858191000006110,Subacute obliterative bronchiolitis
5053631000006112,Mononuclear interstitial pneumonia
5054261000006116,Drug-induced bronchiolitis obliterans
5054431000006112,Asthmatic pulmonary eosinophilia
5054471000006110,Chronic pulmonary eosinophilia
5054451000006117,Cryptogenic eosinophilic pneumonia
5054441000006119,Cryptogenic pulmonary eosinophilia
5054461000006115,Chronic eosinophilic pneumonia
5054481000006113,Dog house disease
5054491000006111,Dry rot lung
301699016,Other alveolar and parietoalveolar disease
38841000006113,Other alveolar and parietoalveolar disease
301758015,Interstitial lung disease
301853016,[X]Other specified interstitial pulmonary diseases
301852014,[X]Other interstitial pulmonary diseases with fibrosis
301713014,Alveolar and parietoalveolar disease NOS
301712016,Other alveolar and parietoalveolar disease NOS
5054591000006110,ILD - Interstitial lung disease
413231000006111,[X]Other resp diseases principally affecting interstitium
5054601000006119,Diffuse parenchymal lung disease
5054821000006111,Seasonal cryptogenic organizing pneumonia with biochemical cholestasis
5054811000006115,Seasonal cryptogenic organising pneumonia with biochemical cholestasis
5054861000006117,Diffuse pulmonary neurofibromatosis
5055011000006110,Lupoid pneumonia
5055001000006112,Lupus pneumonia
5055181000006119,Hilar lymph node sarcoidosis
5055441000006115,Wollastonite pneumoconiosis
5055501000006116,BHL sarcoidosis - Bilateral hilar lymph node sarcoidosis
5055511000006118,Bilateral hilar lymph node sarcoidosis
5055491000006112,Stage 1 pulmonary sarcoidosis
5055521000006114,Stage 2 pulmonary sarcoidosis
5055531000006112,Pulmonary sarcoid infiltration with bilateral hilar lymphadenopathy
5055551000006117,Pulmonary sarcoid infiltration
5055541000006119,Stage 3 pulmonary sarcoidosis
5055561000006115,Stage 4 pulmonary sarcoidosis
5055571000006110,Pulmonary fibrosis due to sarcoidosis
5055581000006113,Endobronchial sarcoidosis
5055591000006111,Sarcoid pulmonary calcification
815341000006115,Hamman Rich syndrome
5092491000006112,Acute interstitial pneumonia
5124961000006119,Lofgren's syndrome
5124991000006110,Loefgrens syndrome
5124971000006114,Bilateral hilar lymph node sarcoidosis with erythema nodosum
5124951000006116,Lofgrens syndrome
5124981000006112,Erythema nodosum with bilateral hilar lymph node sarcoidosis
1223250017,Sarcoidosis of lung
40879015,Pulmonary sarcoidosis
2914501000006119,Malt fever
2914481000006112,Malt-workers' alveolitis
2914491000006110,Malt-workers' lung disease
2914521000006112,Alveolitis due to Aspergillus clavatus AND/OR fumigatus
2914541000006117,Malt workers lung
2914511000006116,Malt house workers' cough
2914471000006114,Malt-workers' lung
1224939016,Malt workers' lung
5605501000006116,Pulmonary lymphangioleiomyomatosis
2951261000006114,Pulmonary eosinophilic granuloma
2951281000006116,Eosinophilic granuloma of lung
2951291000006118,Isolated histiocytosis X of lung
2951271000006119,"Langerhans cell histiocytosis, unifocal, pulmonary"
2545391000006116,Cystic-bullous disease of the lung
5912961000006118,Diffuse pulmonary calcinosis
8106071000006117,Adult pulmonary Langerhans cell histiocytosis
8106081000006119,Genetic disorder of surfactant dysfunction
8106091000006116,Interstitial lung disease of childhood
3064331000006119,Atypical interstitial pneumonia
3064341000006112,Primary atypical pneumonia
3064321000006117,Primary atypical interstitial pneumonia
3064361000006111,Atypical bronchopneumonia
3064351000006114,Acute interstitial pneumonitis
6298441000006111,PIE - Pulmonary infiltrates with eosinophilia
2670764010,Pulmonary eosinophilia
6298421000006116,Eosinophilic asthma
301739012,Pulmonary eosinophilia NOS
6298431000006118,EP - Eosinophilic pneumonia
6298471000006115,Andrews syndrome
6298451000006113,Pulmonary infiltrates with eosinophilia
6298461000006110,Eosinophilic pneumonia
3103601000006113,Allergic alveolitis
301533011,Allergic extrinsic alveolitis NOS
301531013,Other allergic alveolitis NOS
477131000006116,Allergic alveolitis and pneumonitis NOS
3103641000006110,EAA - Extrinsic allergic alveolitis
3103581000006115,Extrinsic allergic bronchiolo-alveolitis
178500017,Extrinsic allergic alveolitis
3103651000006112,Bagpipe lung
189221016,Hypersensitivity pneumonitis
301528012,Other allergic alveolitis
3103611000006111,Allergic pneumonitis
301534017,Hypersensitivity pneumonitis NOS
3103591000006117,Hypersensitivity pneumonia
3103621000006115,Allergic interstitial pneumonitis
301532018,Allergic alveolitis and pneumonitis NOS
6608781000006113,Caplan's syndrome
1786505011,Caplan's syndrome
6608771000006110,Rheumatoid pneumoconiosis
6608791000006111,Caplans syndrome
301127010,Obliterating fibrous bronchiolitis
492443010,Bronchiolitis obliterans
11828571000006115,Bronchiolitis fibrosa obliterans
3145231000006114,OB - Obliterative bronchiolitis
3145221000006111,Obliterative bronchiolitis
2156690018,Cheese-washers' lung
6703871000006119,Cheese-washers' disease
6703861000006114,Cheese-workers' lung
3152491000006115,IPH - Idiopathic pulmonary haemosiderosis
786581000006114,Idiopathic pulmonary haemosiderosis
3152501000006111,IPH - Idiopathic pulmonary hemosiderosis
492658013,Idiopathic pulmonary haemosiderosis
3152461000006111,Brown induration of lung
3152451000006114,Idiopathic pulmonary hemosiderosis
3152481000006118,Pulmonary haemosiderosis
3152471000006116,Pulmonary hemosiderosis
6902791000006112,Pulmonary Langerhans cell histiocytosis
6902781000006114,Langerhans cell histiocytosis of lung
7051931000006118,SLS - Shrinking lung syndrome
7051921000006116,Shrinking lung syndrome
7059121000006115,Familial idiopathic pulmonary fibrosis
2676188013,Interstitial lung disease due to collagen vascular disease
3213201000006110,Lymphocytic interstitial pneumonia
1772941000006116,Lymphoid interstitial pneumonitis
3213231000006119,Idiopathic lymphocytic interstitial pneumonia
3213221000006117,LIP - Lymphoid interstitial pneumonitis
3213191000006112,Lymphoid interstitial pneumonia
1166881000000114,Antisynthetase syndrome
3275561000006117,Chronic obliterative bronchiolitis
3348531000006112,Mushroom workers lung
3348521000006114,Mushroom pickers' disease
3348511000006118,Mushroom-workers' disease
87088014,Mushroom workers' lung
99508014,Acute obliterating bronchiolitis
234431000006115,Perinatal interstitial emphysema or related condition OS
3476431000006119,Perinatal interstitial emphysema
316342010,Perinatal interstitial emphysema or related condition NOS
3476451000006114,PIE - Perinatal pulmonary interstitial emphysema
99889013,Perinatal interstitial emphysema
3476441000006112,Perinatal pulmonary interstitial emphysema
316340019,Perinatal interstitial emphysema and related conditions
101749012,Silo-fillers' disease
3494901000006119,Silo-fillers' lung
3494911000006116,Silo-workers' asthma
12616311000006116,Interstitial lung disease annual review
3551861000006113,Interstitial pneumonitis
107470010,Interstitial pneumonia
3593701000006114,Bagasse disease
111723011,Bagassosis
3593721000006116,Bagasse workers' lung
3593731000006118,Sugar cane workers' hypersensitivity pneumonitis
3593711000006112,Bagasse workers' disease
301527019,Bird-fanciers' lung
3627721000006114,Bird fanciers lung
3627731000006112,Bird fanciers' lung
3627661000006112,Bird breeders' lung
3627711000006118,BFL - Bird fanciers lung
1233152013,Bird-fancier's lung
3627671000006117,Bird fanciers' disease
3627681000006119,Avian protein hypersensitivity
3627691000006116,Bird breeders' disease
7501941000006116,Pulmonary hypertension in sarcoidosis
7501961000006117,Pulmonary hypertension in lymphangioleiomyomatosis
7532681000006118,Idiopathic interstitial pneumonia
7532701000006115,Usual interstitial pneumonia
196654011,Cryptogenic fibrosing alveolitis
1786131000006116,Idiopathic pulmonary fibrosis
301709019,Idiopathic fibrosing alveolitis NOS
75302014,Idiopathic fibrosing alveolitis
7589671000006115,Chronic interstitial pneumonia
7617481000006115,Lymphangioleiomyomatosis due to tuberous sclerosis syndrome
7617501000006113,Neuroendocrine cell hyperplasia of infancy
7617581000006116,Congenital pulmonary alveolar proteinosis
7617591000006118,Autoimmune pulmonary alveolar proteinosis
7618781000006112,Secondary pulmonary alveolar proteinosis
7619551000006117,Pulmonary interstitial glycogenosis
7619561000006115,PIG - Pulmonary interstitial glycogenosis
7627081000006118,CPI - chronic pneumonitis of infancy
7627071000006116,Chronic pneumonitis of infancy
1747711000000111,Interstitial lung disease due to connective tissue disease
11778031000006112,BOOP - Bronchiolitis obliterans organizing pneumonia
7783511000006114,COP - Cryptogenic organising pneumonitis
11778011000006118,BOOP - Bronchiolitis obliterans organising pneumonia
474819014,Cryptogenic organising pneumonia
11778021000006114,Bronchiolitis obliterans with usual interstitial pneumonitis
474828010,Bronchiolitis obliterans organising pneumonia
7783521000006118,COP - Cryptogenic organizing pneumonitis
11777991000006114,Bronchiolitis obliterans organizing pneumonia
7783501000006111,Cryptogenic organizing pneumonia
7848091000006114,"Pulmonary fibrosis, hepatic hyperplasia, bone marrow hypoplasia syndrome"
3687771000006118,Lymphangioleiomyomatosis
311291000006119,Lymphangiomyomatosis
7958091000006119,"Congenital nephrotic syndrome, interstitial lung disease, epidermolysis bullosa syndrome"
7958101000006113,"Congenital ILNEB (interstitial lung disease, nephrotic syndrome, epidermolysis bullosa) syndrome"
7958111000006111,"Congenital nephrotic syndrome, epidermolysis bullosa, pulmonary disease syndrome"
121968010,Fish-meal workers' lung
3527101011,Interstitial lung disease due to systemic disease
3527104015,Interstitial lung disease due to granulomatous disease
3527106018,Interstitial lung disease due to metabolic disease
3531659017,Interstitial lung disease with systemic vasculitis
3531656012,Interstitial lung disease co-occurrent and due to systemic vasculitis
3636952011,Bronchiolitis obliterans syndrome due to and after lung transplantation
3764031000006119,Interstitial pulmonary emphysema
3764021000006117,Interstitial emphysema of lung
12704691000006117,Interstitial emphysema
19421011,Interstitial pulmonary emphysema
457581000006111,Acute interstitial emphysema
1772931000006114,Desquamative interstitial pneumonia
2636471000006112,Desquamative interstitial pneumonitis
2636481000006110,DIP - Desquamative interstitial pneumonitis
3916541000006118,Congenital cystic disease of lung
507421018,Multiple congenital bronchogenic cysts
3916551000006116,Congenital polycystic disease of lung
313655010,"Congenital cystic lung disease, unspecified"
507420017,Congenital polycystic lung
