CTV3Codes,Description
Fyu56,[X]Other lacunar syndromes
G63y0,Cerebral infarct due to thrombosis of precerebral arteries
G63y1,Cerebral infarction due to embolism of precerebral arteries
G64..,Cerebral infarction due to embolism of precerebral arteries
G640.,Cerebral thrombosis
G6400,Cerebral infarction due to thrombosis of cerebral arteries
G641.,Cerebral embolus
G6410,Cerebral infarction due to embolism of cerebral arteries
G64z.,Infarction (& [cerebellar] or [cerebral NOS] or [brainstem NOS])
G66..,CVA - cerebrovascular accident (& unspecified [& stroke])
G660.,Middle cerebral artery syndrome
G661.,Anterior cerebral artery syndrome
G662.,Posterior cerebral artery syndrome
G663.,Brainstem stroke syndrome
G664.,Cerebellar stroke syndrome
G667.,Left sided cerebral hemisphere cerebrovascular accident
G668.,Right sided cerebral hemisphere cerebrovascular accident
G6760,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic"
Gyu63,[X]Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
Gyu64,[X]Other cerebral infarction
Gyu65,[X]Occlusion and stenosis of other precerebral arteries
Gyu66,[X]Occlusion and stenosis of other cerebral arteries
Gyu6G,[X]Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
Xa00K,Brainstem infarction
Xa00M,Wallenberg syndrome
XaBEC,Left sided cerebral infarction
XaBED,Right sided cerebral infarction
XaJgQ,Infarction of basal ganglia
XaQbK,Pure motor lacunar syndrome
XaQbM,Pure sensory lacunar syndrome
XE0VI,Cerebral arterial occlusion
XE0VJ,Cerebral infarction NOS
XE2aB,Stroke and cerebrovascular accident unspecified
