SNOMEDCTCodes,Description
422504002,Ischemic stroke (disorder)
724426006,Cerebral ischemic stroke due to extracranial large artery atherosclerosis (disorder)
724425005,Cerebral ischemic stroke due to intracranial large artery atherosclerosis (disorder)
724993002,Cerebral ischemic stroke due to occlusion of extracranial large artery (disorder)
724424009,Cerebral ischemic stroke due to small artery occlusion (disorder)
724994008,Cerebral ischemic stroke due to stenosis of extracranial large artery (disorder)
140911000119109,Ischemic stroke with coma (disorder)
140921000119102,Ischemic stroke without coma (disorder)
725132001,Ischemic stroke without residual deficits (disorder)
373606000,Occlusive stroke (disorder)
722929005,Perinatal arterial ischemic stroke (disorder)
16896891000119106,History of cerebrovascular accident due to ischemia (situation)
141281000119101,History of ischemic stroke without residual deficits (situation)
723083001,Late effects of cerebral ischemic stroke (disorder)
672541000119102,Aphasia due to and following ischemic cerebrovascular accident (disorder)
674361000119104,Apraxia due to and following ischemic cerebrovascular accident (disorder)
674111000119100,Ataxia due to and following ischemic cerebrovascular accident (disorder)
672561000119103,Cognitive deficit due to and following ischemic cerebrovascular accident (disorder)
672501000119104,Dysarthria due to and following ischemic cerebrovascular accident (disorder)
672521000119108,Dysphasia due to and following ischemic cerebrovascular accident (disorder)
672461000119104,Hemiplegia of dominant side due to and following ischemic cerebrovascular accident (disorder)
672441000119103,Hemiplegia of nondominant side due to and following ischemic cerebrovascular accident (disorder)
674091000119108,Vertigo due to and following ischemic cerebrovascular accident (disorder)
674381000119108,Weakness of facial muscle due to and following ischemic cerebrovascular accident (disorder)
674161000119102,Monoplegia of upper limb due to and following ischemic cerebrovascular accident (disorder)
16703761000119102,Memory deficit due to and following ischemic cerebrovascular accident (disorder)
88881005,Cerebral ischemic stroke due to aortic arch embolism (disorder)
788880006,Cerebral ischemic stroke due to dissection of artery (disorder)
788883008,Cerebral ischemic stroke due to hypercoagulable state (disorder)
417540008,Stroke/transient ischemic attack monitoring invitation (finding)
720191000000104,Stroke and transient ischaemic attack (qualifier value)
674401000119108,Speech and language deficit due to and following ischemic cerebrovascular accident (disorder)
788884002,Cerebral ischemic stroke due to subarachnoid hemorrhage (disorder)
788882003,Cerebral ischemic stroke due to global hypoperfusion with watershed infarct (disorder)
371041009,Embolic stroke (disorder)
413758000,Cardioembolic stroke (disorder)
384993003,Periventricular hemorrhagic venous infarct (disorder)
371040005,Thrombotic stroke (disorder)
329641000119104,Cerebrovascular accident due to thrombus of basilar artery (disorder)
330791000119108,Cerebrovascular accident due to thrombus of left carotid artery (disorder)
16002111000119106,Cerebrovascular accident due to thrombus of left middle cerebral artery (disorder)
329651000119102,Cerebrovascular accident due to thrombus of right carotid artery (disorder)
16002031000119102,Cerebrovascular accident due to thrombus of right middle cerebral artery (disorder)
230690007,Cerebrovascular accident (disorder)
46583221000119102,Acute cerebrovascular accident due to stenosis of left carotid artery (disorder)
693158221000119105,Acute cerebrovascular accident due to stenosis of right carotid artery (disorder)
595899961000119100,Acute cerebrovascular accident of basal ganglia (disorder)
652287331000119104,Acute cerebrovascular accident of brainstem (disorder)
881694631000119107,Acute cerebrovascular accident of medulla oblongata (disorder)
16371781000119100,Cerebellar stroke (disorder)
99451000119105,Cerebral infarction due to stenosis of carotid artery (disorder)
230691006,Cerebrovascular accident due to occlusion of cerebral artery (disorder)
16000511000119103,Cerebrovascular accident due to occlusion of left middle cerebral artery (disorder)
63230211000119103,Acute cerebrovascular accident due to occlusion of left middle cerebral artery (disorder)
329371000119101,Cerebrovascular accident due to occlusion of left middle cerebral artery by embolus (disorder)
16000351000119109,Cerebrovascular accident due to occlusion of left posterior cerebral artery (disorder)
40076141000119107,Acute cerebrovascular accident due to occlusion of left posterior cerebral artery (disorder)
329431000119105,Cerebrovascular accident due to occlusion of left posterior cerebral artery by embolus (disorder)
16000431000119109,Cerebrovascular accident due to occlusion of right middle cerebral artery (disorder)
272202251000119109,Acute cerebrovascular accident due to occlusion of right middle cerebral artery (disorder)
329361000119107,Cerebrovascular accident due to occlusion of right middle cerebral artery by embolus (disorder)
16000391000119104,Cerebrovascular accident due to occlusion of right posterior cerebral artery (disorder)
137592291000119101,Acute cerebrovascular accident due to occlusion of right posterior cerebral artery (disorder)
329421000119107,Cerebrovascular accident due to occlusion of right posterior cerebral artery by embolus (disorder)
723082006,Silent cerebral infarct (disorder)
16024111000119109,Cerebrovascular accident due to occlusion of left carotid artery (disorder)
502836591000119106,Acute cerebrovascular accident due to occlusion of left carotid artery (disorder)
16024151000119105,Cerebrovascular accident due to occlusion of left cerebellar artery (disorder)
788310011000119109,Acute cerebrovascular accident due to occlusion of left cerebellar artery (disorder)
329461000119102,Cerebrovascular accident due to occlusion of left cerebellar artery by embolus (disorder)
16023991000119104,Cerebrovascular accident due to occlusion of left pontine artery (disorder)
16644681000119102,Cerebrovascular accident due to occlusion of bilateral pontine arteries (disorder)
292691000119103,Cerebrovascular accident due to occlusion of left vertebral artery (disorder)
16023911000119108,Cerebrovascular accident due to occlusion of right carotid artery (disorder)
407573811000119100,Acute cerebrovascular accident due to occlusion of right carotid artery (disorder)
16024271000119107,Cerebrovascular accident due to occlusion of right cerebellar artery (disorder)
738478141000119101,Acute cerebrovascular accident due to occlusion of right cerebellar artery (disorder)
329451000119104,Cerebrovascular accident due to occlusion of right cerebellar artery by embolus (disorder)
16024031000119100,Cerebrovascular accident due to occlusion of right pontine artery (disorder)
292681000119101,Cerebrovascular accident due to occlusion of right vertebral artery (disorder)
16661971000119104,Cerebrovascular accident due to stenosis of bilateral carotid arteries (disorder)
16026991000119107,Cerebrovascular accident due to stenosis of left carotid artery (disorder)
292671000119104,Cerebrovascular accident due to stenosis of left vertebral artery (disorder)
16661931000119102,Cerebrovascular accident due to stenosis of bilateral vertebral arteries (disorder)
16026951000119102,Cerebrovascular accident due to stenosis of right carotid artery (disorder)
292661000119105,Cerebrovascular accident due to stenosis of right vertebral artery (disorder)
716051003,Cerebrovascular accident during surgery (disorder)
25133001,Completed stroke (disorder)
915141931000119109,Acute cerebrovascular accident due to embolism of basilar artery (disorder)
936648941000119105,Acute cerebrovascular accident due to embolism of left middle cerebral artery (disorder)
931164671000119105,Acute cerebrovascular accident due to embolism of right middle cerebral artery (disorder)
281240008,Extension of cerebrovascular accident (disorder)
762005171000119101,Acute cerebrovascular accident due to ischemia (disorder)
16891111000119104,Cryptogenic stroke (disorder)
195216008,Left sided cerebral hemisphere cerebrovascular accident (disorder)
371121002,Neonatal stroke (disorder)
111297002,Nonparalytic stroke (disorder)
9901000119100,Occlusion of cerebral artery with stroke (disorder)
116288000,Paralytic stroke (disorder)
57981008,Progressing stroke (disorder)
195217004,Right sided cerebral hemisphere cerebrovascular accident (disorder)
724429004,Stroke co-occurrent with migraine (disorder)
275434003,Stroke in the puerperium (disorder)
230713003,Stroke of uncertain pathology (disorder)
230714009,Anterior circulation stroke of uncertain pathology (disorder)
230715005,Posterior circulation stroke of uncertain pathology (disorder)
346410121000119101,Acute cerebrovascular accident due to thrombosis of left middle cerebral artery (disorder)
738211801000119107,Acute cerebrovascular accident due to thrombosis of right middle cerebral artery (disorder)
299403002,Stroke test positive (finding)
275526006,History of cerebrovascular accident (situation)
690051000119100,History of cerebellar stroke (situation)
699429007,History of cerebrovascular accident in last eight weeks (situation)
440140008,History of cerebrovascular accident with residual deficit (situation)
141831000119101,History of embolic stroke with deficits (situation)
141821000119104,History of ischemic cerebrovascular accident with residual deficit (situation)
429993008,History of cerebrovascular accident without residual deficits (situation)
118971000119107,History of embolic stroke without deficits (situation)
118951000119103,History of thrombotic stroke without residual deficits (situation)
16896851000119101,History of embolic cerebrovascular accident (situation)
429235008,History of cardioembolic stroke (situation)
99051000119101,History of lacunar cerebrovascular accident (situation)
97531000119106,History of parietal cerebrovascular accident (situation)
308067002,History of stroke in last year (situation)
230698000,Lacunar infarction (disorder)
426107000,Acute lacunar infarction (disorder)
230703006,Dysarthria-clumsy hand syndrome (disorder)
230702001,Lacunar ataxic hemiparesis (disorder)
292861000119106,Lacunar ataxic hemiparesis of left dominant side (disorder)
292851000119109,Lacunar ataxic hemiparesis of right dominant side (disorder)
330421000119102,Lacunar ataxic hemiparesis of right nondominant side (disorder)
307363008,Multiple lacunar infarcts (disorder)
230699008,Pure motor lacunar infarction (disorder)
230701008,Pure sensorimotor lacunar infarction (disorder)
