MedCodeID,Description
2729551000000111,Cerebral infarction due to occlusion of cerebral artery
2729571000000119,Cerebral infarction due to stenosis of cerebral artery
4193641000006111,Nonparalytic stroke
4270361000006116,Paralytic stroke
8037251000006117,History of thrombotic stroke without residual deficits
8037281000006113,History of embolic stroke without deficits
370661000006114,[X]Cereb infarct due unsp occlus/stenos precerebr arteries
542261000006114,Cerebral infarction due to occlusion of precerebral artery
8044471000006116,Ischemic stroke with coma
8044461000006111,Ischaemic stroke with coma
8044491000006115,Ischemic stroke without coma
8044481000006118,Ischaemic stroke without coma
8044631000006116,History of ischemic stroke without residual deficits
8044621000006119,History of ischaemic stroke without residual deficits
8044811000006111,History of ischemic cerebrovascular accident with residual deficit
8044801000006113,History of ischaemic cerebrovascular accident with residual deficit
8044821000006115,History of embolic stroke with deficits
8046951000006114,Cerebral infarction due to carotid artery occlusion
3509799010,Cerebrovascular accident due to occlusion of left posterior cerebral artery
3509790014,Cerebrovascular accident due to occlusion of right posterior cerebral artery
3509810017,Cerebrovascular accident due to occlusion of right middle cerebral artery
3509794017,Cerebrovascular accident due to occlusion of left middle cerebral artery
3508961018,Cerebrovascular accident due to thrombus of right middle cerebral artery
3508962013,Stroke due to thrombus of right middle cerebral artery
3508964014,Cerebrovascular accident due to thrombus of left middle cerebral artery
3508965010,Stroke due to thrombus of left middle cerebral artery
9875641000006111,Cerebrovascular accident due to right carotid artery occlusion
11865051000006118,Cerebrovascular accident due to occlusion of right carotid artery
3509777019,Cerebrovascular accident due to occlusion of left pontine artery
3509783016,Cerebrovascular accident due to occlusion of right pontine artery
3509792018,Cerebrovascular accident due to occlusion of left carotid artery
3509769018,Cerebrovascular accident due to occlusion of left cerebellar artery
3509781019,Cerebrovascular accident due to occlusion of right cerebellar artery
9875951000006117,Cerebrovascular accident due to right carotid artery stenosis
11843931000006117,Cerebrovascular accident due to stenosis of right carotid artery
9875961000006115,Cerebrovascular accident due to left carotid artery stenosis
11843941000006110,Cerebrovascular accident due to stenosis of left carotid artery
9912271000006112,Cerebellar stroke
300312010,Cerebral infarct due to thrombosis of precerebral arteries
300313017,Cerebral infarction due to embolism of precerebral arteries
300321011,Cerebral infarction due to thrombosis of cerebral arteries
300322016,Cerebral infarction due to embolism of cerebral arteries
300370010,Left sided CVA
4778181000006119,Left sided cerebral hemisphere cerebrovascular accident
300371014,Right sided CVA
4778201000006118,Right sided cerebral hemisphere cerebrovascular accident
542251000006112,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic"
5009091000006112,Infarction of optic radiation
405339016,Cerebrovascular accident
122401000006115,Stroke unspecified
605501000006117,CVA unspecified
605491000006113,CVA - Cerebrovascular accident
5010981000006119,Stroke
11878511000006113,Cerebrovascular accident due to occlusion of cerebral artery
5011021000006113,Cerebrovascular accident due to cerebral artery occlusion
122361000006113,Stroke due to cerebral arterial occlusion
605461000006117,CVA - cerebrovascular accident due to cerebral artery occlusion
345639010,Infarction - precerebral
5011041000006118,Anterior cerebral circulation infarction
5011071000006114,Total anterior cerebral circulation stroke
5011051000006116,Total anterior cerebral circulation infarction
5011061000006119,TACI - Total anterior cerebral circulation infarction
5011081000006112,TACS - Total anterior cerebral circulation stroke
5011111000006118,Partial anterior cerebral circulation stroke
5011121000006114,PACS - Partial anterior cerebral circulation stroke
5011101000006116,PACI - Partial anterior cerebral circulation infarction
5011091000006110,Partial anterior cerebral circulation infarction
5011181000006113,LI - Lacunar infarction
5011161000006115,Lacunar stroke
299342019,Lacunar infarction
5011171000006110,LACI - Lacunar infarction
345655015,Pure motor lacunar syndrome
5011191000006111,Pure motor lacunar infarction
5011231000006118,Pure sensorimotor lacunar infarction
5011241000006111,Lacunar ataxic hemiparesis
5011251000006113,Dysarthria-clumsy hand syndrome
5011451000006114,Stroke of uncertain pathology
5011461000006111,Anterior circulation stroke of uncertain pathology
5011471000006116,Posterior circulation stroke of uncertain pathology
5011871000006119,Spinal cord stroke
371641000000112,Delivery of rehabilitation for stroke
2901571000006113,Completed stroke
2539131000006116,Stroke rehabilitation
605481000006110,CVA - cerebrovascular accident in the puerperium
411416011,Stroke in the puerperium
2476091017,H/O: stroke
411518010,H/O: CVA
1227591017,[V]Personal history of stroke
