SNOMEDCTCodes,Description
57676002,Joint pain (finding)
202479004,Acromioclavicular joint pain (finding)
774137000,Pain of left acromioclavicular joint (finding)
15639561000119107,Pain of bilateral acromioclavicular joints (finding)
774136009,Pain of right acromioclavicular joint (finding)
267954009,Arthralgia of the ankle and/or foot (finding)
202490009,Ankle joint pain (finding)
299447008,Ankle joint - painful on movement (finding)
279066007,Foot joint pain (finding)
12247571000119109,Bilateral foot joint pain (finding)
299513007,Foot joint - painful on movement (finding)
299554004,Subtalar joint painful on movement (finding)
299633000,Toe joint painful on movement (finding)
202497007,Interphalangeal joint of toe pain (finding)
279067003,Metatarsophalangeal joint pain (finding)
202495004,First metatarsophalangeal joint pain (finding)
202496003,Lesser metatarsophalangeal joint pain (finding)
202491008,Subtalar joint pain (finding)
202493006,Talonavicular joint pain (finding)
267952008,Arthralgia of the pelvic region and thigh (finding)
713413001,Joint pain of pelvic region (finding)
202487003,Sacroiliac joint pain (finding)
782661001,Chronic sacroiliac joint pain (finding)
703619001,Pelvic girdle pain (disorder)
267950000,Arthralgia of the upper arm (finding)
202480001,Elbow joint pain (finding)
298929004,Elbow joint - painful on movement (finding)
202472008,Hand joint pain (finding)
202485006,Distal interphalangeal joint of finger pain (finding)
299112005,Finger joint painful on movement (finding)
1076731000119106,Joint pain in left hand (finding)
16899701000119102,Pain of joint of bilateral hands (finding)
1076721000119108,Joint pain in right hand (finding)
202483004,Metacarpophalangeal joint pain (finding)
202484005,Proximal interphalangeal joint of finger pain (finding)
299199000,Thumb joint painful on movement (finding)
49218002,Hip pain (finding)
299308007,Hip joint painful on movement (finding)
35678005,Multiple joint pain (finding)
15639721000119105,Pain in bilateral temporomandibular joints (finding)
1003721002,Pain of joint of knee (finding)
112581000119104,Acute pain of joint of knee (finding)
299377003,Knee joint painful on movement (finding)
298255009,Pain on joint movement (finding)
429531000,Pain on passive stretch of joint (finding)
298376001,Temporomandibular joint painful on movement (finding)
299018007,Wrist joint painful on movement (finding)
267949000,Shoulder joint pain (finding)
921261000000101,Shoulder joint painful on external rotation (finding)
298857005,Shoulder joint painful on movement (finding)
298858000,Shoulder joint - painful arc (finding)
202478007,Sternoclavicular joint pain (finding)
1075651000119101,Pain of left sternoclavicular joint (finding)
1075631000119107,Pain of right sternoclavicular joint (finding)
202489000,Tibiofibular joint pain (finding)
87381000119101,Vertebral joint pain (finding)
247369005,Facet joint pain (finding)
298253002,Cervical facet joint pain (finding)
279063004,Lumbar facet joint pain (finding)
298254008,Thoracic facet joint pain (finding)
202482009,Wrist joint pain (finding)
202481002,Distal radioulnar joint pain (finding)
247375001,Arc of pain in joint (observable entity)
247376000,Beginning of painful arc (observable entity)
247377009,End of painful arc (observable entity)
164539000,On examination - joint movement painful (finding)
247374002,Range of painful joint movement (observable entity)
472957007,History of pain of multiple joints (situation)
