V2Codes,Description
N094.,Pain in joint - arthralgia
N0940,Arthralgia of unspecified site
N0941,Arthralgia of the shoulder region
N0942,Arthralgia of the upper arm
N0943,Arthralgia of the forearm
N0944,Arthralgia of the hand
N0945,Arthralgia of the pelvic region and thigh
N0946,Arthralgia of the lower leg
N0947,Arthralgia of the ankle and foot
N0948,Arthralgia of other specified site
N0949,Arthralgia of multiple joints
N094A,Arthralgia of shoulder
N094B,Arthralgia of sternoclavicular joint
N094C,Arthralgia of acromioclavicular joint
N094D,Arthralgia of elbow
N094E,Arthralgia of distal radio-ulnar joint
N094F,Arthralgia of wrist
N094G,Arthralgia of metacarpophalangeal joint
N094H,Arthralgia of proximal interphalangeal joint of finger
N094J,Arthralgia of distal interphalangeal joint of finger
N094K,Arthralgia of hip
N094L,Arthralgia of sacro-iliac joint
N094M,Arthralgia of knee
N094N,Arthralgia of tibio-fibular joint
N094P,Arthralgia of ankle
N094Q,Arthralgia of subtalar joint
N094R,Arthralgia of talonavicular joint
N094S,Arthralgia of other tarsal joint
N094T,Arthralgia of 1st metatarsophalangeal joint
N094U,Arthralgia of lesser metatarsophalangeal joint
N094V,Arthralgia of interphalangeal joint of toe
N094W,Anterior knee pain
N094z,Arthralgia NOS
