MedCodeID,Description
8035651000006114,Acute arthralgia of knee
8035661000006111,Acute knee joint pain
9479731000006117,Bilateral foot joint pain
4581741000006114,On examination - joint movement painful
256029019,O/E - joint movement painful
310802015,Arthralgia of the hand
310803013,Hand joint pain
4814031000006118,Sternoclavicular joint pain
310818014,Arthralgia of sternoclavicular joint
310819018,Arthralgia of acromioclavicular joint
4814051000006113,Acromioclavicular joint pain
310822016,Arthralgia of elbow
310821011,Elbow joint pain
637511000006115,Elbow joint pain
4814091000006119,Distal radioulnar joint pain
491831000006112,Arthralgia of distal radio-ulnar joint
4814101000006113,Arthralgia of distal radioulnar joint
310825019,Wrist joint pain
310826018,Arthralgia of wrist
491891000006111,Arthralgia of metacarpophalangeal joint
11902261000006112,Metacarpophalangeal joint pain
11902301000006115,Proximal interphalangeal joint of finger pain
491931000006119,Arthralgia of proximal interphalangeal joint of finger
4814171000006119,Distal interphalangeal joint of finger pain
491821000006114,Arthralgia of distal interphalangeal joint of finger
11902311000006117,Sacroiliac joint pain
491941000006112,Arthralgia of sacroiliac joint
492061000006117,Arthralgia of tibio-fibular joint
4814221000006113,Arthralgia of tibiofibular joint
4814211000006117,Tibiofibular joint pain
310839019,Arthralgia of ankle
310840017,Ankle joint pain
11902321000006113,Subtalar joint pain
310842013,Arthralgia of subtalar joint
11902331000006111,Talonavicular joint pain
310846011,Arthralgia of talonavicular joint
491791000006117,Arthralgia of 1st metatarsophalangeal joint
11902271000006117,First metatarsophalangeal joint pain
491881000006113,Arthralgia of lesser metatarsophalangeal joint
4814321000006118,Lesser metatarsophalangeal joint pain
11902291000006116,Interphalangeal joint of toe pain
491861000006115,Arthralgia of interphalangeal joint of toe
5243201000006113,Facet joint pain
369383014,Facet joint syndrome
5243251000006112,Range of painful joint movement
5243261000006114,Arc of pain in joint
5243271000006119,Beginning of painful arc
5243281000006116,End of painful arc
310911019,Other joint symptoms of the shoulder region
400245012,Arthralgia of the shoulder region
400246013,Arthralgia of shoulder
400244011,Shoulder joint pain
890661000006115,Painful Shoulder
400248014,Arthralgia of the forearm
400247016,Arthralgia of the upper arm
932721000006115,Pain in joint - coxalgia
400249018,Arthralgia of the pelvic region and thigh
400263012,Arthralgia of the ankle and/or foot
5502581000006112,Ankle and/or foot joint pain
890671000006110,Ankle/foot joint pain
400251019,Arthralgia of the ankle and foot
5621091000006112,Facet syndrome of lumbar spine
5621081000006114,Lumbar facet syndrome
5621071000006111,Lumbar zygapophysial joint pain
5621061000006116,Lumbar facet joint pain
5621131000006114,Arthralgia of foot
5621121000006111,Foot joint pain
5621141000006116,Metatarsophalangeal joint pain
5850331000006114,Facet syndrome of cervical spine
5850321000006111,Cervical facet joint pain
5850341000006116,Thoracic facet joint pain
5850351000006119,Thoracic facet syndrome
5850361000006117,Pain on joint movement
1892761000006113,Shoulder joint painful on movement
439693015,Shoulder joint painful on movement
5859751000006113,Shoulder joint - painful arc
5860551000006115,Elbow joint - painful on movement
5861721000006110,Wrist joint painful on movement
11902281000006119,Finger joint painful on movement
5863851000006113,Thumb joint painful on movement
5865271000006117,Hip joint painful on movement
5866111000006114,Knee joint painful on movement
5867071000006115,Ankle joint - painful on movement
5867871000006110,Foot joint - painful on movement
5868311000006113,Subtalar joint painful on movement
5869211000006111,Toe joint painful on movement
486238018,Multiple joint pain
11931981000006114,Multiple joint pain
3074511000006111,Polyarthralgia
1228298012,Arthralgia of multiple joints
7104841000006116,Pain on passive stretch of joint
12355051000006111,H/O: pain of multiple joints
7480461000006112,History of pain of multiple joints
7480471000006117,History of arthralgia of multiple joints
81982015,Hip pain
599131000006110,Coxalgia
198184013,Hip joint pain
310938014,Other symptoms - hip
1230691015,Arthralgia of hip
81981010,Coxalgia
310815012,Arthralgia of other specified site
991491000006111,Joint pain NOS
3437301000006118,Articular pain
310855014,Arthralgia
310792015,Arthralgia of unspecified site
452701000006110,Ache in joint
890651000006117,Pain in joint - coxalgia
400260010,Other joint symptoms of unspecified site
3437291000006119,Painful joint
693501000006115,Musculoskeletal pain - joints
310847019,Arthralgia of other tarsal joint
248581000006113,Joint pain
7578881000006115,Pelvic girdle pain
7578891000006117,PGP - pelvic girdle pain
11858901000006116,Symphysis pubis dysfunction
7703661000006114,Joint pain of pelvic region
2364511000000117,Shoulder joint painful on external rotation
890681000006113,Other joint pain
1682431000006119,Wrist pain
484753013,Arthralgia of knee
890701000006111,Joint pain NOS
742361000006117,Irritable hip
400250018,Arthralgia of the lower leg
484754019,Knee joint pain
486291000006115,Anterior knee pain
