SNOMEDCTCodes,Description
19063003,Arthroplasty of knee (procedure)
27748003,"Arthroplasty of knee, condyle and plateau, lateral compartment (procedure)"
90827004,"Arthroplasty of knee, condyle and plateau, medial compartment (procedure)"
64295009,"Arthroplasty of knee, femoral condyles (procedure)"
60440009,"Arthroplasty of knee, femoral condyles with debridement and partial synovectomy (procedure)"
53386008,"Arthroplasty of knee, tibial plateau (procedure)"
699156004,Excision arthroplasty of joint of knee (procedure)
1209181003,Excision arthroplasty of joint of knee with insertion of cement spacer (procedure)
392238003,Prosthetic arthroplasty of knee joint (procedure)
88056004,Arthroplasty of knee with constrained prosthesis (procedure)
307817008,Cemented arthroplasty of knee joint (procedure)
442102003,Cemented prosthetic hybrid arthroplasty of knee joint (procedure)
442656009,Conversion to cemented prosthetic hybrid arthroplasty of knee joint (procedure)
265170009,Cemented prosthetic total arthroplasty of knee joint (procedure)
179345007,Conversion to cemented total knee replacement (procedure)
379011000000104,Hybrid prosthetic replacement of knee joint using cement (procedure)
700499007,Implantation of extra-articular partial load absorber device to knee joint (procedure)
1231496006,Implantation of meniscus prosthesis into knee joint (procedure)
1240412000,Implantation of prosthesis into left knee joint (procedure)
726418000,Prosthetic unicompartmental arthroplasty of left knee (procedure)
735224005,Prosthetic unicompartmental arthroplasty of bilateral knees (procedure)
443681002,Total replacement of left knee joint (procedure)
444463001,Replacement of bilateral knee joints (procedure)
1240411007,Implantation of prosthesis into right knee joint (procedure)
726419008,Prosthetic unicompartmental arthroplasty of right knee (procedure)
443682009,Total replacement of right knee joint (procedure)
60159002,Implantation of Swanson prosthesis of knee (procedure)
609588000,Prosthetic total arthroplasty of knee joint (procedure)
1287945008,Prosthetic hybrid total knee replacement (procedure)
450567003,Conversion to hybrid total knee replacement (procedure)
764932008,Revision of one component of total prosthetic replacement of knee joint using cement (procedure)
1222570003,Total knee replacement using valgus-varus constrained prosthesis (procedure)
713687000,Total replacement of joint of knee with constrained condylar prosthesis (procedure)
1217702001,Total replacement of knee joint using cone (procedure)
1220622006,Total replacement of knee joint using knee stem (procedure)
1222568007,Total replacement of knee joint using modular metal augmentation (procedure)
1222569004,Total replacement of knee joint using rotating hinge prosthesis (procedure)
1222566006,Total replacement of knee joint with bone allograft (procedure)
1222567002,Total replacement of knee joint with bone autograft (procedure)
1201734006,Total replacement of knee with impaction bone graft (procedure)
265172001,Uncemented total prosthetic arthroplasty of knee joint (procedure)
179352009,Conversion to uncemented total knee replacement (procedure)
764931001,Revision of one component of total prosthetic replacement of knee joint not using cement (procedure)
239501000,Prosthetic unicompartmental arthroplasty of knee (procedure)
179402001,Cemented unicompartmental knee replacement (procedure)
179404000,Conversion to cemented unicompartmental knee replacement (procedure)
179412008,Hybrid unicompartmental knee replacement (procedure)
179414009,Conversion to hybrid unicompartmental knee replacement (procedure)
1231398006,Prosthetic unicompartmental arthroplasty of knee using robotic assistance (procedure)
179407007,Uncemented unicompartmental knee replacement (procedure)
179409005,Conversion to uncemented unicompartmental knee replacement (procedure)
1197485009,Revision of total replacement of knee joint with bone allograft (procedure)
179353004,Revision of uncemented total prosthetic replacement of knee joint (procedure)
865691000000106,Unicompartmental interposition arthroplasty of knee with custom-made implant (procedure)
765191000000100,History of knee replacement (situation)
29712008,Revision of prosthetic replacement of knee joint (procedure)
445091006,Revision of hybrid knee replacement (procedure)
442579001,Revision of hybrid prosthetic replacement of knee joint using cement (procedure)
1201913007,Revision of prosthetic replacement of patellofemoral joint (procedure)
1290160009,Revision of total prosthetic replacement of knee joint (procedure)
179346008,Revision of cemented total prosthetic replacement of knee joint (procedure)
450814005,Revision of hybrid total knee replacement (procedure)
735261001,Revision of right total prosthetic knee arthroplasty (procedure)
1201752006,Revision of total replacement of knee joint using modular metal augmentation (procedure)
179410000,Revision uncemented unicompartmental knee replacement (procedure)
281450006,Loosening of total knee replacement (disorder)
281451005,Loosening of femoral component of total knee replacement (disorder)
281452003,Loosening of tibial component of total knee replacement (disorder)
762052005,Attention to total knee replacement (procedure)
281449006,Loosening of unicondylar knee replacement (disorder)
442258002,Attention to cemented hybrid prosthetic replacement of knee joint (procedure)
379051000000100,Attention to hybrid prosthetic replacement of knee joint using cement (procedure)
