MedCodeID,Description
277531013,Conversion to cemented total knee replacement
277532018,Revision cemented total knee replacement
277542016,Conversion to uncemented total knee replacement
277543014,Revision uncemented total knee replacement
277628016,Cemented unicompartmental knee replacement
277630019,Conversion to cemented unicompartmental knee replacement
277633017,Uncemented unicompartmental knee replacement
277635012,Conversion to uncemented unicompartmental knee replacement
277636013,Revision uncemented unicompartmental knee replacement
277638014,Hybrid unicompartmental knee replacement
277640016,Conversion to hybrid unicompartmental knee replacement
393823019,Arthroplasty of knee
2802601000006115,Knee replacement
37511000006111,Arthroplasty of the knee
2802571000006110,Repair of knee joint
393825014,Conversion to hybrid total knee replacement NEC
2802591000006111,Knee arthroplasty
622071000000110,Prosthetic unicompartmental arthroplasty of knee
612971000006110,Denham total replacement of knee joint using cement
393819010,TKR -Total prosthetic replacement of knee joint using cement
125271000006116,Stanmore total replacement of knee joint using cement
98241000006116,Total prosthetic replacement of knee joint using cement OS
717311000006113,Marmor total replacement of knee joint using cement
786091000006118,Ilch total replacement of knee joint using cement
794561000006110,Freeman total replacement of knee joint using cement
801411000006113,Geomedic total replacement of knee joint using cement
277537012,Total prosthetic replacement of knee joint using cement NOS
801421000006117,Geometric total replacement of knee joint using cement
545491000006113,Charnley total replacement of knee joint using cement
540341000006116,Cavendish total replacement of knee joint using cement
608181000006110,Deane total replacement of knee joint using cement
393818019,Total prosthetic replacement of knee joint using cement
807731000006116,Gunston total replacement of knee joint using cement
821221000006111,Herbert total replacement of knee joint using cement
221681000006116,Polycentric total replacement of knee joint using cement
147201000006117,Shiers total replacement of knee joint using cement
698991000006113,Manchester total replacement of knee joint using cement
481451000006119,Anametric total replacement of knee joint using cement
85641000006111,Uci total replacement of knee joint using cement
176111000006112,Removal previous cemented total prosthetic replacement knee
742431000006119,Irving total replacement of knee joint using cement
111411000006116,Swanson total replacement of knee joint using cement
147051000006110,Sheehan total replacement of knee joint using cement
498571000006118,Attenborough total replacement of knee joint using cement
711211000006111,Melbourne total replacement of knee joint using cement
738691000006116,Liverpool total replacement of knee joint using cement
98151000006110,Total prosthetic replacement knee joint not using cement OS
220731000000113,TKR - Total prosthetic replacement knee joint without cement
393821017,Total prosthetic replacement of knee joint not using cement
98141000006113,Total prosthetic replacement knee joint not using cement NOS
2945451000006112,"Arthroplasty of knee, condyle and plateau, lateral compartment"
2945461000006114,Prosthetic lateral unicompartment arthroplasty of the knee
5651771000006114,Loosening of unicondylar knee replacement
5651791000006110,TKR - Loosening of total knee replacement
5651781000006112,Loosening of total knee replacement
5651801000006111,Loosening of femoral component of total knee replacement
5651811000006114,Loosening of tibial component of total knee replacement
2978091000006115,Revision of knee replacement
208401000006110,Pretoria arthroplasty of knee joint using cement
500341000006110,Autophor arthroplasty of knee joint using cement
714711000006116,McKee arthroplasty of knee joint using cement
807611000006119,Guepar hinge replacement of knee joint using cement
451200010,Arthroplasty of knee joint using cement
5973021000006114,Arthroplasty of knee using cement
218641000006112,Platt arthroplasty of knee joint using cement
57351000006117,Wallidus hinge arthroplasty of knee joint using cement
746591000000110,Hybrid prosthetic replacement of knee joint using cement
1702651000006117,OS hybrid prosthetic replacement of knee joint using cement
746731000000117,Hybrid prosthetic replacement of knee joint using cement NOS
1702631000006112,Attention to hybrid prosthetic replacement of knee joint using cement
6530941000006115,Prosthetic arthroplasty of knee
6530951000006118,Implantation of prosthesis or prosthetic device of knee joint
277572010,Implantation of joint prosthesis into knee joint
7259671000006117,Insertion of hybrid prosthetic replacement of knee joint using cement
7261891000006112,Attention to cemented hybrid prosthetic replacement of knee joint
1702621000006114,Revision of hybrid prosthetic replacement of knee joint using cement
1702611000006118,Conversion to hybrid prosthetic replacement of knee joint using cement
7281291000006113,Total replacement of left knee joint
7281301000006114,Total prosthetic arthroplasty of left knee
7281311000006112,Total replacement of right knee joint
7293431000006113,Bilateral replacement of knee joints
7293441000006115,Bilateral prosthetic arthroplasty of knees
7302671000006114,Revision of hybrid knee replacement
7380571000006113,Conversion to hybrid total knee replacement
171621000006117,Revision of hybrid total knee replacement
3365841000006115,"Arthroplasty of knee, tibial plateau"
3477021000006111,Implantation of Swanson prosthesis of knee
3481791000006110,"Arthroplasty of knee, femoral condyles with debridement and partial synovectomy"
206451000006110,Total knee replacement
7500651000006118,Total knee arthroplasty
251351000006116,Other total prosthetic replacement of knee joint OS
3545811000006114,"Arthroplasty of knee, femoral condyles"
7517811000006119,Excision arthroplasty of the knee
7535911000006111,Implantation of extra-articular partial load absorber device to knee joint
7707801000006116,Total knee replacement with constrained condylar knee prosthesis
7707791000006117,Total replacement of joint of knee with constrained condylar prosthesis
7878741000006118,Prosthetic unicompartmental arthroplasty of left knee
7878751000006116,Prosthetic unicompartmental arthroplasty of right knee
3513919015,Prosthetic unicompartmental arthroplasty of bilateral knees
3513921013,Bilateral knee prosthetic unicompartmental arthroplasty
3513920014,Bilateral prosthetic unicompartmental arthroplasty of both knees
3513906019,Revision of right total knee arthroplasty
393827018,Attention to total knee replacement
1553601000006119,Revision of one component of total prosthetic replacement of knee joint not using cement
1553591000006110,Revision of one component of total prosthetic replacement of knee joint using cement
8238191000006110,History of knee replacement
1704331000000119,H/O knee replacement
8300391000006110,Unicompartmental interposition arthroplasty of knee with custom-made implant
3930941000006119,Arthroplasty of knee with constrained prosthesis
3930951000006117,"Arthroplasty of knee with constrained prosthesis, Walldius type"
3976071000006112,"Arthroplasty of knee, condyle and plateau, medial compartment"
3976081000006110,Prosthetic medial unicompartmental arthroplasty of the knee
277530014,Primary cemented total knee replacement
277541011,Primary uncemented total knee replacement
277629012,Primary cemented unicompartmental knee replacement
277631015,Revision cemented unicompartmental knee replacement
277632010,Conversion from cemented unicompartmental knee replacement
277634011,Primary uncemented unicompartmental knee replacement
277637016,Conversion from uncemented unicompartmental knee replacement
277639018,Primary hybrid unicompartmental knee replacement
277641017,Revision hybrid unicompartmental knee replacement
277642012,Conversion from hybrid unicompartmental knee replacement
393820016,Conversion from cemented total knee replacement
451203012,Arthroplasty of knee joint not using cement
393822012,Conversion from uncemented total knee replacement
176171000006115,Removal of previous uncemented total prosthetic replacement of knee joint
102861000006114,Replacement of total knee joint
393824013,Primary hybrid total knee replacement
594571000006119,Conversion to total knee replacement NEC
182511000006110,Arthrotomy for removal of prosthesis of knee
166081000006110,Revision of knee arthroplasty
1553611000006116,Revis one component total prosthetic replace knee joint NEC
452955016,Attention to hybrid total knee replacement
746291000000113,Arthrolysis of total prosthetic replacement of knee joint
358909011,Prosthetic arthroplasty of the patellofemoral joint
176141000006111,Removal previous total prosthetic replacement knee joint NEC
594091000006112,Conversion from total knee replacement NEC
393828011,Conversion from hybrid total knee replacement NEC
