CTV3Codes,Description
7K1J7,Primary internal fixation proximal femur # screw/nail+plate device
7K1JA,Revision internal fixation proximal femur # screw/nail+plate device
X601R,Fixation of fracture using intramedullary nail
XaB4z,Kuntschner intramedullary fixation
XaEJD,Closed reduction of intracapsular # NOF internal fixation DHS
7K1G2,Primary open reduction and external fixation of femoral fracture
7K1H5,Revision to open red + ext fxtn of proximal femoral fracture
7K1K3,Primary external fixation (without reduction) prox femoral #
7K1K4,Revision to ext fixation (without reduction) prox femoral #
7K1K5,Primary cls reduction + external fixation proximal femoral #
7K1K6,Revision to cls reduction + external fixation proximal femoral #
7K1LC,Closed reduction of fracture of lower limb
7K1L5,Closed reduction fracture of femur
7K1L7,Closed reduction of fracture of tibia and or fibula
XM16r,Closed reduction of fracture of fibula
Xa85k,Closed reduction of fracture of tibia and fibula
XM16s,Closed reduction of fracture of tibia
7K1L4,Closed reduction of fracture of hip
7K1L6,Closed reduction of fracture of knee
7K1L8,Closed reduction of fracture of ankle
Xa3zG,Lower limb # closed reduct NOS
SCO4.,Sequelae of other fracture of lower limb
SyuL4,[X] Sequelae of other fractures of lower limb
SC3D4,Sequelae of fracture of femur
XA0HC,Fracture of femur
XA0HE,Fracture of proximal end of femur
XaKyf,"Open fracture of femur, upper epiphysis"
XaKye,"Closed fracture of femur, upper epiphysis"
XE113,Fracture of neck of femur
XA0HF,Subcapital fracture of neck of femur
XM1Ne,"Closed fracture of femur, subcapital"
S3005,"Cls # prox femur, subcapital, Garden grade unspec."
S3006,"Closed fracture proximal femur, subcapital, Garden grade I"
S3007,"Closed fracture proximal femur, subcapital, Garden grade II"
S3008,"Closed fracture proximal femur, subcapital, Garden grade III"
S3009,"Closed fracture proximal femur, subcapital, Garden grade IV"
XM1Nf,"Open fracture of femur, subcapital"
S3015,"Opn # prox femur, subcapital, Garden grade unspec."
S3016,"Open fracture proximal femur, subcapital, Garden grade I"
S3017,"Open fracture proximal femur, subcapital, Garden grade II"
S3018,"Open fracture proximal femur, subcapital, Garden grade III"
S3019,"Open fracture proximal femur, subcapital, Garden grade IV"
XA0HG,Midcervical fracture of neck of femur
S3002,"Closed fracture procimal femur, midcervical section"
S3012,"Open fracture proximal femur, midcervical section"
Xa7nz,Fracture of greater trochanter
XM1Ng,"Closed fracture of femur, greater trochanter"
XM1Nj,"Open fracture of femur, greater trochanter"
XA0HH,Bascervical fracture of neck of femur
S3003,"Closed fracture proximal femur, basicervical"
XA0HL,open fracture base of neck of femur
XE115,"open fracture proximal femur, basicervical"
S300.,"Closed fracture proximal femur, transcervical"
S300z,"Closed fracture proximal femur, transcervical NOS"
XE114,"Closed fracture proximal femur, other transcervical"
S3000,"Cls # prox femur, intracapsular section, unspec."
S3001,"Closed fracture proximal femur, transepiphyseal"
S301.,"Open fracture proximal femur, transcervical"
S301z,"Open fracture proximal femur, transcervical NOS"
XE1l6,"Open fracture proximal femur, other transcervical"
S3010,"Opn # prox femur, intracapsular section, unspec."
S3011,"Open fracture proximal femur, transepiphyseal"
S3014,"Open fracture head, femur"
S302.,"Closed fracture of proximal femur, pertrochanteric"
S302z,"Cls # prox femur, pertrochanteric section, NOS"
S3021,"Closed fracture proximal femur, intertrochanteric, two part"
S3022,"Closed fracture proximal femur, subtrochanteric"
S3023,"Cls # proximal femur, intertrochanteric, comminuted"
S303.,"Open fracture of proximal femur, pertrochanteric"
S303z,"Open fracture of proximal femur, pertrochanteric, NOS"
S3031,"Open fracture proximal femur, intertrochanteric, two part"
S3032,"Open fracture proximal femur, subtrochanteric"
S3033,"Open # proximal femur, intertrochanteric, comminuted"
S30w.,Closed fracture of unspecified proximal femur
S30x.,Open fracture of unspecified proximal femur
S30z.,Open fracture of neck of femur NOS
XE1l7,"Cls # proximal femur, trochanteric section, unspecified"
