SNOMEDCTCodes,Description
46866001,Fracture of lower limb (disorder)
52603002,Closed fracture of lower limb (disorder)
42188001,Closed fracture of ankle (disorder)
209349006,Closed fracture dislocation of ankle joint (disorder)
209351005,Closed fracture subluxation of ankle joint (disorder)
209352003,Open fracture subluxation of ankle joint (disorder)
263115008,Fracture subluxation of ankle joint (disorder)
208634001,Closed fracture distal tibia (disorder)
208635000,"Closed fracture distal tibia, extra-articular (disorder)"
208636004,"Closed fracture distal tibia, intra-articular (disorder)"
446298003,Closed pilon fracture (disorder)
445410003,Closed fracture of distal tibia and distal fibula (disorder)
25899002,Closed bimalleolar fracture (disorder)
208663003,"Closed fracture ankle, bimalleolar, high fibular fracture (disorder)"
208662008,"Closed fracture ankle, bimalleolar, low fibular fracture (disorder)"
6698000,Closed trimalleolar fracture (disorder)
208667002,"Closed fracture ankle, trimalleolar, high fibular fracture (disorder)"
208666006,"Closed fracture ankle, trimalleolar, low fibular fracture (disorder)"
90338005,Open trimalleolar fracture (disorder)
208669004,"Open fracture ankle, trimalleolar, high fibular fracture (disorder)"
705080006,Closed fracture of epiphyseal plate of distal tibia (disorder)
15385006,Closed fracture of medial malleolus (disorder)
308153009,Closed fracture of distal fibula (disorder)
34268009,Closed fracture of lateral malleolus (disorder)
208658002,"Closed fracture ankle, lateral malleolus, high (disorder)"
208657007,"Closed fracture ankle, lateral malleolus, low (disorder)"
79626009,Closed fracture of talus (disorder)
208686005,"Closed fracture talus, body (disorder)"
208684008,"Closed fracture talus, head (disorder)"
208685009,"Closed fracture talus, neck (disorder)"
428151000,Closed fracture of bone of knee joint (disorder)
209340005,Closed fracture dislocation of knee joint (disorder)
209344001,Closed fracture dislocation of patellofemoral joint (disorder)
209342002,Closed fracture subluxation of knee joint (disorder)
47848000,Closed fracture of condyle of tibia (disorder)
208613008,Closed fracture intercondylar spine of tibia (disorder)
208612003,"Closed fracture proximal tibia, bicondylar (disorder)"
208611005,"Closed fracture proximal tibia, lateral condyle (plateau) (disorder)"
208610006,"Closed fracture proximal tibia, medial condyle (plateau) (disorder)"
66926007,Closed fracture of femoral condyle of femur (disorder)
208581008,"Closed fracture distal femur, bicondylar (T-Y fracture) (disorder)"
208580009,"Closed fracture distal femur, lateral condyle (disorder)"
208579006,"Closed fracture distal femur, medial condyle (disorder)"
80756009,Closed fracture of patella (disorder)
208601003,"Closed fracture patella, comminuted (stellate) (disorder)"
208598008,"Closed fracture patella, distal pole (disorder)"
208597003,"Closed fracture patella, proximal pole (disorder)"
208596007,"Closed fracture patella, transverse (disorder)"
208600002,"Closed fracture patella, vertical (disorder)"
428020005,Closed osteochondral fracture of patella (disorder)
25415003,Closed fracture of femur (disorder)
705090003,Closed fracture of apophysis of femur (disorder)
62125005,Closed fracture of epiphysis of femur (disorder)
275340006,Closed fracture of greater trochanter of femur (disorder)
426382004,Closed avulsion fracture of greater trochanter of femur (disorder)
208526001,Closed fracture of head of femur (disorder)
15912331000119106,Closed fracture of head of left femur (disorder)
15912431000119100,Closed fracture of head of right femur (disorder)
703994007,Closed intra-articular fracture of head of femur (disorder)
275338001,Closed subcapital fracture of femur (disorder)
208528000,"Closed fracture proximal femur, subcapital, Garden grade I (disorder)"
208529008,"Closed fracture proximal femur, subcapital, Garden grade II (disorder)"
208530003,"Closed fracture proximal femur, subcapital, Garden grade III (disorder)"
208531004,"Closed fracture proximal femur, subcapital, Garden grade IV (disorder)"
275341005,Closed fracture of lesser trochanter of femur (disorder)
427688003,Closed avulsion fracture of lesser trochanter of femur (disorder)
208578003,Closed fracture of lower epiphysis of femur (disorder)
