CTV3Codes,Description
14A3.,H/O: myocardial infarct at less than 60
14A4.,H/O: myocardial infarct at greater than 60
14AH.,H/O: Myocardial infarction in last year
14AT.,History of myocardial infarction
14AW.,H/O acute coronary syndrome
323..,ECG: myocardial infarction
3232.,ECG: old myocardial infarction
3233.,ECG: anteroseptal infarction
3234.,ECG:posterior/inferior infarct
3235.,ECG: subendocardial infarct
3236.,ECG: lateral infarction
323Z.,ECG: myocardial infarct NOS
G300.,Acute anterolateral myocardial infarction
G301.,Other specified anterior myocardial infarction
G3010,Acute anteroapical infarction
G3011,Acute anteroseptal myocardial infarction
G301z,Anterior myocardial infarction NOS
G302.,Acute inferolateral myocardial infarction
G303.,Acute inferoposterior infarction
G304.,Posterior myocardial infarction NOS
G305.,Lateral myocardial infarction NOS
G306.,True posterior myocardial infarction
G307.,Acute subendocardial infarction
G3070,Acute non-Q wave infarction
G3071,Acute non-ST segment elevation myocardial infarction
G308.,Inferior myocardial infarction NOS
G30y.,Other acute myocardial infarction
G30y0,Acute atrial infarction
G30y1,Acute papillary muscle infarction
G30y2,Acute septal infarction
G30yz,Other acute myocardial infarction NOS
G30z.,Acute myocardial infarction NOS
G310.,Post-myocardial infarction syndrome
G35..,Subsequent myocardial infarction
G350.,Subsequent myocardial infarction of anterior wall
G351.,Subsequent myocardial infarction of inferior wall
G353.,Subsequent myocardial infarction of other sites
G36..,Certain current complications following acute myocardial infarction
G360.,Haemopericardium as current complication following acute myocardial infarction
G361.,Atrial septal defect as current complication following acute myocardial infarction
G363.,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
G364.,Rupture of chordae tendinae as current complication following acute myocardial infarction
G365.,Rupture of papillary muscle as current complication following acute myocardial infarction
G366.,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
Gyu34,[X]Acute transmural myocardial infarction of unspecified site
Gyu36,[X]Subsequent myocardial infarction of unspecified site
X200a,Silent myocardial infarction
X200d,Post-infarction ventricular septal defect
X200e,Cardiac rupture after acute myocardial infarction
X200G,Acute Q wave infarction - anteroseptal
X200H,Acute non-Q wave infarction - anteroseptal
X200I,Acute Q wave infarction - anterolateral
X200J,Acute non-Q wave infarction - anterolateral
X200K,Acute inferior myocardial infarction
X200L,Acute Q wave infarction - inferior
X200M,Acute non-Q wave infarction - inferior
X200N,Acute Q wave infarction - inferolateral
X200O,Acute non-Q wave infarction - inferolateral
X200P,Acute lateral myocardial infarction
X200Q,Acute Q wave infarction - lateral
X200R,Acute non-Q wave infarction - lateral
X200S,Acute widespread myocardial infarction
X200T,Acute Q wave infarction - widespread
X200U,Acute non-Q wave infarction - widespread
X200V,Acute posterior myocardial infarction
X200W,Old anterior myocardial infarction
X200X,Old inferior myocardial infarction
X200Y,Old lateral myocardial infarction
X200Z,Old posterior myocardial infarction
Xa0YL,Acute anterior myocardial infarction
XaAC3,Acute Q wave myocardial infarction
XaAzi,Acute non-Q wave infarction
XaD2b,Postoperative myocardial infarction
XaD2d,Postoperative transmural myocardial infarction of anterior wall
XaD2e,Postoperative transmural myocardial infarction of inferior wall
XaD2f,Postoperative transmural myocardial infarction of other sites
XaD2g,Postoperative transmural myocardial infarction of unspecified site
XaD2h,Postoperative subendocardial myocardial infarction
XaD2i,"Postoperative myocardial infarction, unspecified"
XaEgZ,Non-Q wave myocardial infarction
XaFx7,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction
XaIf1,First myocardial infarction
XaINF,Acute coronary syndrome
XaIwM,Acute ST segment elevation myocardial infarction
XaIwY,Acute non-ST segment elevation myocardial infarction
XaJX0,Acute posterolateral myocardial infarction
XE0Uh,Acute myocardial infarction
XE2aA,Old myocardial infarction
