SNOMEDCTCodes,Description
161502000,History of myocardial infarct at age less than sixty
161503005,H/O: myocardial infarct at greater than 60
66189004,Postmyocardial infarction syndrome
1755008,Old myocardial infarction
399211009,History of - myocardial infarction (context-dependent category)
164865005,ECG: myocardial infarction
70211005,Acute anterolateral myocardial infarction
54329005,Acute anterior myocardial infarction
52035003,Acute anteroapical infarction
62695002,Acute anteroseptal myocardial infarction
65547006,Acute inferolateral myocardial infarction
76593002,Acute inferoposterior infarction
233838001,Acute posterior myocardial infarction
58612006,Acute lateral myocardial infarction
194802003,True posterior wall infarction
70422006,Acute subendocardial infarction (disorder)
73795002,Acute inferior myocardial infarction
57054005,Acute myocardial infarction
194809007,Acute atrial infarction
79009004,Acute myocardial infarction of septum
194856005,Subsequent myocardial infarction
194857001,Subsequent myocardial infarction of anterior wall
194858006,Subsequent myocardial infarction of inferior wall (disorder)
371068009,Myocardial infarction with complication
194862000,Haemopericardium due to and following acute myocardial infarction
194863005,Atrial septal defect due to and following acute myocardial infarction
194865003,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction (disorder)
194866002,Rupture of chordae tendinae as current complication following acute myocardial infarction
194867006,Rupture of papillary muscle as current complication following acute myocardial infarction
194868001,"Thrombosis of atrium, auricular appendage, and ventricle due to and following acute myocardial infarction"
308065005,History of myocardial infarction in last year
314116003,Post infarct angina
401303003,STEMI - ST elevation myocardial infarction
401314000,NSTEMI - Non-ST segment elevation MI
164868007,ECG: antero-septal infarct
164869004,Electrocardiographic posterior/inferior infarct
164870003,Electrocardiographic subendocardial infarct
164871004,Lateral infarction on electrocardiogram
315287002,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction
307140009,Acute non-Q wave infarction
304914007,Acute Q wave myocardial infarction
15990001,Acute myocardial infarction of posterolateral wall
129574000,Postoperative myocardial infarction (disorder)
311792005,Postoperative transmural myocardial infarction of anterior wall
311793000,Postoperative transmural myocardial infarction of inferior wall (disorder)
311796008,Postoperative subendocardial myocardial infarction
233846000,Defect of ventricular septum following myocardial infarction
233885007,Post-infarction pericarditis (disorder)
164867002,EKG: old myocardial infarction
22298006,MI - myocardial infarction
233825009,Acute Q wave infarction - anteroseptal
233826005,Acute non-Q wave infarction - anteroseptal (disorder)
233827001,Acute Q wave infarction - anterolateral
233828006,Acute non-Q wave infarction - anterolateral (disorder)
233829003,Acute Q wave infarction - inferior
233830008,Acute non-Q wave infarction - inferior (disorder)
233831007,Acute Q wave infarction - inferolateral
233832000,Acute non-Q wave infarction - inferolateral (disorder)
233833005,Acute Q wave infarction - lateral
233834004,Acute non-Q wave infarction - lateral (disorder)
233835003,Acute widespread myocardial infarction
233836002,Acute Q wave infarction - widespread (disorder)
233837006,Acute non-Q wave infarction - widespread
233839009,Old anterior myocardial infarction (disorder)
233840006,Old inferior myocardial infarction
233841005,Old lateral myocardial infarction (disorder)
233842003,Old posterior myocardial infarction
233843008,Silent myocardial infarction (disorder)
233847009,Cardiac rupture after acute myocardial infarction
233860003,Post-infarction mitral papillary muscle rupture
266288001,Myocardial infarction (& [acute]) or coronary thrombosis (disorder)
314207007,Non-Q wave myocardial infarction
394710008,First myocardial infarction
398274000,Thrombosis - coronary
155304006,Acute myocardial infarction
155306008,Old myocardial infarction
155310006,Post infarct angina
155319007,Acute Q wave myocardial infarction
155321002,Acute non-Q wave infarction
161516005,H/O: Myocardial infarction in last year
164872006,ECG: myocardial infarct NOS
182761001,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction
194796000,Silent myocardial infarction
194797009,Other specified anterior myocardial infarction
194798004,Acute anteroapical infarction
194799007,Anterior myocardial infarction NOS
194800006,Posterior myocardial infarction NOS
194801005,Lateral myocardial infarction NOS
