V2Codes,Description
14A3.,H/O: myocardial infarct <60
14A4.,H/O: myocardial infarct >60
14AH.,H/O: Myocardial infarction in last year
14AT.,History of myocardial infarction
14AW.,H/O acute coronary syndrome
323..,ECG: myocardial infarction
3232.,ECG: old myocardial infarction
3233.,ECG: antero-septal infarct.
3234.,ECG:posterior/inferior infarct
3235.,ECG: subendocardial infarct
3236.,ECG: lateral infarction
323Z.,ECG: myocardial infarct NOS
G30..,Acute myocardial infarction
G300.,Acute anterolateral infarction
G301.,Other specified anterior myocardial infarction
G3010,Acute anteroapical infarction
G3011,Acute anteroseptal infarction
G301z,Anterior myocardial infarction NOS
G302.,Acute inferolateral infarction
G303.,Acute inferoposterior infarction
G304.,Posterior myocardial infarction NOS
G305.,Lateral myocardial infarction NOS
G306.,True posterior myocardial infarction
G307.,Acute subendocardial infarction
G3070,Acute non-Q wave infarction
G3071,Acute non-ST segment elevation myocardial infarction
G308.,Inferior myocardial infarction NOS
G309.,Acute Q-wave infarct
G30B.,Acute posterolateral myocardial infarction
G30X.,Acute transmural myocardial infarction of unspecified site
G30X0,Acute ST segment elevation myocardial infarction
G30y.,Other acute myocardial infarction
G30y0,Acute atrial infarction
G30y1,Acute papillary muscle infarction
G30y2,Acute septal infarction
G30yz,Other acute myocardial infarction NOS
G30z.,Acute myocardial infarction NOS
G310.,Postmyocardial infarction syndrome
G32..,Old myocardial infarction
G35..,Subsequent myocardial infarction
G350.,Subsequent myocardial infarction of anterior wall
G351.,Subsequent myocardial infarction of inferior wall
G353.,Subsequent myocardial infarction of other sites
G35X.,Subsequent myocardial infarction of unspecified site
G36..,Certain current complications following acute myocardial infarction
G360.,Haemopericardium as current complication following acute myocardial infarction
G361.,Atrial septal defect as current complication following acute myocardial infarction
G362.,Ventricular septal defect as current complication following acute myocardial infarction
G363.,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
G364.,Rupture of chordae tendinae as current complication following acute myocardial infarction
G365.,Rupture of papillary muscle as current complication following acute myocardial infarction
G366.,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
G38..,Postoperative myocardial infarction
G380.,Postoperative transmural myocardial infarction of anterior wall
G381.,Postoperative transmural myocardial infarction of inferior wall
G382.,Postoperative transmural myocardial infarction of other sites
G383.,Postoperative transmural myocardial infarction of unspecified site
G384.,Postoperative subendocardial myocardial infarction
G38z.,"Postoperative myocardial infarction, unspecified"
