MedCodeID,Description
810811000006116,H/O: myocardial infarct at less than 60
810821000006112,H/O: myocardial infarct at greater than 60
451369010,H/O: Myocardial infarction in last year
1738171000006114,History of myocardial infarction
2173281000000112,H/O acute coronary syndrome
256452010,ECG: myocardial infarction
256460011,ECG: myocardial infarct NOS
455641000006112,Acute anterolateral myocardial infarction
299707016,Acute anterior myocardial infarction
299708014,Acute anteroapical infarction
455651000006114,Acute anteroseptal myocardial infarction
299709018,Anterior myocardial infarction NOS
457531000006110,Acute inferolateral myocardial infarction
1234005010,Acute inferoposterior infarction
299710011,Acute posterior myocardial infarction
299711010,Acute lateral myocardial infarction
299712015,True posterior myocardial infarction
116992017,Acute subendocardial infarction
450322013,Acute non-Q wave infarction
1780501013,Acute non-ST segment elevation myocardial infarction
299714019,Acute myocardial infarction of inferior wall
299718016,Other acute myocardial infarction
299719012,Acute atrial infarction
1218860015,Acute papillary muscle infarction
1234306015,Acute septal infarction
299720018,Other acute myocardial infarction NOS
299721019,Acute myocardial infarction NOS
109916013,Dressler's syndrome
109915012,Post-myocardial infarction syndrome
299808017,Subsequent myocardial infarction
299811016,Subsequent myocardial infarction of anterior wall
299812011,Subsequent myocardial infarction of inferior wall
299813018,Subsequent myocardial infarction of other sites
543291000006110,Myocardial infarction with complication
813961000006116,Haemopericardium as current complication following acute myocardial infarction
498031000006112,Atrial septal defect as current complication following acute myocardial infarction
158601000006116,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
158611000006118,Rupture of chordae tendinae as current complication following acute myocardial infarction
159001000006119,Rupture of papillary muscle as current complication following acute myocardial infarction
100681000006116,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
362461000006119,[X]Acute transmural myocardial infarction of unspecif site
300882013,[X]Subsequent myocardial infarction of unspecified site
884151000006119,Myocardial Infarction
37443015,Heart attack
1786198013,Thrombosis - coronary
94884017,Acute myocardial infarction
350376014,Silent myocardial infarction
884141000006116,Coronary thrombosis
1786197015,Coronary thrombosis
537751000006115,Cardiac rupture after acute myocardial infarction
219521000000119,Attack - heart
219531000000117,MI - acute myocardial infarction
447324018,Acute Q-wave infarct
967931000006114,Acute myocardial infarction of posterolateral wall
460681000006116,Acute transmural myocardial infarction of unspecif site
1780491019,Acute ST segment elevation myocardial infarction
4031011,Old myocardial infarction
230021000006115,Personal history of myocardial infarction
4032016,Healed myocardial infarction
118831000006118,Subsequent myocardial infarction of unspecified site
67081000006119,Ventricular septal defect as current complication following acute myocardial infarction
208365015,Postoperative myocardial infarction
212061000006119,Postoperative transmural myocardial infarction of anterior wall
212071000006114,Postoperative transmural myocardial infarction of inferior wall
212081000006112,Postoperative transmural myocardial infarction other sites
212091000006110,Postoperative transmural myocardial infarction unspec site
455422014,Postoperative subendocardial myocardial infarction
455423016,"Postoperative myocardial infarction, unspecified"
