CTV3Codes,Description
X408b,Normal menopause
Xa4eB,Menopause present
X408c,Delayed menopause
X408w,Premature menopause
X40NJ,Premature menopause NOS
XE1TE,Menopause monitoring
66U1.,Menopause initial assessment
66U2.,Menopause follow-up assessment
66U4.,"Menopause: LH, FSH checked"
66U5.,Menopause: bone density check
66UZ.,Menopause monitoring NOS
XaIKG,Hormone replacement therapy review
K5A4.,Artificial menopause
Xa0bf,Post-radiation menopause
Xa0be,Post-hysterectomy menopause
X76QX,Menopausal problem
XM0t2,Menopausal symptoms
66UE.,Menopause: sexual advice
66UD.,Menopause: dietary advice
XaEFj,Advice about the menopause
66UF.,Menopause: gen counselling
X74Wi,Menopause monitoring status
66U3.,Menopause symptoms present
66UB.,HRT: unopposed oestrogen
66UC.,HRT: combined oestrogen/progestogen
XaISA,Hormone replacement therapy bleed pattern - normal
XaISB,Hormone replacement therapy bleed pattern - abnormal
XaISC,Hormone replacement therapy bleed pattern - not relevant
XaISD,Hormone replacement therapy bleed pattern - no bleeding
XaJmB,Menopausal profile
K5A20,Menopausal flushing
K5A22,Menopausal headache
N063.,Menopausal arthritis
N0630,Climacteric arthritis of unspecified site
N0631,Climacteric arthritis of the shoulder region
N0632,Climacteric arthritis of the upper arm
N0633,Climacteric arthritis of the forearm
N0634,Climacteric arthritis of the hand
N0635,Climacteric arthritis of the pelvic region and thigh
N0636,Climacteric arthritis of the lower leg
N0637,Climacteric arthritis of the ankle and foot
N0638,Climacteric arthritis of other specified site
N0639,Climacteric arthritis of multiple sites
N063z,Climacteric arthritis NOS
K5A2z,Menopausal symptoms NOS
K5A21,Menopausal sleeplessness
K5A23,Menopausal concentration lack
Kyu9F,[X]Other specified menopausal and perimenopausal disorders
XE0h3,Menopausal and postmenopausal disorders
K5Ay.,Other menopausal and postmenopausal states
M2110,Keratoderma climactericum
XE0ev,Perimenopausal disorder
X408v,Incipient ovarian failiure
X408x,Menopausal ovarian failure
Xa857,Abnormal perimenopausal bleeding
XaJM2,Perimenopausal atrophic vaginitis
XSJGr,Postmenopausal state
K5A1.,Bleeding after menopause
