ICD10Codes,Description
E28.3,Primary ovarian failure
N95,Menopausal and other perimenopausal disorders
N95.0,Postmenopausal bleeding
N95.1,Menopausal and female climacteric states
N95.2,Postmenopausal atrophic vaginitis
N95.3,States associated with artificial menopause
N95.8,Other specified menopausal and perimenopausal disorders
N95.9,"Menopausal and perimenopausal disorder, unspecified"
M81.0,Postmenopausal osteoporosis
N92.4,Excessive bleeding in the premenopausal period
M80.0,Postmenopausal osteoporosis with pathological fracture
